Act of Parliament	uMthetho WePhalamende
indigenous culture	isiko lendabuko
indigenous language	ulimi lwendabuko
indigenous people	abantu bendabuko
industrial society	umphakathi osebenzisa ubuchwepheshe
infant mortality rate	izinga lokufa kwezingane
information retrieval	ukubuyisa ulwazi
information retrieval system	uhlelo lokubuyisa ulwazi
inner city	iphakathi nedolobha
inspector of mines	umhloli wezimayini
intellectual property rights	amalungelo obunikazi bolwazi
intergovernmental relations	ubudlelwano phakathi kohulumeni
interim constitution	umthethosisekelo wesikhashana
international affairs	ezamazwe omhlaba
international community	umphakathi wamazwe omhlaba
international humanitarian law	umthetho womhawu kubantu bonke emhlabeni
international relations	ubudlelwano bamazwe ngamazwe
interrupt the proceedings	ukuphazamisa okuqhubekayo
investment of capital	utshalomali lwengqalasizinda
job creation	ukudalwa kwamathuba omsebenzi
joint committee	ikomidi lamalungu ezinhlangano ezahlukene
joint meeting	umhlangano wezinhlangano ezahlukene
joint responsibility	isibopho sezinhlangano ezahlukene
joint rules committee	ikomidi lamalungu ezindlu ezahlukene
joint sitting	umhlangano wamaqoqo ahlukene athattha izinqumo
judicial authority	amandla ejaji
keep in mind	khumbula
keep up to date	ukunika ulwazi olusha
key performance area	umsebenzi osemqoka owenziwayo
labour force	abasebenzi
labour intensive	umsebenzi odinga kakhulu abasebenzi
labour market	indawo abasebenzi abaxhumana kuyo
lack of energy	ukungabibikho kukagesi
land ownership	ubunikazi bomhlaba
land reform	izinguquko kwezomhlaba
land restitution	ukubuyiselwa umhlaba
land rights	amalungelo omhlaba
language policy	inqubomgomo yolimi
language practice	imisebenzi yolimi
language rights	amalungelo olimi
law enforcement	ukuqiniswa komthetho
lay a charge	beka icala
leader of the opposition	umholi weqembu eliphikisayo
learning process	ukufunda
least of all	phansi kwakho konke
legacy of apartheid	okushiywe yinqubo yobandlululo
legal deposit library	umtapo wokushicilelwe kwagcinwa kuwo ngokomthetho
legislative authority	igunya lokwenza imithetho
legislative function	umsebenzi wokwenza imithetho
legislative power	amandla okwenza imithetho
legislative powers	amandla okwenza imithetho
legislative process	ukwenza imithetho
level of government	isigaba sikahulumeni
level of service	izinga losizo/lesidingo
levels of development	amazinga entuthuko
liberation movement	inhlangano elwela inkululeko
liberation struggle	umzabalazo wenkululeko
limited access	ukuvunyelwa okunemingcele
lingua franca	ulimi okuxhunyanwa ngalo
list of members	uhla lwamalungu
local government	uhulumeni wendawo
local government level	izinga likahulumeni wendawo
local government sector	umkhakha kahulumeni wendawo
local municipality	umasipala wendawo
local sphere of government	isigaba sikahulumeni wendawo
mainstream economy	isimo somnotho esivamile
majority of votes	iningi lamavoti
majority party	iqembu elivotelwa kakhulu kunamanye
make a mark	beka uphawu
make a statement	enza isitatimende
make an effort	enza umzamo
management review	ukubukezwa kwabaphathi
manner of speaking	indlela yokukhuluma
marine living resources	ingcebo yokuphilayo olwandle
market economy	umnotho olawulwa yizimakethe
mass mobilisation	ukugqugquzelwa kwabantu
master of ceremonies	umphathi wohlelo
matter of public importance	udaba olusemqoka emphakathini
matter of urgency	udaba oluphuthumayo
means of communication	indlela yokuxhumana
means of transport	izindlela zokuthwala
member of parliament	ilungu lephalamende
member of the council	ilungu lomkhandlu
member states of the UN	amazwe angamalungu eNhlangano Yezizwe
memorandum of understanding	isivumelwano esisemthethweni phakathi kwezinhlangothi ezimbili noma ngaphezu kwalokho
metropolitan area	ingxenye yedolobha elikhulu egcwele abantu
middle class	abantu abaholo labo liphakathi nendawo
minority domination	amandla abayingcosana
minority party	iqembu labayingcosana
minutes of proceedings	amaminithi omhlangano
mode of operation	indlela yokusebenza
moment in time	ngaleso sikhathi
money laundering	ukushushumbiswa kwemali
months of the year	izinyanga onyakeni
mortality rate	izinga lokufa kwabantu
mother tongue	ulimi lwebele
multicultural society	umphakathi omasikomaningi
music rights organisation	inhlangano yamalungelo omculo
mutual understanding	ukuvumelana
mutually exclusive	izimo ezikhona ezingahlobene
national affairs	ezezwe lonke
national anthem	ihubo lesizwe
national asset	impahla yesizwe
national budget	isabelomali sezwe
national coat of arms	imendlela yempi
national conference	ingqungquthela kazwelonke
national department	umnyango kazwelonke
national development	intuthuko kazwelonke
national economy	umnotho kazwelonke
national education	ezemfundo kuzwelonke
national executive	iziphathimandla zikazwelonke
national executive authority	igunya leziphathimandla kuzwelonke
national executive committee	ikomidi leziphathimandla kuzwelonke
national flag	ifulegi likazwelonke
national government	uhulumeni kazwelonke; uhulumeni omkhulu
national identity	ukuba nguye  kuzwelonke; ukuba yikho kuzwelonke
national interest	okuthandwayo kuzwelonke
national leader	umholi ezingeni likazwelonke
national level	izinga likazwelonke
national level of government	isigaba sikahulumeni kuzwelonke
national policy	inqubomgomo kuzwelonke
national pride	ukuziqhenya ezingeni likazwelonke
national reconciliation	ukubuyisana ezingeni likazwelonke
national security	ukuvikeleka ezingeni likazwelonke
national sphere of government	isigaba sikazwelonke sikahulumeni
national strategy	isu likazwelonke
national symbols	izimpawu zikazwelonke
national unity	ubumbano ezingeni likazwelonke
natural justice	umthetho olwa nokwenzelela
natural resources	izinsiza zemvelo
need to know	isidingo sokwazi
new dispensation	isikhathi esisha sombuso
not later than	singakashayi sedlula isikhathi
notice of motion	isaziso ngesiphakamiso
number of children	inani labantwana
number of deaths	inani labashonile
oath of office	isifundo sokwamukela umsebenzi
of paramount importance	okusemqoka kakhulu
office bearer	umuntu osesikhundleni
official language	ulimi olusemthethweni
official residence	indawo esemthethweni okuhlalwa kuyo
on the defence	kwabaziphendulelayo
on the market	okusemakethe
on the run	okugijimayo
on the second	ngokuphazima kweso
on the wing	okusophikweni
open society	umphakathi ovulelekile
opening address	inkulumo yokuvula
order of merit	ukulandelana ngokwedlulana
order of preference	ukuhlela ngokukhethwayo
order of the day	okudingekayo noma okuvamile esikhathini esithile
ordinary session	umhlangano owejwayelekile
organs of state	izigaba zombuso
orphans and vulnerable children	izintandane nezingane ezisengcupheni yokuhlukumezeka
out of control	okungalawuleki
out of date	okuphelelwe yisikhathi
out of order	ukuphaphalaza
out of print	incwadi esiphelile; engaphrintiwe okwamanje 
out of service	okungasebenzi okwamanje
out of stock	okuphele isitoko sakho
outbreak of war	ukuqubuka kwempi
ownership of land	ubunikazi bomhlaba
paradigm shift	uguquko olusemqoka endleleni okubukwa ngayo izinto
parliament is in session	isikhathi sephalamende
parliamentary committee	ikomidi lasephalamende
parliamentary correspondent	obhalela iphalamende
parliamentary democracy	intando yabantu ephalamende
parliamentary process	inqubo yephalamende
participate in the debate	bamba iqhaza kuyo inkulumompendulwano
participatory democracy	inqubo egcizelela ukubamba iqhaza kwezombusazwe
party discipline	ukwesekwa kwemigomo yeqembu ngamalungu alo
party system	uhlelo lweqembu
pass laws	imithetho yesikhathi sobandlululo
pave the way	lungisela
peaceful coexistence	ukuhlalisana ngokuthula
peaceful demonstration	ukubhikisha ngokuthula
peaceful transition	uguquko olunokuthula
per capita	komuntu emunye
performing arts council	umkhandlu wamaciko asebenzisa amazwi nokunyakazisa umzimba
permanent residence permit	imvume yokuhlala unomphela
pillar of strength	insika yamandla
pilot project	umklamo wokuhlola
place of safety	indawo yokuphephela
platinum group metals	okusansimbi kweqoqo leplathinamu
play the lead	yiba ngoholayo
playing field	inkundla yokudlala
point of contact	umxhumanisi wolwazi oluphathelene nomsebenzi noma wohlelo
point of order	ukukhalima ophaphalazayo
point of view	umbono
police service	usizo lwamaphoyisa
policy development	ukwenziwa kwenqubomgomo
policy environment	isimo senqubomgomo
policy formulation	ukwenziwa kwenqubomgomo
policy framework	uhlaka lwenqubomgomo
policy implementation	ukusetshenziswa kwenqubomgomo
policy making	ukwenziwa kwenqubomgomo
policy statement	isitatimende senqubomgomo
political context	isimo senqubomgomo
political control	ukulawula ngokwezombusazwe
political development	intuthuko yezombusazwe
political dispensation	isimo sokubusa ngokwezombusazwe
political environment	isimo sezombusazwe
political instability	ukungazinzi ngokwezombusazwe
political leadership	abaholi bezombusazwe
political order	uhlelo lwezombusazwe
political party	iqembu lezombusazwe
political process	inqubo yezombusazwe
political rights	amalungelo ezombusazwe
political system	uhlelo lwezombusazwe
political tradition	ukuziphatha kwabantu ngokwezombusazwe
poor living conditions	izimo ezimbi zokuphila
poorest of the poor	abampofu kakhulu
popular culture	isiko labantu ngokwezombusazwe
popular participation	ukubamba iqhaza kweningi labantu ekuthathweni kwezinqumo
popular sovereignty	igunya likahulumeni ngokuvunyelwa ngabantu
population register	ukubhaliswa kwabantu
population size	ubuningi babantu
portfolio committee	ikomidi lenhlanganiselamisebenzi
powers and functions	amandla nemisebenzi
powers that be	iziphathimandla
practical reality	isimo njengoba sinjalo
praise singer	imbongi
precincts of parliament	izakhiwo zephalamende
presiding officer	isikhulu esengamele
press freedom	inkululeko yabamaphephandaba
primary health care	ukunakekelwa ngokwempilo
private sector	imboni yabazimele
professional ethics	inkambo elungileyo ngokomsebenzi
professional organisation	inhlangano yemisebenzi efundelwe
prophets of doom	umuntu olindela okubi njalo
proportional representation	ukumeleleka kwamaqembu ngangokuvotelwa kwawo
provincial administration	ukuphathwa kwesifundazwe
provincial budget	isabelomali sesifundazwe
provincial government	uhulumeni wesifundazwe
provincial legislature	isishayamthetho sesifundazwe
provincial level	izinga lesifundazwe
provincial sphere of government	isigaba sesifundazwe sikahulumeni
provision of services	ukunikwa usizo/izidingo
public administration	ukuphathwa komphakathi
public domain	indawo ebuswayo yomphakathi
public expenditure	imali esetshenziselwa izidingo zomphakathi
public funds	imali yomphakathi
public health	ezempilo yomphakathi
public hearing	izigcawu zomphakathi
public interest	okuhlomulisa umphakathi
public meeting	umhlangano womphakathi
public money	imali yomphakathi
public office	ihhovisi lomphakathi
public opinion	izimvo zomphakathi
public participation	ukubamba iqhaza komphakathi
public policy	inqubomgomo yomphakathi
public relations officer	oxhumanisa inhlangano nomphakathi
public sector	umkhakha kahulumeni
public service	usizo lomphakathi
public services	usizo lomphakathi
public transport system	uhlelo lokuthuthwa komphakathi
public works	imisebenzi yomphakathi
public works programme	uhlelo lukaxoshindlala
pumped storage scheme	indlela yokusebenzisa amandla ukuphehla ugesi ngamanzi
put a motion	hambisa
put in writing	bhala
quality of life	impilo esezingeni elihle
question paper	iphepha lemibuzo
quota system	uhlelo lokumeleleka kwabayingcosana
race relations	ubudlelwano phakathi kwezinhlanga ezehlukene
racial equality	ukulingana ngokobuhlanga
racial segregation	ukwahlukaniswa ngokobuhlanga
rainbow nation	isizwe esinhlangaziningi
range of vision	ukukwazi ukubona ngamehlo
rapid transit system	uhlelo lwamabhasi asheshayo olususelwa kolwezitimela
redistribution of land	ukwabiwa kabusha komhlaba
reference book	incwadi kamazisi
regional integration	ukuhlanganiswa ngokupheleleyo esifundeni
register of members	ukubhalisa kwamalungu
removal from office	ukukhishwa ehhovisi
remuneration package	isamba sesinxephezelo ngomsebenzi owenziwayo
required to carry	okudingelwa ukuthwala
reside in	hlala e-
residence permit	imvume yokuhlala
resistance movement	inhlangano yomzabalazo
resistance to change	ukungavumeli uguquko
resolution of conflict	isixazululo sokungqubuzana
resource base	isisekelo senzisakusebenza
responsible for	okubhekele
restitution of land	ukubuyiswa komhlaba
restitution of land rights	ukubuyiswa kwamalungelo omhlaba
return on investment	inzuzo yotshalomali
right of access	ilungelo lokusebenzisa; ilungelo lokuthola okuthile; ilungelo lokungena
right to assemble	ilungelo lokubuthana
right to human dignity	ilungelo lesithunzi somuntu
right to life	ilungelo lempilo
right to privacy	ilungelo lokungaphazanyiswa
right to strike	ilungelo lokuteleka
right to vote	ilungelo lokuvota
rights and privileges	amalungelo emvelo nanikwa abantu abathile
rise and fall	ukuvuka nokuwa
rite of passage	umcimbi wokungeniswa kwesinye isigaba empilweni yomuntu
road network	uhleloxhumano lwemigwaqo
road show	uchungechunge lwemicimbi yokwaziswa
rule of law	umthetho obekiwe
rules and orders	imithetho nemiyalelo
rules of debate	imithetho yenkulumompikiswano
rules of natural justice	imithetho yokungabandlululwa nobulungiswa ekuqulweni kwecala
rules of procedure	imithetho yenqubo
ruling party	iqembu elibusayo
rural development	intuthuko yezindawo zasemakhaya
school library service	usizo lomtapo wezincwadi esikoleni
school nutrition programme	uhlelo lwasesikoleni lokunikezwa kwezingane ukudla
science and technology	isayensi nobuchwepheshe
search and rescue	ukucinga nohlengwa
seat of government	ikomkhulu lezwe
security clearance	ukugunyazelwa ukuthola ulwazi
security forces	amaphoyisa noma amasosha abhekele ukuvikeleka
sending and receiving	ukuthumela nokwamukela
sense of responsibility	ukuzazi izibopho zakho
sense of touch	umuzwa wokuthinta
separate but equal	okwahlukene nakuba kulingana
separate development	ukuthuthukiswa ngokwahlukana
separation of powers	ukwahlukaniswa kwamandla
services industry	imboni yokwenza imisebenzi
services rendered	imisebenzi eyenziwe
set in motion	ukunyakazisa okuthile; ukuhambisa okuthile
shortage of skills	ukuntuleka kwamakhono
sitting of parliament	ukuhlala kwephalamende
small town	idolobha elincane
social benefits	imihlomulo yomphakathi
social capital	ukuxhumana phakathi kwabantu nezikhungo, okusiza umphakathi
social change	uguquko emphakathini
social contract	isivumelwano phakathi kwamalungu omphakathi
social control	ukulawulwa komphakathi
social development	ukuthuthukiswa komphakathi
social interaction	ukuxoxisana nokusebenzisana kwabantu emphakathini
social justice	ubulungiswa ngokomnotho, nangokunikwa amathuba, nangokwamalungelo emphakathini
social movement	iqoqo labantu eligxile kwezombusazwe noma kwezenhlalakahle
social security	isibonelelo
social services	usizo lomphakathi
social system	ubudlelwano phakathi kwabantu, namaqoqo abo, nezikhungo
social upliftment	ukufukulwa komphakathi
social welfare	inhlalakahle yomphakathi
socio-economic development	ukuthuthukiswa ngokomnotho nangokwenhlalakahle
source of income	umthombo wemali engenayo
source of information	umthombo wolwazi
source of water	isisuko samanzi
sovereign democratic state	izwe elizibusayo ngokwentando yabantu
sovereign state	uzibuse
sphere of government	umkhakha kahulumeni
standard of living	izinga lokuphila
state assets	izimpahla zezwe
state emblem	uphawu lwezwe
state institutions	izikhungo zikahulumeni
state money	imali yezwe
state of emergency	umthetho wewashi
state of mind	isimo senqondo
state of the nation address	inkulumo ebhekiswe esizweni
state revenue	imali kahulumeni engenayo
status of women	isimo sabesifazane
status quo	isimo esikhona njengamanje
statute book	incwadi yezimiso
strategic management	amaqhinga okuphatha
structural violence	ukulinyazwa kwabantu yizinhlaka zomphakathi
struggle for liberation	ukuzabalazela inkululeko
subject for discussion	isihloko okuxoxwa ngaso
subject to the provisions of	ngaphansi kwemibandela ya-
substantive motion	isiphakamiso esisemqoka esizimele
supply and demand	okukhona nokudingekayo
supreme law	umthetho omkhulu
sustainable development	intuthuko esimeme
sustainable economic growth	ukukhula komnotho osimeme
sworn in	fungiswa
system of government	uhlelo lukahulumeni
systems approach	indlela yokubuka into njengengxenye yokupheleleyo
table of contents	okuqukethwe
take account of	cabanga nga-
take advantage of	sebenzisa
take an oath	funga
take cognisance of	qonda
take into consideration	naka
take off	ethula; susa
task team	ithimba eliqokelwe ukwenza umsebenzi wesikhashana
tax revenue	imali yentela engenile
technical services department	umnyango wemisebenzi yezobuchwepheshe
term budget	imali ezongena nezosetshenziswa yesikhathi esithile
term of office	isikhathi sokuphatha isikhundla
terms and conditions	imigomo nemibandela
terms of reference	okubhekwayo
terms of trade	imigomo yohwebo
the Cold War	ukucuphuluzana kwezizwe ngamazwi
the East	amazwe aseMpumalanga
the West	amazwe aseNshonalanga
the common good	okuhlomulisa wonke umuntu
the disadvantaged	abantulayo
the historically disadvantaged	ababencishwe amathuba
the masses	uquqaba
the powers that be	iziphathimandla
the right	ilungelo
the services	usizo; izidingo
the struggle	umzabalazo
the voiceless	abangenazwi
thousand and one	inkulungwane nanye
time of arrival	isikhathi sokufika
time of departure	isikhathi sokusuka
title deed	itayiteli
to and fro	kuya emuva kuye phambili
to bear fruit	ukuqhakaza isithelo
to the effect that	okusho ukuthi
top management	abaphathi abakhulu
top secret	imfihlo enkulu
total onslaught	ukuhlasela okupheleleyo ngolaka
track record	okuzuziwe esikhathini esedlule
trade relations	ubudlelwano kwezohwebo
trade union	inyunyana yabasebenzi
trading partner	okusetshenziswana naye kwezohwebo
traditional leadership	ubuholi bendabuko
traffic control	ukulawulwa kwezithuthi
training facilities	izindawo zokuqeqeshwa
training institution	isikhungo sokuqeqeshwa
transition to democracy	ukuguqukela entandweni yabantu
translation of the Bible	ukuhunyushwa kweBhayibheli
tree of knowledge	umuthi wokwazi okuhle nokubi
tree of life	umuthi wokuphila
umbrella body	inhlangano emele ezinye ezincane
unanimous concurrence	okwenzeka ngasikhathi sinye ngokuvumelana
under the auspices of	ngokwesekwa nokuvikelwa ngu-
under the authority of	ngokuphathelene na-
unemployment rate	izinga lokungaqasheki
unfair discrimination	ukubandlulula okwenzelelayo
unique people	abantu abehlukile
united nations organisation	inhlangano yezizwe
university of technology	inyuvesi yezobuchwepheshe
unreserved postal service	usizo lwaseposini olungagodliwe
up to standard	okugculisayo
upper middle class	ikilasi labantu eliphezulu ngokuphakathi nendawo
urban area	indawo yasedolobheni
urban centre	inkaba yedolobha
urban development	ukuthuthukiswa kwedolobha
urban renewal	ukuvuselelwa  kwedolobha
value system	uhlelo lobugugu
violation of human rights	ukwaphulwa kwamalungelo abantu
voice of the people	izwi labantu
vote in favour	votela
vote of thanks	izwi lokubonga
waste management	ukulawulwa kwemfucuza
ways and means	izindlela namasu
welfare state	uhlelo lukahulumeni lokuvikela impilo nenhlalakahle yazakhamizi
winds of change	ithonya noma isijwayezi esingenakuvinjelwa
winter rainfall region	indawo enemvula ebusika
with effect from	kusukela
with the sun	ngelanga
with the wind	ngomoya
within a radius of	ibanga ukusuka enkabeni
within the limits	ngokungeqile
word of welcome	amazwi okwamukela
working group	iqoqo labasebenzayo
world community	umphakathi womhlaba wonke
you are here	ulapha
