ABET	i-ABET; 
constituted	misa; 
constitutes	misa; 
constitution	umthethosisekelo;  isimiso somthetho wezwe; 
constitutional	okuhambelana nomthetho; 
constitutions	imithethosisekelo;  izimiso zomthetho wezwe; 
constraint	umgoqo; 
constraints	imigoqo; 
construct	enza;  akha;  hlanganisa; 
constructed	enza;  akha;  hlanganisa; 
construction	ukwakha;  ukwakhiwa; 
constructive	okwakhayo; 
construed	 ncozulula; humusha; 
consult	bonisana; 
consultant	umeluleki; 
consultants	umeluleki; 
consultation	ukubonisana; 
consultations	ukubonisana; 
consultative	okubonisanayo; okuxoxisanayo; 
consulted	bonisana; 
consulting	ukubonisana; 
consumables	okudliwayo; 
consumer	umthengi;  osebenzisa impahla; 
consumers	 abasebenzisa impahla; abathengi; 
consumption	okudliwayo; 
contact	thintana; 
contacts	thintana; 
contained	quketha; 
container	okokuphatha; 
containers	 okokuphatha; iziqukathi; 
containing	ukuqukatha; 
contains	quketha; 
contemplated	 ninga;  buka;  ceba; cabanga; 
contempt	 indelelo; usulu; 
content	okuqukethwe; 
contents	 umthamo; okuqukethwe; 
context	ingqikithi yendaba; 
continent	izwekazi; 
continental	okwezwekazi; ovela eYurophu; 
continents	amazwekazi; 
contingency	isehlakalo;  okungahle kuvele;  isehlo; 
contingent	okulandelisene;  okwencikene; 
continuation	 ukuqhubekela phambili; okulandelayo; 
continue	qhubeka; 
continued	qhubeka; 
continues	qhubeka; 
continuing	ukuqhubeka; 
continuity	 ukulandelana; ukuqhubeka; 
continuous	okuhleziyo njalo;  okwenzekayo njalo; okuqhubekayo; 
continuously	njalonjalo; 
contract	 ukufinyela; -nciphisa; 
contracted	 ukufinyela;  izivumelwano ezisemthethweni; nciphisa; 
contracting	 ukufinyela;  izivumelwano ezisemthethweni; ukunciphisa; 
contractor	usonkontileka; 
contractors	osonkontileka; 
contracts	 ukufinyela;  izivumelwano ezisemthethweni; nciphisa; 
contractual	okwenkontileka; 
contrary	okuphambene;  ngokuphambene; 
contrast	umehluko; 
contravenes	eqa; phikisa;  aphula; 
contravention	ukuphikisa;  ukweqa;  ukwaphula; 
contribute	nikela;  pha; 
contributed	nikela;  pha; 
contributes	nikela;  pha; 
contributing	 ukupha; ukunikela; 
contribution	umnikelo;  inkongozelo; 
contributions	iminkelo; 
contributor	onikelayo; 
contributors	abanikelayo; 
control	ukulawula;  ukuqondisa; 
controlled	ukulawula;  ukuqondisa; 
controlling	ukulawula;  ukuqondisa; 
controls	ukulawula;  ukuqondisa; 
convene	 buthana;  mema umhlangano; hlanganisa;  buthanisa;  hlangana; 
convened	 buthana;  mema umhlangano; hlanganisa;  buthanisa;  hlangana; 
convention	 isivumelwano samazwe; isiko; 
conventional	okwesiko; 
conventions	amasiko;  izivumelwano zamazwe; 
convergence	 ukusondelana; ukuhlangana; 
conversation	ingxoxo; 
conversations	izingxoxo; 
conversion	 ukuphenduka;  inguquko; ukuguqula; 
convert	 guqula; phendula;  -guqula;  ophendukile; 
converted	 guqula; phendula;  ophendukile; 
convey	 -thutha; ukudlulisa; 
convict	isiboshwa; 
convicted	isiboshwa; 
conviction	ukukholwa;  ukuhlahlwa ngecala; 
convinced	 anelisa;  kholisa; delisa; bonisa;  ahlula; 
cookie	ikhekhi; 
cooperation	ubambiswano;  ukusizana; 
cooperative	okunobambiswano; 
cooperatives	ukubambisana; 
coordinate	ukuhlela; 
coordinated	vumelanisa; 
coordinating	ukuvumelanisa; 
coordination	ukukwazi ukulawula ukunyakaza kwezinyama zakho kahle; 
cope	 phatha;  bhekana na-; enza; 
copies	 kopisha; imifuziselo;  bonela; amakhophi; 
copy	 -bonela;  kopisha; ikhophi;  umfuziselo; 
copyright	ilungelo lomqambi; 
core	ubuthumbu; 
corner	ichopho lento;  ichopho;  ichopho lendwangu; 
cornerstone	itshe legumbi; 
corporate	-hlangene; 
corporation	inhlangano esemthethweni; ukopeletsheni; 
corporations	okopeletsheni; izinhlangano ezisemthethweni; 
corps	okopeletsheni; 
correct	lungisa;  qondisa;  okulungileyo; 
correction	ukulungisa; 
correctional	okokulungisa; 
corrections	ukulungisa; 
correctly	ngokuyikho; 
correspondence	 izincwadi ezibhaliwe; ukuvumelana;  ukubhalelana;  ukufanelana; 
corrupt	yonakele; 
corruption	inkohlakalo; 
cost	inani;  intengo;  beka inani lentengo; 
cost-effective	okungachithi mali; 
costs	amanani;  intengo;  beka inani lentengo; 
could	azi;  ikopi;  gcina ekopini; 
council	umkhandlu; 
councillor	ilungu;  ikhansela; 
councillors	 amakhansela; amalungu; 
councils	imikhandlu; 
counsel	iseluleko;  ummeli; 
counselling	 ukuyala; ukweluleka; 
count	bala; 
counter	 imvulelikhanda; isibali; 
counterclaim	isibizo esibizwa kwesinye; 
counterpart	 umuntu ofana kakhulu nomunye; into efana kakhulu nenye; 
counterparts	izinto ezifana kakhulu nezinye;  abantu abafana kakhulu nabanye; 
countries	amazwe; 
country	izwe; 
country's	izwe; 
countrywide	kulo lonke izwe; 
couple	okubili; 
coupled	hlanganisa bhangqa; okubili; 
coupon	ikhuphoni; 
courage	isibindi; 
courses	ukulandelana kwezitsha zokudla; 
court	inkantolo; 
court's	okwenkantolo; 
courtesy	ukuhlonipha; 
courts	izinkantolo; 
cover	isembozo; 
coverage	 sibekela;  mbatha; mboza;  embesa; mbathisa; 
covered	 sibekela;  mbatha; mboza;  embesa; mbathisa; 
covering	 isikhumba sesilwanyana;  ukumboza; isembeso; 
covers	 sibekela;  mbatha; mboza;  embesa; mbathisa; 
covet	fisa; 
coveted	fisa; 
craft	ubungcweti;  umsebenzi wezandla; 
crafters	abenza umsebenzi wezandla; 
crafts	 imisebenzi yezandla; ubungcweti; 
crater	umlomo wentabamlilo; 
create	-dala; 
created	dala; 
creates	dala; 
creating	ukudala; 
creation	ukudala;  ukudalwa;  okudaliweyo;  ukudabuka; 
creative	-nekhono lo; 
creativity	ikhono lokusungula; 
creator	umenzi; 
creators	abenzi; 
credibility	ukukholeka; 
credible	okukholisayo; okunokukholwa;  okukholekayo; 
credit	isikweletu;  imali ongathenga ngayo; 
creditor	umuntu okweletwa imali; 
creditors	abantu abakweletwa imali; 
credits	imali ongathenga ngayo;  izikweletu; 
creed	ukholo;  isivumo sokholo; 
cricket	ikhilikithi;  isihlonono; 
crime	ubugebengu; 
crimes	ubugebengu; 
criminal	isigebengu; 
criminals	izigebengu; 
crisis	amanqamu; 
criteria	izindlela zokwenza; 
criterion	yindlela yokwenza; 
critical	 okhonondayo; osolayo;  ukuba neso elihlolayo; 
critically	ngeso elihlolayo; 
crop	 isilimo; isitshalo; 
crops	 izilimo; izitshalo; izikhikhila; 
cross	isiphambano;  ibhola elivundlayo; 
cross-border	okuphathelene nokwenzeka emngceleni wamazwe amabili; 
crucial	okubucayi;  okunqumayo; 
culminate	 gcina;  phethela; phela; 
culmination	ukugcina;  unomphela; 
culture	 usiko; isiko;  indlela yempilo; 
cultures	 izindlela zempilo;  usiko; amasiko; 
cup	inkomishi; 
curate	umfundisi; umphristi; 
curators	ababhekisilondolozimagugu; 
currency	imali yezwe; 
current	umsinga; 
currently	okwamanje; 
curriculum	uhlelo lwezifundo;  izinhlelo zezifundo; 
curve	igwinci;  ijika; 
custodian	 umphathi; umgcini; 
custodians	 abaphathi; abagcini; 
custom	inkambiso;  isikompilo;  usiko; 
customary	 okuvamile;  okuphathelene namasiko; okwejwayelekile; 
customer	umthengi; 
customers	abathengi; 
customs	 izinkambiso;  isikompilo; usiko; 
cut	inxeba;  isitho senyama;  umjiko osikayo;  umsiko; 
cutting	ihlumela;  umsaho; 
cycle	umjikelezo; 
da	ishumi;  okuneshumi; 
daily	izinzuku zonke; 
dam	 vimba amanzi;  -akha idamu; idamu; 
damage	umonakalo;  limaza; 
damages	umonakalo;  limaza; 
dance	 ukugida;  umdanso;  dansa; umgido; 
dancers	abashayingoma; 
dances	 ukugida;  umdanso; imigido;  dansa; 
danger	ingozi; 
dark	mnyama;  ubumnyama;  kumnyama; 
data	imininingwane; 
database	ulwazi olugciniwe; 
databases	ulwazi olugciniwe; 
date	 usuku lwenyanga onyakeni; umuhla; 
dated	okubhalwe usuku; 
dates	isundu; 
dawn	intathakusa; 
day	usuku; 
days	izinsuku; 
de	isakhi esakha izenzo olimini lwesiNgisi; 
dead	umufi; 
deadline	usuku olubekelwe ukufeza okuthile; 
deaf	isithuli; 
deal	 vumelana ngentengo; intengo; 
dealer	umthengisi; 
dealers	abathengisi; 
dealing	ukuthengiselana; 
deals	galela; gadla; 
dealt	galela; gadla; 
dear	 okuthandekayo; igugu; 
death	ukufa; 
deaths	ukufa; 
debate	impikiswano;  -phikisana; 
debated	impikiswano;  phikisana; inkulumompikiswano; 
debates	impikiswano;  phikisana; inkulumompikiswano; 
debt	 isikweledu; isikweletu; 
debtor	onesikweledu; 
debtor's	okonesikweletu; 
debts	izikweledu;  izikweletu; 
decades	amashuminyaka; 
deceased	umufi; 
decent	okuhloniphekile; okufanele;  okuqotho; 
decide	nquma; 
decided	nquma;  gweba;  phetha; 
decides	nquma; 
deciding	ukunquma; 
decision	isinqumo; 
decision-making	ukuthatha izinqumo; 
decisions	isinqumo; 
declaration	isimemezelo; 
declare	-memezela; 
declared	nquma;  gweba;  phetha; 
declares	memezela; 
decline	 ala;  landula;  ukuguga;  ukuncipha; enqaba;  umthambeka; 
declined	 ala;  landula;  ukuguga;  ukuncipha; enqaba;  umthambeka; 
declines	 ala;  landula;  ukuguga;  ukuncipha; enqaba;  umthambeka; 
declining	 ukwala; ukwenqaba;  ukulandula; 
decrease	nciphisa; 
decreased	nciphisa; 
decryption	ukuqhaqha;  ukufunda okubhalwe ngesu elilukhuni noma ngemfihlo; 
dedicate	ahlukanisela; 
dedicated	 ahlukanisela; zinikela; 
dedication	ukuzinikela; 
deduct	susa; 
deducted	susa; 
deduction	ukukhipha;  ukususa; 
deductions	ukukhipha;  ukususa; 
deed	itayitela; 
deeds	amatayitela; 
deem	cabanga; 
deemed	cabanga; 
deems	cabanga; 
deep	 okushonile;  ulwandle; okujulile; 
deepen	 jula; shona;  shonisa; zikisa;  enza kube kude; 
deeper	okujulile kunokunye; 
deeply	ngokujulile; 
default	iphutha; ngokuntulwa kwa-; 
defect	icala;  isici;  insilelana; 
defence	 ukuvikelwa; ukuvikela;  ukuvimba; 
defend	 melela; phikela; vikela;  phendulela;  khulumela; 
defendant	ummangalelwa; 
defiance	ukuphikisa;  injaka; 
deficiencies	ukuntuleka; 
deficit	okushodayo; 
deficits	okushodayo; 
define	chaza; 
defined	chaza; 
defines	chaza; 
defining	ukuchaza; 
definition	incazelo; 
definitions	izincazelo; 
degree	 idigri;  uphawu lokukala izinga lokushisa; izinga;  uphawu lokukala igumbi; 
degrees	amadigri; uphawu lokukala izinga lokushisa;  izimpawu zokukala igumbi;  amazinga; 
delay	isilibaziso;  libala;  libazisa; 
delayed	libala; 
delays	libala; 
delegate	isithunywa;  -gunyaza; 
delegated	isithunywa;  gunyaza; 
delegates	 gunyaza; izithunywa; 
delegation	ithimba lezithunywa; 
delegations	amathimba ezithunywa; 
delete	cisha; 
deleted	cisha; 
deletion	 ukususwa; ukukhishwa;  ukwesulwa; 
deliberate	zindla;  etshisa; 
deliberately	ngamabomu; 
deliberations	izingxoxo; 
delighted	 thokozisa;  jabulisa; ethobisa; 
deliver	 -hambisa; ukuzala; 
delivered	 ukuzala; hambisa; 
delivering	ukuhambisa;  ukuzala; 
delivers	 ukuzala; hambisa; 
delivery	ukubeletha; 
demand	 indingeko;  izidingo; -phoqa; 
demands	 indingeko; phoqa;  izidingo; 
demarcation	ukuklama; 
democracy	 intando yabantu; ukubusa ngentando yeningi; 
democratic	 -ngombuso weningi; -ngentando yeningi; 
democratically	ngokwentando yabantu; 
demographic	ngokwesayensi lokubala ubuningi bokuphathelene nabantu; 
demonstrate	ukukhombisa;  khombisa; 
demonstrated	bhikisha; ukukhombisa;  khombisa; 
demonstrates	khombisa; bhikisha; 
demonstration	 umbhikisho; ukukhombisa; 
denied	nqaba;  phika; 
dental	okwamazinyo; 
deny	-nqaba;  phika; 
department	umnyango;  ingxenye yomnyango; 
department's	okomnyango; 
departmental	-komnyango; 
departments	 izingxenye zomnyango; iminyango; 
departure	 ukwemuka;  ukuphambuka; ukusuka;  ukuhamba; 
depend	 enqika;  eyama; themba; 
dependants	abeyeme kwabanye abantu/komunye umuntu; 
dependence	ukuma ngomunye; 
dependency	izwe eliphethwe elinye; 
dependent	oweyeme komunye; 
depending	ukweyama komunye umuntu; 
depends	 enqika;  eyama; themba; 
deploy	-juba; 
deployed	juba; 
deployment	ukujutshwa; 
deposit	 imali elondoloziwe;  imali eyisibambiso;  indimbela; isibambiso;  -faka imali;  ukunqwabelana; 
deposited	 imali elondoloziwe;  imali eyisibambiso;  faka imali;  indimbela; isibambiso;  ukunqwabelana; 
depository	indawo yokubekelela; 
deposits	 imali elondoloziwe;  imali eyisibambiso;  faka imali; izindimbela; ukunqwabelana;  izibambiso; 
depreciation	ukwehla kwenani; 
depth	ukujula; 
deputies	amasekela;  amaphini; 
deputy	 isekela; isandla;  iphini; 
der	ojutshelwe ukumela umqashi; 
derive	thola;  phuma;  zuza;  suka;  susa; 
derived	isenzo esivela kolunye ucezu; 
descent	ukwehla;  isizukulwana;  umthambeka; 
describe	 dweba isiyingi; chaza;  khanyisa; 
described	 dweba isiyingi; chaza;  khanyisa; 
description	incazelo;  umeneko; 
desert	 mbuka; ugwadule; 
design	ukusika ingqephu;  umqopho;  isimo somfekethiso;  klama;  -qopha; 
designate	 khomba; khetha;  biza; 
designated	 okubiziwe;  okukhethiwe; okukhonjiwe; 
designation	 ukuqoka; isikhundla; 
designed	ukusika ingqephu;  umqopho;  qopha;  klama;  izimo zomfekethiso; 
designer	umqophi; 
designers	abaqophi; 
designs	ukusika ingqephu;  umqopho;  qopha;  klama;  izimo zomfekethiso; 
desirable	 okuthandekayo;  okukhangayo; okufunekayo; 
desire	khanuka;  uthando;  inkanuko;  fisa;  thanda; isifiso; 
desired	khanuka;  fisa; thanda; 
despite	phezu kokuba; phezu kwa-; 
destination	lapho kuyiwa khona; 
destiny	okumiselwe khona;  lokho umuntu adalelwe khona; 
destroy	-bhubhisa; 
destroyed	bhubhisa; 
destruction	ukubhubhisa; 
detail	 -ngokupheleleyo;  umniningwane; umnyombo; 
detailed	 umniningwane; umnyombo;  ngokupheleleyo; 
details	imininingwane;  iminyombo;  ngokupheleleyo; 
detained	 bambezela; bopha;  libazisa; 
detainees	ababoshwa; 
detection	 ukuhlalukisa; ukubona; 
detention	ukuboshwa; 
determination	ukubala;  ukuphikelela;  isinxanelo;  isiphelo; 
determine	nquma; 
determined	ukuzimisela; 
determines	nquma; 
determining	ukunquma; 
develop	 thuthukisa;  -khulisa; khula; 
developed	 thuthukisa;  khulisa; khula; 
developing	 ukukhulisa; ukuthuthukisa;  ukukhula; 
development	ukukhula;  intuthukiso;  ukukhulisa; 
developmental	 okwentuthuko; okokukhula;  okokuqhubekela phambili; 
developments	ukukhula;  intuthukiso;  ukukhulisa; 
develops	 thuthukisa;  khulisa; khula; 
device	qamba; 
devices	qamba; izisebenziso;  imishini noma amathuluzi asetshenziselwa umsebenzi othile; 
devolution	ukwedlulisela komunye;  ukuhlehlela emuva kwesimo sezinto; 
dialogue	ingxoxo;  inkulumo yababili; 
dialogues	 izinkulumo zababili; izingxoxo; 
diamond	idayimane;  idayimani;  ucija; 
diamonds	 amadayimani;  ocija; amadayimane; 
diaspora	 idayaspora; ufuduko; 
dictionary	isichazamazwi; 
did	enza; 
didn't	akukwenzanga; 
die	ukufa;  -ifa;  idayisi; 
died	ukufa;  idayisi;  yifa; 
dies	ukufa;  amadayisi; 
differ	ehluka; 
difference	 umehluko; umphumela; 
differences	 umehluko; umphumela; 
differently	 ngenye indlela; ngokungafani; ngokunye; 
difficult	lukhuni; 
difficulties	ubulukhuni; 
difficulty	ubulukhuni; 
digital	-zinombolo; 
dignified	okunesithunzi; 
dignitaries	izikhulu; 
dignity	isithunzi; 
dimensions	 ububanzi bobude nobohlonze; izilinganisobungako; 
dinner	 isidlo sakusihlwa; idina; 
diploma	idiploma; 
diplomatic	ohlakaniphile;  okuphathelene nezindaba zezizwe; 
directed	okuqongile; 
directing	ukuqonga; 
direction	 inkombandlela; indlela; 
directions	izindlela; izinkombandlela; 
directive	impambosi yokwenzela; 
directly	ngokuthi ngqo; 
director	 udayirektha; umqondisi; 
director-general	umqondisi jikelele; 
directors	abaqondisi;  odayirektha; 
directs	qonga; 
disabilities	ukukhubazeka; 
disability	ukukhubazeka; 
disadvantage	isici; 
disadvantaged	izici; 
disaster	inhlekelele; 
disasters	inhlekelele; 
discharge	 yeka; khipha;  ubhici;  ukuyekisa; 
discharged	 yeka; khipha;  ubhici; amabegolo;  ukuyekisa; 
disciplinary	okwejwayezayo umthetho; okokujezisa; 
discipline	 imfundiso yokulalela; ukuziphatha kahle; 
disciplines	izimfundiso zokulalela;  ukuziphatha kahle; 
disclaimer	ukuphika; 
disclose	veza;  bonakalisa; ambula;  dalula; 
disclosed	veza;  bonakalisa; ambula;  dalula; 
disclosure	 ukuvezwa; ukuveza;  ukudalulwa; 
discourse	 khuluma;  intshumayelo;  xoxa; inkulumo;  shumayela; 
discover	vumbulula; 
discovered	vumbulula; 
discovery	ukuthola;  imvumbululo; 
discretionary	okokuzikhethela; 
discrimination	ukubandlulula; 
discuss	xoxa; 
discussed	xoxa; 
discussing	xoxa; 
discussion	ingxoxo;  ukudingida; 
discussions	izingxoxo;  ukudingida; 
disease	 ukufa;  imbewu yokufa; isifo; 
diseases	 ukufa;  imbewu yokufa; isifo; 
dismissal	 ukumukiswa; ukuxoshwa; 
disparities	 ukungafuni; ukungalingani; 
dispensation	uhlelo lombuso; 
display	 bonisa; umbukiso;  ukubukisa;  bukisa; 
displayed	 bonisa; umbukiso;  ukubukisa;  bukisa; 
displaying	 umbukiso; ukubonisa;  ukubukisa; 
disposal	 ukufihla; ukulahla; 
dispose	lahla; 
disposed	lahla; 
dispossession	 ukwaphuca; ukuthathelwa; 
dispute	 umbango; banga; 
disputes	 imibango; banga; 
disqualified	 okuvinjelwe; okuphucwe izimfanelo; 
dissatisfied	ongagculisekile; 
dissemination	ukwazisa;  ukusakaza; 
dissolution	 ukuhlakazeka; ukuncibilika;  ukugqabuka; 
dissolve	chitha;  ncibilika;  -ncibilikisa; 
dissolved	chitha;  ncibilikisa;  ncibilika; 
distance	ibanga; 
distant	-banga; 
distinct	 okwahlukile; okusobala;  okuqhamile; 
distinction	umahluko;  idumela;  ukwahlukanisa; 
distinctions	umahluko;  idumela;  ukwahlukanisa; 
distinctive	 okuqhamisayo; okwahlukanisayo; 
distinguished	okunesithunzi;  okunegama;  okunodumo; 
distribute	abela; 
distributed	abela; 
distribution	 ukuhleleka; ukukhishwa;  ukusabalalisa; 
district	isifunda; 
districts	izifunda; 
distrust	ukungathembi; 
diversion	isilibaziso;  ukuphambukiswa; 
diversity	ukwahlukana;  ukungafani; 
diverted	phambikisa; 
divide	 -hlukanisa; hlukanisa; 
divided	hlukanisa; 
dividend	inzalo;  isahlukaniswa; 
dividends	inzalo;  izahlukaniswa; 
division	ukwehlukanisa;  ukuzehlukanisa;  ukwahlukanisa; 
divisions	ukwehlukanisa;  ukuzehlukanisa;  ukwahlukanisa; 
divorce	 isahlukaniso; isehlukaniso; 
do	enza; 
doctor	udokotela; 
doctorate	ihhovisi lomqondisi; 
doctors	odokotela; 
document	umbhalo; 
documentation	ukuqoqwa kwemibhalo ephathelene nomsebenzi othile; 
documented	umbhalo; 
documenting	umbhalo; 
documents	umbhalo; 
does	enza; 
doesn't	akukwenzi; 
doing	ukwenza; 
dollar	idola; 
domain	inombolo eguquguqukayo ezimele; 
domains	izinombolo eziguquguqukayo ezizimele; 
domestic	okwasekhaya; 
dominant	inothi lesihlanu; 
domination	 ukubusa; ubukhulu; 
don	uthisha wasenyuvesi; 
don't	ungakwenzi; 
donation	umnikelo; 
donations	iminikelo; 
done	enza; 
donor	umphi; 
donors	abaphi; 
door	 isivalo; isicabha;  umnyango; 
doors	iminyaka;  izicabha;  izivalo; 
double	phinda;  okuphindwe kabili; 
doubt	 intandabuzo;  ukungabaza; ukukhononda; 
down	phansi;  amaqubu;  imbunga; 
downtown	enzi nedolobha noma enkabeni nedolobha; 
downturn	ukwehla kwemisebenzi yezomnotho; 
draft	ipulani elingaphelele; 
drafted	loba amazwi esiphakamiso;  loba okuyisigece; 
drafting	 ukuloba okuyisigece; ukuloba amazwi esiphakamiso; 
drama	umdlalo;  idrama; 
dramatic	okwezehlakalo ezisusa usinga; okususa usinga; 
draw	 ukudlala ngokulingana;  fanekisa; bhala;  dweba;  ukungehlulani; 
drawing	 umdwebo; ukudweba; 
drawn	 okudonsiwe; okudwetshiwe; 
dream	isifiso; 
dreams	izifiso; 
drew	 ukudlala ngokulingana;  fanekisa; bhala;  dweba;  ukungehlulani; 
drink	 phuza; isiphuzo; 
drinking	ukuphuza; 
drive	umgwaqo; 
driven	umgwaqo; 
driver	umshayeli; 
driver's	okomshayeli; 
drivers	abashayeli; 
drop	 -iwa; iconsi;  ithonsi; 
drug	 isidakamizwa; ikhambi;  umuthi wokwelapha; 
drugs	 amakhambi; izidakamizwa;  imithi yokwelapha; 
drum	 idramu; isigubhu; 
dry	 yomisa;  -omile; oma;  komile;  omisa; 
dual	 ngakubili; mbaxambili; 
due	icala; 
duly	ngesikhathi sakho; njengokufaneleyo; 
duplicate	 phinda kabili; impinda kabili; 
duplication	ukuphinda kabili; 
duration	 ubungako besikhathi;  isikhathi somdlalo;  ubude besikhathi; ubude; 
during	phakathi kwa-' ngesikhathi; 
duties	 intela;  izintela zezimpahla zangaphandle;  izibopho; imisebenzi; 
duty	intela;  intela yezimpahla zangaphandle;  umsebenzi;  isibopho; 
dynamic	okunamandla;  okukhuthele; 
dynamics	Ukunakwa kwezinguquko ezenzekayo; 
e-mail	 umbikombani; thumela ngombikombani; 
each	ngakunye; 
earlier	okwenzeka ingxenyeni yokuqala yesikhathi; 
earliest	okwenzeka ngasekuqaleni kwesikhathi; 
early	 ekuseni kakhulu; masinya; 
earmarked	hlaba uphawu; uphawu lwasendlebeni; 
earn	hlomula; 
earned	hlomula; 
earning	ukuhlomula; 
earnings	iholo;  okuholwayo;  imali eholwayo; 
earth	 umhlaba; umhlabathi; 
ease	ukuphumula; 
easier	lula; 
easily	kahle;  kalula; 
east	empumalanga;  impumalanga; 
eastern	okwasempumalanga; 
easy	lula; 
economically	ngokonga; 
economics	ezomnotho; 
economies	 umnotho; umnotho wamazwe; 
economists	osomnotho; 
economy	umnotho wezwe;  umnotho; 
ecosystems	uhlelomhlaba; 
edge	 umphetho weqabunga; unqenqema;  umphetho; 
editing	ukuhlela; 
edition	umshicilelo; 
editor	umhleli; 
editors	abahleli; 
educate	-fundisa; 
educated	fundisa; 
educating	ukufundisa; 
education	 ukufundisa;  Ukufundisa;  imfundo; ukufunda; 
educational	-kwemfundo; 
educator	umfundisi; 
educators	abafundisi; 
effect	umphumela;  feza; 
effected	umphumela;  feza; 
effectively	ngempumelelo; 
effectiveness	impumelelo; 
effects	imiphumela;  feza; 
efficacy	amandla okuqeda; 
efficiency	 ngokugculisayo; ikhono; 
efficient	-nekhono; 
efficiently	ngokuqeqeshekile; ngekhono; 
effort	umzamo; 
efforts	imizamo; 
eight	isishiyagalombili; 
either	 noma muphi; noma; 
el	isitimela esigijima kujantshi ophakanyisiwe; 
elderly	 okukhudlwana; okudadlana; 
elders	abadala;  abakhulu; 
elect	ukukhetha;  khetha; 
elected	ukukhetha;  khetha; 
election	ukhetho; 
elections	ukhetho; 
electoral	okokhetho; 
electrical	okukagesi; 
electricity	ugesi;  i-elekthrisithi; 
electrification	ukufakwa kukagesi; 
electronic	ngobunhlansi; 
electronically	ngobunhlansi; 
elects	ukukhetha;  khetha; 
element	ilungu;  ingxenye;  isithako semvelo; 
elements	imisuka; 
elevate	phakamisa;  khulisa; khuphula; 
eleven	ishumi nanye; 
eligible	 okunokukhethwa; okufanelekile; 
eliminate	khipha;  hlunga; 
eliminated	khipha;  hlunga; 
elimination	ukukhipha; 
eloquently	ngobuntwesi bamazwi; 
else	futhi;  okunye; 
elsewhere	kwenye indawo; 
emanating	 okuphuma; okuvela; 
emancipation	ukukhululwa; 
embark	ngena emkhunjini; 
embarked	ngena emkhunjini; 
embarking	ukungena emkhunjini; 
embassies	amanxusa;  izikhungo zamanxusa; 
embassy	 isikhungo senxusa; amanxusa; 
embed	mbela; 
embedded	mbela; 
emblem	uphawu; 
embodiment	ukuhlanganiswa; 
embrace	-emukela;  -anga; 
embraced	emukela;  anga; 
embraces	emukela;  anga; 
emerge	 qhamuka; phuma; hlaluka; 
emerged	 qhamuka; phuma; hlaluka; 
emergence	 ukuqhamuka; ukuphuma;  ukuhlaluka; 
emergency	 isimo esiphuthumayo; okuphuthumayo; 
emergent	okusanda kuhlaluka; 
emerging	 ukuqhamuka; ukuphuma;  ukuhlaluka; 
eminent	okuphakeme;  okudumile;  okuqhamile; 
emission	okuphunyiswayo; ukuphuma; 
emissions	okuphunyiswayo; ukuphuma; 
emoluments	 inkokhelo; inzuzo;  iholo; 
emotion	umuzwa;  usinga; 
emotional	okusheshayo ukuzwela; 
emotions	imizwa;  usinga; 
emphasis	isigcizelelo; 
emphasise	gcizelela; 
emphasised	 gcizelela; qinisa; 
emphasises	 gcizelela; qinisa; 
employ	 -qasha; qasha; 
employed	qasha; 
employee	umsebenzi; 
employees	abasebenzi; 
employer	umqashi; 
employers	abaqashi; 
employing	ukuqasha; 
employment	ukuqashwa;  ukusebenza; 
employs	qasha; 
empower	nika amandla; 
empowered	nika amandla; 
empowering	ukunika amandla; 
empowerment	ukuhlomisa; 
empty	thulula; 
emulate	 fanisa; linganisa; 
enable	siza;  nika amandla; 
enabled	siza;  nika amandla; 
enables	siza;  nika amandla; 
enabling	 ukunika amandla; ukusiza; 
enacted	linganisa;  misa; 
enacting	ukumisa;  ukulinganisa; 
enactment	ukumiswa; 
enactments	ukumiswa; 
encourage	 -khuthaza; khuthaza; 
encouraged	khuthaza; 
encourages	khuthaza; 
encouraging	ukukhuthaza; 
end	 isigcino; isiphetho; 
endanger	-faka engozini; 
endangered	faka engozini; 
endeavor	zama; 
endeavour	zama; 
endeavours	zama; 
ended	 isigcino; isiphetho; 
ending	isigcino; 
endorse	vumela; 
endorsed	vumela; 
endorsement	ukuvumela; 
ends	 isigcino; isiphetho; 
enduring	 ukubekezela; ukuqina; 
energy	amandla; 
enforced	phoqelela; 
enforcement	ukuphoqelela; 
engage	 qasha; vuma;  thembisa; 
engaged	 qasha; vuma;  thembisa; 
engagement	isethembiso; 
engagements	isethembiso; 
engaging	 ukwethembisa; ukuvuma;  ukuqasha; 
engender	 veza;  zala; banga; 
engendering	 ukuzala; ukuveza;  ukubanga; 
engine	injini; 
engineer	 qalisa; unjiniyela; 
engineering	 ubunjiniyela; ukuqalisa; 
engineers	onjiniyela;  qalisa; 
enhance	engeza; 
enhanced	engeza; 
enhancement	 ukukhulisa; ukwengeza; 
enhancing	ukwengeza; 
enjoy	jabulela; thokoza; 
enjoyed	jabulela; thokoza; 
enormous	 okukhulukazi; okuningi kakhulu; 
enough	ngokwanele; 
enquiries	ukuphenya; 
enquiry	uphenyo; 
enrich	 nothisa; -cebisa; 
enrol	bhala; 
enrolled	bhala; 
enrolment	ukubhalwa; 
enshrined	 beka endaweni engcwele; ngcwelisa; 
ensue	landela; 
ensuing	ukulandela; 
ensure	qiniseka; 
ensured	qiniseka; 
ensures	qiniseka; 
ensuring	ukuqiniseka; 
entail	veza; 
entails	veza; 
enter	faka; 
entered	faka; 
entering	ukufaka; 
