APRIL	Lambamai; 
dealers	vharengisi;  vhashavhi; 
dealing	vhubindudzi; rengisa; vhambadza;  mbambadzo; 
deals	 vhambadza; thendelano; ṱhirantsikishini;  nzudzanyo;  thengiselano;  konṱiraka; 
dealt	 vhambadza; thendelano; ṱhirantsikishini;  nzudzanyo;  thengiselano;  konṱiraka; 
dear	funwaho; tshiḓuraho; mufunwa; 
death	lufu; 
deaths	mpfu; 
debate	khanedzano;  u hanedzana; 
debated	 hanedzana; khanedzano; 
debates	 hanedzana; khanedzano; 
debt	mulandu; 
debtor	mukolodi; 
debtor's	 re na mulandu; muvhilwa;  re na tshikolodo; 
debts	milandu; 
decade	miṅwaha ya fumi; 
decades	miṅwaha ya fumi; 
deceased	mufu; 
decent	 khuliso; ndugelo; 
decide	-tshea mafhungo; 
decided	 langana; humbula;  tshea mafhungo; 
decides	tshea mafhungo; 
deciding	tshea mafhungo; 
decision	tsheo;  tsheo ya mafhungo; 
decision-making	u dzhia tsheo; 
decisions	tsheo;  tsheo ya mafhungo; 
declaration	mulevho; 
declare	ḓivhadza; 
declared	 dzumbulula;  bvisa; kwaṱhisa; amba; 
declares	ḓivhadza; 
decline	 landula;  lamba; hana; 
declined	 landula;  lamba; hana; 
declines	 landula;  lamba; hana; 
declining	 landula;  lamba; hana; 
decrease	fhungudza; 
decreased	fhungudza; 
decryption	ita uri zwi pfesesee; ṱhalutshedzo;  ṱhaluso; 
dedicate	kumedza;  -kumedza; 
dedicated	kumedza; 
dedication	vhukumedzi; 
deduct	-ṱusa; 
deducted	ṱusa; 
deduction	muṱuso; 
deductions	miṱuso; 
deed	ṱanziela ya vhuṋe; 
deeds	ṱanziela ya vhuṋe; 
deem	vhona;  linganya; 
deemed	vhona;  linganya; 
deems	vhona;  linganya; 
deep	tsa; dindi ḽo tsaho;  vhuswatata;  tsaho; 
deepen	tsisa fhasi fhasi; vhuswata; 
deeper	tsa;  vhuswatata; dindwi ḽo tsaho;  tsaho; 
deeply	tsisa fhasi fhasi; vhuswata; 
default	khakha; kundelwa; 
defect	 posa; mulandu; 
defence	tsireledzo; 
defend	 tsireledza;  lamulela;  lwela; thivhela;  ambela;  imelela; kwatisa; 
defendant	muhwelelwa; muvhilaelwa; 
defiance	lunyadzo; 
deficiencies	ṱhahelelo;  u kundelwa; 
deficit	ṱhahelelo; 
deficits	ṱhahelelo; 
define	-ṱanḓavhudza; 
defined	ṱanḓavhudza; 
defines	ṱanḓavhudza; 
defining	ṱanḓavhudza; 
definition	ṱhalutshedzo;  ṱhanḓavhudzo; 
definitions	ṱhalutshedzo;  ṱhanḓavhudzo; 
degree	digirii; 
degrees	digirii; 
delay	 lengisa;  tshilengo; lenga; 
delayed	 lengisa;  tshilengo; lenga; 
delays	 lengisa;  tshilengo; lenga; 
delegate	murumelwa;  -rumelwa; 
delegated	rumelwa;  murumelwa; 
delegates	rumelwa;  murumelwa; 
delegation	vhurumelwa; 
delegations	vhurumelwa; 
delete	phumula; 
deleted	phumula; 
deletion	thutha; 
deliberate	rera;  nga khole;  elekanya; 
deliberately	rera;  nga khole;  elekanya; 
delighted	takala; 
deliver	u isa;  u bebisa; 
delivered	 bebisa; isa; 
delivering	 bebisa; isa; 
delivers	 bebisa; isa; 
delivery	u vhofholowa; 
demand	 ṱoḓa; muvhilo;  ṱhoḓea; 
demands	 ṱoḓa; muvhilo;  ṱhoḓea; 
demarcation	mukano; 
democratically	vhuvhusavhoṱhe; 
demographic	tsha dimogirafi; 
demonstrate	sumbedza;  gwalaba; 
demonstrated	sumbedza;  gwalaba; 
demonstrates	sumbedza;  gwalaba; 
demonstration	misumbedzo;  u sumbedza;  musumbedzo; 
denied	hana; 
dental	maṋo; 
deny	u hana; 
department	muhasho; 
department's	muhasho; 
departmental	-muhasho; 
departments	muhashwana; muhasho; 
departure	tshimbila;  ṱuwa; 
depend	 fulufhela; lavhelesa; 
dependants	 fulufhela; lavhelesa; 
dependence	u ḓiimisa; 
dependent	-fulufhela; 
depending	 fulufhela; lavhelesa; 
depends	 fulufhela; lavhelesa; 
deploy	rumela; 
deployed	rumela; 
deployment	 vhewa;  nzudzanyo;  vhea;  tshidzulo; tshiimo; 
deposit	 diphositha;  masalela; diphosithi; 
deposited	 diphositha;  masalela; diphosithi; 
depository	vhulunga;  londota;  vhulungelwaho; kuvhanyanya; 
deposits	 diphositha;  masalela; diphosithi; dibositi; 
depreciation	tsa ha ndeme; tsudzufhalo; 
depth	vhudzivha; 
deputies	zwanḓa zwa;  vhathusa; vhafarisa; 
deputy	mufarisa;  muthusa; tshanḓa tsha; 
derive	vhumba;  sika; 
derived	vhumba;  sika; 
descent	lushaka lwa vhaḓuhulu vha muthu; 
describe	 -buletshedza; -tala; 
described	 tala; buletshedza; 
description	mbuletshedzo; 
desert	 -laṱedza;  soga; phanga; 
design	 -ola; nyolo;  makolo; 
designate	 avhelwa;  buletshedzwa;  vhidzwa; dzina; 
designated	khetwa;  nangwa; vhidzwa;  buletshedzwa; 
designation	vhuimo; 
designed	 nyolo; ola;  makolo; 
designer	muoli; 
designers	muoli; 
designs	 nyolo; ola;  makolo; 
desirable	tameaho; 
desire	 lutamo; tama;  nyemulo;  tamela;  funa; 
desired	 lutamo; tama;  nyemulo;  tamela;  funa; 
despite	naho zwo ralo; 
destination	 vhuiwa; vhuyo; 
destiny	vhuyo; 
destroy	tshinyadza; 
destroyed	tshinyadza; 
destruction	tshinyadzo; 
detail	tshidodombedzwa;  zwiteṅwa;  -vhudodombedzi; 
detailed	 zwiteṅwa;  tshidodombedzwa; vhudodombedzi; 
details	 zwiteṅwa; zwidodombedzwa;  vhudodombedzi; 
detained	valelwa; 
detainees	vhafariwa; vhavalelwa; 
detection	 tumbula; wanulusa;  ḓivha; 
detention	u valela; 
determination	wana; ta;  dzumbulula; 
determined	ḓiimisela; 
determines	ta; 
determining	ta; 
develop	-bveledza;  u aluwa; 
developed	 aluwa; bveledza; 
developing	 aluwa; bveledza; 
development	mveledziso;  nyaluwo; 
developmental	bveledza;  bvelela; 
developments	mveledziso;  nyaluwo; 
develops	 aluwa; bveledza; 
device	tshishumiswa;  -khavhanga; 
devices	 khavhanga; zwishumiswa; 
devolution	vhurumelwa; sidzulusa; 
dialogue	nyambedzano;  mufhindulano; 
dialogues	nyambedzano;  mufhindulano; 
diamond	 daimane; musendo; 
diamonds	 daimane; musendo; 
diaspora	mupfuluwo; 
dictionary	ṱhalusamaipfi; 
did	ita; 
didn't	sa ita; 
die	 u fa; u lovha; 
died	 fa; lovha; daizi; 
dies	 fa; lovha; daizi; 
differ	-fhambana; 
difference	phambano; 
differences	 phambano; phambano; tsala; 
different	 fhambana;  siana; fhambanaho;  ṱutshelana; 
differently	fhambana;  siana;  ṱutshelana; 
difficult	 lemela;  konḓa;  konḓaho; lemelaho; laṱisa; 
difficulties	tshikundisi; 
difficulty	tshikundisi; 
digital	didzhithala; 
dignified	 ṱhonifho; vhuhulwane;  tshirunzi; 
dignitaries	vhaṱhomphei; vhahulwane; 
dignity	tshirunzi; 
dimension	muelo; 
dimensions	sia; 
dinner	dina;  tshilalelo; 
diploma	dipuloma; 
diplomatic	 vhuswaledzeli; vhuvhuyefhadzi; 
direct	-luga; 
directed	luga; 
directing	luga; 
direction	sia; 
directions	sia; 
directives	ḽiitele; 
directly	thwii; 
director	mulangi; 
director-general	mulangi muhulwane; 
directorate	ndangulo; 
directors	vhalangi; 
directs	luga; 
disabilities	vhuholefhali; 
disability	vhuhole; 
disabled	holefhala; 
disadvantage	tshikonḓisi; 
disadvantaged	tshikonḓisi; 
disaster	tshiwo;  -bulayo; 
disasters	 bulayo; tshiwo; 
discharge	malanga; 
discharged	 tshiluḓibviswa; malanga; tshadzhuluwo; 
disciplinary	ndaṱiso;  vhulayi;  ndayo; 
disciplines	ndaṱiso; 
disclaimer	ndambavhuḓifhinduleli; 
disclose	ambulula;  bvisela khagala; 
disclosed	ambulula;  bvisela khagala; 
disclosure	ambulula;  bvisela khagala; 
discourse	desethesheni; nyambedzano;  therisano;  vhudavhidzano;  tshipitshi; 
discover	-tumbula; 
discovered	tumbula; 
discovery	 tumbula; vhutumbuli; 
discretion	vhuṱali; 
discretionary	 muhumbulo;  vhuṱali; ndivho; 
discrimination	khethululo; 
discuss	rera; 
discussed	rera; 
discussing	rera; 
discussion	rera;  murero; 
discussions	rera;  therisano; 
disease	vhulwadze; 
diseases	vhulwadze; 
dismissal	pandelwa;  thathwa; 
disparities	 sa elana; phambano;  sa tevhekana;  sa lingana; 
dispensation	nyimele ya poḽotiki ya tshifhinga tshenetsho; 
display	 -ṱana; ṱana; 
displayed	ṱana; 
displaying	ṱana; 
disposal	 fhelisa; bvisa; laṱa; 
disposed	laṱa; 
dispossession	 ṱhahelelo;  sivhe na tshitshu; sa phetheya;  tsirusa; bvisa;  shaya; 
dispute	phambano;  -ṱaṱisana; 
disputes	phambano;  ṱaṱisana; 
disqualified	 sa tea;  lambela;  bviswa; thivhela;  iledzwa; 
dissatisfied	vhilaela;  vhilaedza; 
dissemination	laṱanya; balanganya; 
dissolution	 magumo; fhelisa;  vala; 
dissolve	 ṋoka; fhaladza; 
dissolved	 ṋoka; fhaladza; ṋwisa; 
distance	vhukule; 
distant	 kule;  vhukule; tshikhala; 
distinct	 fhambana;  siana; fhambanaho;  ṱutshelana; 
distinction	furalelanaho; dzi sa fani; 
distinctions	 fhambana; khethekanyo; 
distinctive	furalelanaho; dzi sa fani; 
distinguished	 ṱalukanya; khetha; 
distribute	kovhekanya;  -kovhekanya; 
distributed	kovhekanya; 
district	tshiṱiriki; 
districts	tshiṱiriki; 
distrust	u sa themba; 
diverse	bva; 
diversion	 vhaṅwe; bva; fhambanaho; dziṅwe; 
diversity	fhambana; 
diverted	pambuwa; tambisa; 
divide	 -kovha; kovha;  khethekanya; 
divided	kovha;  khethekanya; 
dividend	 mukanzwo; kovhiwa; 
dividends	 mukanzwo; ḽikovhiwa; kovhiwa; 
division	khethekanyo;  u kovha;  mukovho; 
divisions	khethekanyo;  kovha;  mukovho; 
divorce	ṱhalano; 
do	 itesa; ita;  shuma; 
doctor	dokotela;  maine;  ṅanga; 
doctorate	vhudokotela; 
doctors	 vhomaine; madokotela;  ṅanga; 
document	ḽiṅwalwa; 
documentation	 ḽiṅwalo;  u kuvhanganya maṅwalo; ḽiṅwalo ḽa vhuṱanzi; 
documented	ḽiṅwalwa; 
documenting	ḽiṅwalwa; 
documents	maṅwalwa; 
does	ita; 
doesn't	sa ita; 
doing	ita; 
dollar	doḽa; 
domain	pfunzo ya kule; 
domains	pfunzo ya kule; 
domestic	-muṱani; 
dominant	thakhula; 
domination	rena; vhusa; 
don	ambara;  mugudisi; 
don't	songo; 
donation	ndambedzo; 
donations	ndambedzo; 
done	fhedza; 
donor	muṋetshedzi; 
donors	vhaṋetshedzi; 
door	vothi; 
doors	mavothi; 
double	nga zwivhili; 
doubt	 gungula; timatima;  kanakana; thimothimo;  vhilahedza; 
down	 mithenga; fhasi;  vhuthenga; 
download	-sudzulusa; 
downtown	tshivhindini tsha ḓorobo;  vhukati ha ḓorobo; 
downturn	tsela fhasi; vhutsaekonomi; 
draft	mvetomveto; 
drafted	mvetomveto; 
drafting	mvetomveto; 
drama	ḽitambwa; 
dramatic	ḽitambwa;  ḓirama; 
draw	 u ola; -khesha; 
drawing	 nyolo; ola; 
drawn	 kiwa;  u kheshwa tsheke; oliwa;  kokodziwa;  u lingana; taliwa;  u wa mafhuri;  u bviswa tshelede; 
dream	muloro; 
dreams	miloro; 
drew	tamba u lingana; ola;  khesha; 
drink	tshinwiwa; 
drinking	nwa; 
drive	Mukoto; 
driven	Mukoto; 
driver	mureili; 
driver's	 mutshaeli; mutshimbidzi;  mureili;  ḓiraiva; 
drivers	vhareili; 
driving	Mukoto; 
drop	 -tsa; shotha; 
drug	 tshidzidzivhadzi; mushonga; 
drugs	ḓiraga; mishonga;  zwidzidzivhadzi; 
drum	 ḓiramu; ngoma; 
dry	 -omaho; oma;  -oma;  -omisa;  yo omaho; 
dual	 -nga huvhili; -vhili; 
due	-mulandu; 
duly	teaho;  fanelaho; 
duplicate	mukokotolo; 
duplication	mukokotolo; 
duration	tshifhinga; 
during	vhukati ha; 
duties	miingatengo;  pfanelo;  vhuḓifhinduleli;  mithelo; mishumo;  ndivhanelo; 
duty	 pfanelo;  vhuḓifhinduleli;  muthelo; mushumo;  ndivhanelo; 
dynamic	dainamiki; 
dynamics	dainamiki; 
e-mail	 poswo nga eḽekiṱhironiki; emeiḽi;  imeiḽa; 
each	tshithihi tshithihi; 
earlier	 mathomoni;  phanḓa;  vhilula;  fhindutshela;  vutshela; ṱavhanya; 
earliest	ṱavhanyedzesa; fhinduwesa;  vhilulesa; 
early	 fhindutshela;  vutshela; vhilula; 
earmarked	vhaledzelwa;  vhetshelwa thungo; kovhelwa;  funga; 
earn	- hola; 
earned	hola; 
earning	hola; 
earnings	mbadelo;  malamba a mushumi;  muholo; 
earth	ḽifhasi; 
easier	sa konḓa; 
easily	leluwaho;  nga vhulenda;  zwavhuḓi; 
east	 vhubvaḓuvha; Vhubvaḓuvha; 
eastern	vhubvaḓuvha; 
easy	-sa konḓa; 
economic	ekonomi; 
economically	vhulungaho ekonomi; sa tambisiho ekonomi; 
economies	ikonomi; 
economists	vhoraekonomi; 
economy	ikonomi; 
ecosystem	ekhosisteme; 
ecosystems	ekhosisteme; 
edge	lumeme; 
edit	dzudzanya; 
editing	dzudzanya; 
edition	nzudzanyo; 
editor	mudzudzanyi; 
editors	vhadzudzanyi; 
educate	funza; 
educated	funza; 
educating	funza; 
education	 u funza; pfunzo; 
educational	zwa pfunzo;  -pfunzo; 
educator	mudededzi; 
educators	vhadededzi; 
effect	-bveledza; 
effected	bveledza; mveledzwa; 
effective	 bveledzaho mvelelondavhelelwa; -bveledzaho; 
effectively	 bvelelaho; itaho;  shumaho; 
effectiveness	 shuma;  ita;  bvelela; 
effects	bveledza; mveledzwa; 
efficacy	ita;  shuma;  ndeme;  bvelela; 
efficiency	vhukoni; 
efficient	vhukoni;  -vhukoni; 
efficiently	 bvelelaho; itaho;  shumaho; 
effort	vhuḓidini; 
efforts	vhuḓidini; 
eight	malo; 
either	kana; 
elderly	vhuhulwane;  vhualuwa; 
elders	 vhaaluwa; vhahulwane; 
elect	khetha;  -khetha; 
elected	khetha; 
election	khetho; 
elections	khetho; 
electoral	khetho; 
electrical	muḓagasi; 
electricity	muḓagasi; 
electrification	dzhenisa muḓagasi; 
electronically	eḽekiṱhironiki; 
elects	khetha; 
elevate	 imisa;  isa nṱha; 
eleven	fumithihi; 
eligible	tewa;  fanelwa; 
eliminate	-bvisa; 
eliminated	bvisa; 
elimination	u bvisa; 
eloquently	elela; fhuredzela; 
else	 muṅwe; u sili; 
elsewhere	 huṅwe;  huṅwe fhethu; thungo iṅwe; 
emanating	 thoma; bva; 
emancipation	mbofhololo; 
embark	lwendo;  dzhena; 
embarked	lwendo;  dzhena; 
embarking	lwendoni;  dzhena; 
embassies	embasi; 
embassy	embasi; 
embed	-somedza; 
embedded	somedza; 
embodiment	 tshifanyiso;  tshivhumbeo;  ambadzwa; tsumbo; 
embrace	 kuvhatedza; katela; 
embraced	 kuvhatedza; katela; 
embraces	 kuvhatedza; katela; 
emerge	 bva;  bvelela; 
emerged	 bvelela; bva; 
emergence	 bvelela; bva; 
emergency	 zwa shishi;  tshiimo tshi toḓaho u ṱavhanya; ndiliso; 
emergent	 aluwa; bvelela; 
emerging	 bva; u bvelela; 
eminent	 khetheaho;  wa bvumo; hulwane;  tsha phungo mbuya; ndeme;  ḓivheaho; 
emission	 phaḓaladzo; vhubveledzi; muhasaladzo; 
emissions	 phaḓaladzo; vhubveledzi; muhasaladzo; 
emoluments	 malamba; miholo; 
emotion	nyanyuwo; 
emotional	 dzikuwa; nyanyuwa; 
emotions	nyanyuwo; 
emphasis	 nyombedzelo; khwaṱhisedzo; 
emphasise	 ombedzela; khwaṱhisedza; 
emphasised	 ombedzelwa; khwaṱhisedzwa; 
emphasises	 ombedzela; khwaṱhisedza; 
employ	thola; 
employed	thola; 
employee	mutholiwa; 
employees	vhatholiwa; 
employer	mutholi; 
employers	vhatholi; 
employing	thola; 
employment	mushumo; 
employs	thola; 
empower	maanḓafhadza; 
empowered	maanḓafhadzwa; 
empowering	maanḓafhadza; 
empty	-shulula;  -si na tshithu; 
emulate	vhambedza;  edzisela;  ṱaṱisana; 
enable	-konisa; 
enabled	konisa; 
enables	konisa; 
enabling	konisa; 
enacted	mulayo;  mulevho;  bulwaho;  phasiswa; 
enacting	mulayo;  mulevho;  bulwaho;  phasiswa; 
enactment	mulayo;  mulevho;  bulwaho;  phasiswa; 
enactments	mulayo;  mulevho;  bulwaho;  phasiswa; 
encourage	ṱuṱuwedza; 
encouraged	ṱuṱuwedza; 
encourages	ṱuṱuwedza; 
encouraging	ṱuṱuwedza; 
end	magumo; 
endanger	u dzhenisa khomboni; 
endangered	u dzhenisa khomboni; 
endeavor	edzisa; 
endeavour	-edzisa; 
endeavours	edzisa; 
ended	magumo; 
ending	 guma; fhela; 
endorse	 themendela;  khwaṱhisedza; tendela; 
endorsed	tendelwa;  khwaṱhisedzwa;  themendelwa; 
endorsement	thendelo;  khwaṱhisedzo;  themendelo; 
ends	magumo; 
enduring	 sa fhela mbilu;  konḓelela; 
energy	fulufulu; 
enforce	ombedzela; 
enforced	ombedzela; 
enforcement	kombetshedza u tevhedza; 
engage	 tholwa;  shela mulenzhe; kunga;  vha na mushumo; 
engaged	 dzewa; farekanea;  fhulufhedziswa u vhinga; 
engagement	nyanḓano; 
engagements	nyanḓano; 
engaging	kunga; 
engender	 dzwala; bveledza; 
engendering	 dzwala; bveledza; 
engine	ṱhoho;  nzhini; 
engineer	muinzhiniara; 
engineering	munzhiniere; muinzhiniara; 
engineers	vhanzhiniere; vhainzhiniara; 
enhance	khinisa; 
enhanced	khwiniswa; 
enhancement	khwiniso;  khwinisa; 
enhancing	khwinisa; 
enjoy	ḓiphina; 
enjoyed	ḓiphina; 
enormous	 zwihulwanesa; khulwanesa; 
enough	lingana; 
enquiries	tsenguludzo; 
enquiry	ṱhoḓisiso; 
enrich	-pfumisa; 
enrol	-ṱanganedza; 
enrolled	ṱanganedza; 
enrolment	ṱhanganedzo; 
enshrined	tsireledzwa; 
ensue	-bvelela; 
ensuing	bvelela; 
ensure	fulufhedzisa; 
ensured	fulufhedzisa; 
ensures	fulufhedzisa; 
ensuring	fulufhedzisa; 
entail	katela;  ṱoḓa;  angaredza; 
entails	katela;  ṱoḓa;  angaredza; 
enter	dzhenisa; 
entered	dzhenisa; 
entering	dzhenisa; 
enterprise	bindu; 
enterprises	mabindu; 
enters	dzhenisa; 
entertainment	vhumvumvusi; 
entire	suvha;  -oṱhe; 
entirely	tshoṱhe; 
entities	zwiimiswa; 
entitled	 tewa; tendelwa;  fanelwa; 
entity	tshiimiswa; 
entrance	khoro;  tshivhana;  ha u dzhena;  muṋango; 
entrepreneur	mubindudzi; 
entrepreneurial	vhubindudzi;  vhushavhi;  vhuvhambadzi;  makwevho; 
entrepreneurs	vhabindudzi; 
entrepreneurship	vhubindudzi; 
entries	madzhenele; 
entrusted	fhulufhelwa; 
entry	madzhenele; 
envelope	fulobo; 
environment	 mupo; vhupo; 
environmental	vhupo; 
environments	vhupo; 
envisaged	sedzwa;  bula zwiḓaho;  humbulelwa;  vhona zwiḓaho;  elekanya;  linganya; 
envisages	sedzwa;  bula zwiḓaho;  humbulelwa;  vhona zwiḓaho;  elekanya;  linganya; 
epidemic	dwadze; 
equal	eḓana;  u lingana;  eḓana na; 
equality	ndinganyelo; 
equally	zwi eḓanaho; 
equals	lingana na; 
equipment	zwishumiswa; 
equipped	shomedza; shomedzwa; 
equitable	tshiitwaho nga ndelekanyo; pfalaho;  sa dzhia sia; 
equity	lingana;  sa dzhia sia;  lugaho;  eḓana;  fanelaho; 
equivalent	ndingano; 
era	 tshikhathi; tshifhinga; 
eradicate	 tupula; bvisa; 
eradicating	 tupula; bvisa; 
eradication	mutupulo; 
error	khakho; 
errors	khakho; 
escape	u ponya; 
escapes	phonyoka; ponya; 
especially	zwihuluhulu;  nga maanḓa; 
essence	vhukwaho; 
essential	ṱoḓeaho;  -ṱoḓeaho; 
essentially	 tsha vhuṱhogwa; tsha ndeme;  tsha mutheo; tshihulwane; 
establish	u thoma; 
established	thoma; 
establishes	thoma; 
establishing	thoma; 
establishment	tshiimiswa;  thomiwa; 
establishments	zwiimiswa; 
estate	thundu;  ifa;  kusi; 
estates	thundu;  ifa;  ndaka; 
esteemed	 sedzesa zwihulu;  khuliso;  hulisa;  huliswa; ndeme; 
estimate	 u anganya; anganya;  -gaganya; 
estimated	 gaganya; anganya; 
estimates	 gaganya; anganya; 
ethical	mikhwa;  tshavhuḓi;  vhuhwavho; tea;  lugaho;  hulisa;  huliswa;  fanelaho; 
ethics	vhuḓifari; 
ethnic	-mirafho;  zwa lushaka; 
ethnicity	lushaka; 
ethos	 ndivho khulu; lushaka;  mukhwa wa muthu;  mikhwa; 
evaluate	u ela ndeme; 
evaluated	ela ndeme; 
evaluating	ela ndeme; 
evaluation	vhupimathengo; 
eve	mulovha;  ḓuvha ḽo fhiraho; 
even	 -linganya;  -lingana; -linga; 
evening	madekwana; 
event	 mutambo; tshiwo; 
events	mitambo;  zwiwo; 
eventually	phetho;  ya u fhedzisela;  ya u fhiledza; 
ever	 tshifhinga tshoṱhe;  lini na lini;  misi yoṱhe; tshikhathi tshiṅwe na tshiṅwe;  tshifhinga tshiṅwe na tshiṅwe; 
every	ṅwe na ṅwe; 
everybody	vhoṱhe;  muṅwe na muṅwe; 
everyone	vhoṱhe;  muṅwe na muṅwe; 
everything	zwoṱhe;  tshiṅwe na tshiṅwe; 
evidence	vhuṱanzi; 
evident	vha khagala; 
evolve	-bvelela; 
evolved	bvelela; 
evolving	bvelela; 
ex	 wa u rangela;  wa phanḓa; fhiraho;  wa kale; 
exactly	nga u lugamedza; zwavhuḓivhuḓi; 
examination	mulingo; 
examinations	ṱholo; mulingo; 
examine	linga;  u linga; 
examined	linga; 
example	 tsumbedzo; tsumbo; 
examples	 tsumbedzo; tsumbo; 
exams	milingo; 
exceed	fhira;  u fhira; 
exceeded	fhira; 
exceeding	 fhirisa; fhira; 
exceeds	fhira; 
excelled	konesa; 
excellence	vhukoni; 
excellent	vhuḓivhuḓi; 
except	 nga nḓani ha; arali i singa; 
exceptional	vhukoni; khethea;  konesa; 
excess	fhirisa mpimo; 
excessive	 fhirisa; fhira; 
exchange	rengiselana;  -rengiselana; 
exchanges	rengiselana; 
excise	 ṱusa;  thutha; bvisa;  phumula; 
excitement	manyanyuwo; 
exciting	ṱuṱuwedza;  nyanyulaho;  nyanyula; susumedza; 
exclude	 lamba;  pambuwa; bvisa; laṱa;  pambula; 
excluded	 lamba;  pambuwa; bvisa; laṱa;  pambula; 
excluding	 lamba;  pambuwa; bvisa; laṱa;  pambula; 
exclusion	 lamba;  muṱuso;  pambuwa;  bvisa;  lambela;  hangwa;  bviswa; thivhela; laṱa;  iledzwa;  pambula; 
exclusions	 muṱuso;  lambela;  hangwa;  bviswa; thivhela;  iledzwa; 
exclusive	masakha;  vhea mikano;  maimo a nṱha; khethea;  kiḽasi ya nṱha; 
exclusively	 zwoṱhe nga tshithihi;  khunyeledza; fhedza; 
execute	ita;  phetha; 
executed	itwa;  phethwa; 
executing	 ita;  phetha; 
execution	 ita;  phetha; 
executive	khorondanguli; 
exempt	-vhofhololwa; 
exempted	vhofhololwa; 
exemptions	mutshipiso; 
exercise	 nḓowedzo;  -ḓowedza; nyonyoloso;  u ḓionyolosa; 
exercised	 nḓowedzo; nyonyoloso;  nḓowenḓowe;  ḓowedza;  ḓionyolosa; 
exercises	 nḓowedzo;  onyolosa; nyonyoloso;  ḓowedza; 
exercising	 nḓowedzo; nyonyoloso;  nḓowenḓowe;  ḓowedza;  ḓionyolosa; 
exhibit	ṱano; 
exhibition	ṱano; 
exhibitions	ṱano; 
exile	 muthathiwa; -thatha; 
exist	-vha hone;  vha hone; 
existed	vha hone; 
existence	-vha hone; 
existing	 tshila; sala;  vha hone; 
exists	vha hone; 
exit	 enda; ṱuwa; 
expand	kukumuwa;  tatamudza; 
expanded	kukumuwa;  tatamudza; 
expanding	kukumuwa;  tatamudza; 
expansion	 ṱharamuwo;  thathamudzo; mukukumuwo; 
expect	-lavhelela; 
expectation	ndavhelelo; 
expectations	ndavhelelo; 
expected	lavhelela; 
expedient	tendisa nga ngoho; ine hu nga shunwa ngayo;  tshi re na thuso; 
expenses	mbadelo; zwibviswa; 
expensive	 -ḓura; ḓura; 
experience	tshinyalelo;  -tshenzhela; 
experienced	 tshenzhela; tshinyalelo; 
experiences	 tshenzhela; tshinyalelo; 
experiencing	 tshenzhela; tshinyalelo; 
expert	 muḓivhi; makone; 
expertise	vhukoni; 
experts	 muḓivhi; makone; 
expiration	-femela nnḓa; 
expired	 fa;  xela;  magumo; lovha;  dzama;  fhelelwa nga tshifhinga; 
expiry	 fa;  xela;  magumo; lovha;  dzama;  fhelelwa nga tshifhinga; 
explain	ṱalutshedza; 
explained	ṱalutshedza; 
explains	ṱalutshedza; 
explanation	ṱhalutshedzo; 
explanatory	 eledza;  fanyisela; thuso;  funza;  ṱalutshedza;  eletshedza;  ṱalusa; 
explicit	pfalaho;  vhonadzaho;  nakisa tshenisa; 
exploitation	 shumisa; tambisa; tambudzwa; 
explore	tandula;  -sedzulusa;  -tandula; 
explored	 tandula; sedzulusa; 
explores	 tandula; sedzulusa; 
exploring	 tandula; sedzulusa; 
export	tsudzuluso; 
exports	mbambadzwaseli; 
expose	 dzumbulula; ṱana; 
exposed	 ṱanwa; dzumbululwa; 
exposure	u shaya vhudzulo; 
express	bvukulula;  -bula;  tshidimela tsha luvhimba; 
expressed	 bvukulula; bula;  tshidimela tsha luvhimba; 
expression	 vhuḓinyanyuli; mbonalelo; 
expressions	 vhuḓinyanyuli; mbonalelo; 
expressly	 khagala;  tiwaho; vhukuma;  ngoho; 
extend	hudza;  -lapfisa; 
extended	 hudza; lapfisa; 
extending	 hudza; lapfisa; 
extends	 hudza; lapfisa; 
extension	muengedzo; 
extensive	 angalala; vhuphara; 
extent	vhuhulu; 
external	nnḓa;  -nga nnḓa; 
extra	nyingo; 
extract	-bvisa;  tshipiḓa;  u kula; 
extraordinary	mangadzaho;  zwisili; 
extreme	kalula; 
extremely	kalulaho; 
eye	 buli; iṱo; 
eyes	 u kona u vhona; maṱo; 
face	 tshifhaṱuwo;  nga phanḓa ha;  lurumbu lwa nga nṱha; lurumbu; 
faced	 tshifhaṱuwo;  nga phanḓa ha;  lurumbu lwa nga nṱha; lurumbu; 
faces	 tshifhaṱuwo;  nga phanḓa ha;  lurumbu lwa nga nṱha; lurumbu; 
facilitate	 -leludza; -tshimbidza; 
facilitated	 leludza; tshimbidza; 
facilitates	 leludza; tshimbidza; 
facilitating	 leludza; tshimbidza; 
facilitation	 leludza;  tshimbidza; thusa; 
facilities	tshileludzi; 
facility	tshileludzi; 
facing	 livhana; sedza; 
facsimile	fekisi; 
fact	mbuno; 
factor	tshiitisi;  tshivhumbi; 
factors	 zwivhumbi; zwiitisi; 
factory	feme; 
facts	mbuno; 
fail	 shayea;  kundwa; balelwa;  bala;  feila; 
failed	 balelwa; kundelwa;  feila; 
failing	 balelwa; kundelwa;  feila; 
fails	 bala; kunda;  feila; 
failure	u kundelwa; 
failures	kundelwa; 
fair	 u sa dzhia sia; zwavhuḓi; 
fairly	tshavhuḓi tshi sa soleyi; 
fairness	 u sa dzhia sia; zwavhuḓi zwi sa soleyi; ndinganelo; 
faith	lutendo; 
fall	 wa;  tsa ha ndeme; 
fallen	 lovha; wa; 
