Act of Parliament	Mulayo wa Phalamennde
inaugural meeting	muṱangano wa vhurangaphanḓa
income tax	muthelo wa mbuelo
indigenous culture	mvelele ya vhongwaniwapo
indigenous language	luambo lwa vhogwaniwapo
indigenous people	vhongwaniwapo
industrial society	ḽifhasi ḽa thekhinoḽodzhi
infant mortality rate	phimo ya mpfu dza vhushie
information retrieval	wana mafhungo u bva kha data
information retrieval system	sisiṱeme ya u wana mafhungo murahu
inner city	tshivhindini tsha ḓorobo;vhukati ha ḓorobo
inspector of mines	muingameli wa migodi
inspector of mines	sipikiṱere wa migodi
intellectual property rights	pfanelo dza
intergovernmental relations	vhushaka ha mivhusoḽedzani
interim constitution	ndayotewa ya tshifhinganyana
international affairs	mafhungo a zwa dzitshaka
international community	tshitshavha tsha dzitshaka
international humanitarian law	mulayo wa dzitshaka wa vhuthu
international olympic committee	komiti ya dzioḽimpiki ya dzitshaka
international relations	vhushaka ha dzitshaka
interrupt the proceedings	thithisa matshimbidzele
investment of capital	bindudza khephithaḽa
job creation	sika mishumo
joint committee	komitiṱhanganelo
joint meeting	muṱangano wo ṱanganelaho
joint responsibility	vhuḓifhinduleli ho ṱanganelaho
joint rules committee	komiti ya milayo yo ṱanganelaho
joint sitting	dzulo ḽo ṱanganelaho
judicial authority	maanḓalanga a mulayo
keep in mind	humbula; elelwa
keep up to date	khwinisa; dzudza zwi ngonani
key performance area	masia a kushumele  a ndeme
labour force	vhashumi
labour intensive	mushumo
labour market	mishumoni
lack of energy	shaya mafulufulu
land ownership	vhuṋe ha mavu
land reform	mvusuluso ya mavu
land restitution	mbuedzedzo ya mavu
land rights	pfanelo dza mavu
language policy	mbekanyamaitele ya luambo
language practice	nḓowedzo ya luambo
language rights	pfanelo dza luambo
law enforcement	tevhedza mulayo
lay a charge	vhiga mulandu
leader of the opposition	murangaphanḓa wa ḽihoro ḽi hanedzi
learning process	maitele a u guda
least of all	na khathihi
legal deposit library	ḽaiburari ya u vhulunga maṅwalo a ndeme
legislative authority	maanḓalanga a vhusimamulayo
legislative function	kushumele kwa mulayo
legislative power	maanḓa a mulayo
legislative powers	maanḓa a mulayo
legislative process	kutshimbidzele kwa mulayo
level of government	ḽeveḽe ya muvhuso
level of service	tshiimo tsha tshumelo
levels of development	zwiimo zwa mvelaphanḓa
liberation movement	dzangano ḽa mbofholowo
liberation struggle	nndwa ya mbofholowo
limited access	swikelelwa nga vha sivhanzhi
lingua franca	luambo lwa vhubindudzi
list of members	mutevhe wa miraḓo
local government	muvhuso wapo
local government level	ḽeveḽe ya muvhuso wapo
local government sector	sekithara ya muvhuso
local municipality	masipala wapo
local sphere of government	masia a muvhuso wapo
mainstream economy	ikonomi ya vhathu vhoṱhe
majority of votes	vhunzhi ha dzivouthu
majority party	ḽihoro ḽa vhanzhi
make a mark	swikelela mvelaphanḓa
make a statement	 ṋetshedza muhumbulo
make an effort	-fungelela
management review	tsedzuluso hafhu nga ndangulo
manner of speaking	kuambele; maambele; nḓila ya u amba
marine living resources	zwiko zwa lwanzheni
market economy	sisiṱeme ya ikonomi
mass mobilisation	kuvhanganya gogo
master of ceremonies	mutshimbidzamushumo
matter of public importance	zwithu zwa tshitshavha zwa ndeme
matter of urgency	zwa shishi; zwa tshihaḓu
means of communication	nḓila ya vhudavhidzani
means of transport	nḓila ya vhuendi; nḓila ya u endedza
member of parliament	muraḓo wa phalamennde
member of the council	muraḓo wa khoro
member states of the UN	vhuraḓo ha mashango a UN
memorandum of understanding	 memorandamu wa thendelano
metropolitan area	vhupo ha ḓorobo khulwane
middle class	vhuiimo ha vhukati
minority domination	tshigwada tshiṱuku
minority party	dzangano ḽiṱuku
minutes of proceedings	maambiwa a dzulo
mode of operation	mashumele; nḓila ya kushumele
moment in time	tshifhinga tsha ndeme
money laundering	ngalangadza vhuṱala ha tshelede
months of the year	miṅwedzi ya ṅwaha
mortality rate	phimo ya mpfu
mother tongue	luambo lwa ḓamuni
motion of no confidence	ḽikumedzwa ḽa tshayavhufulufheli
multicultural society	tshitshavha tsha mvelele nnzhi
music rights organisation	dzangano ḽa pfanelo dza muzika
mutual understanding	pfesesana
mutually exclusive	sa konadzea zwoṱhe
national affairs	mafhungo a lushaka
national anthem	luimbo lwa lushaka
national asset	ndaka ya lushaka
national budget	mugaganyagwama wa lushaka
national coat of arms	tshiphugaṱhalu tsha lushaka
national conference	khuvhangano ya lushaka
national department	muhasho wa lushaka
national development	mveledziso ya lushaka
national economy	ikonomi ya lushaka
national education	pfunzo ya lushaka
national executive	ndangulo ya nṱha ya lushaka
national executive authority	maanḓalanga a ndangulo ya nṱha ya lushaka
national executive committee	khoritshitumbe ya lushaka
national flag	fulaga ya lushaka
national government	 muvhuso wa lushaka
national identity	tsumbavhuṋe ya lushaka
national interest	dzangalelo ḽa lushaka
national leader	murangaphanḓa wa lushaka
national level	vhuimo ha lushaka
national level of government	vhuimo ha lushaka ha muvhuso
national policy	mbekanyamaitele ya lushaka
national pride	khuliso ya lushaka
national reconciliation	vhupfumedzanyi ha lushaka
national security	tsireledzo ya lushaka
national sphere of government	sia ḽa muvhuso wa lushaka
national strategy	tshiṱirathedzi tsha lushaka
national symbols	zwiga zwa lushaka
national unity	vhuthihi ha lushaka; pfano ya lushaka
natural justice	maitele na tsheokwazwo
natural resources	zwiko zwa mupo
need to know	ṱoḓa u ḓivha
new dispensation	nḓisedzo ntswa
not later than	hu sa athu fhira 
notice of motion	nḓivhadzo ya ḽikumedzwa
number of children	tshivhalo tsha vhana
number of deaths	tshivhalo tsha dzimpfu
oath of office	muano wa ofisi
of paramount importance	zwa ndeme
office bearer	vha re ofisini
official language	luambo lwa tshiofisi
official residence	vhudzulo ha tshiofisi
on the defence	vhaimeli
on the defence	vhulamuleli
on the market	tshi no khou rengiswa; tshi re na bvumo ḽivhuya
on the market	tshi no takaleleswa
on the market	tshi re maragani
on the market	tshino khou ṱoḓeswa
on the run	shavha; dzhenela mbambe
on the second	kha ṱhoho
on the wing	kha lufhafha; nga thungo
on top of	nṱha ha
open society	tshitshavha tsho vhofholowaho
opening address	mvulatswinga
order of merit	mufhirano
order of preference	thevhekano ya kutakalele
order of the day	ndaela ya ḓuvha; maitele a ḓuvha
ordinary session	dzulo zwaḽo
organs of state	khethekanyo dza muvhuso
orphans and vulnerable children	tsiwana na vhana vha songo tsireledzeaho
out of control	bva nnḓa ha ndango
out of date	zwa kale;  vha zwa tshikale
out of order	u bva nnḓa ha nḓila
out of print	sa tsha wanala
out of service	sa tsha shuma
out of stock	sa wanala kha tshiṱoko
outbreak of war	thoma ha nndwa
ownership of land	vhuṋe ha mavu
paradigm shift	tshanduko ya ndeme
parliament is in session	phalamennde yo dzula
parliamentary committee	komiti ya phalamennde
parliamentary correspondent	muisedzi wa phalamennde
parliamentary democracy	demokhirasi ya phalamennde
parliamentary process	kutshimbidzele kwa phalamennde
participate in the debate	dzhenela dibeithi; shela mulenzhe kha khanedzano; dzhenela khanedzano
participate in the debate	shela mulenzhe kha dibeiti
participatory democracy	demokirasi nga u shela mulenzhe
party discipline	thikhedzo nga miraḓo ya ḽihoro
party system	sisiṱeme ya ḽihoro
pass laws	milayo ya u thivhela vharema
pave the way	vula nḓila
peaceful coexistence	muṱaṱisano u sina khakhathi
peaceful demonstration	misumbedzo yo fholaho
peaceful transition	tshanduko I sina khakhathi
per capita	nga muthu
performing arts council	khoro ya vhutsila ha
pillar of strength	mutikedzi; mutiki
pilot project	thandela ya ndingedzo
place of safety	fhethu ha tsireledzo
platinum group metals	methala ya tshigwada tsha pulatinamu
platinum group metals	mitale ya tshigwada tsha puḽatinamu
play the lead	rangaphanḓa
playing field	mudavhi
point of contact	mukonanyi
point of view	kuvhonele
police service	tshumelo ya tshipholisa
policy development	mveledziso ya mbekanyamaitele
policy environment	vhupo ha mbekanyamaitele
policy formulation	bveledza mbekanyamaitele
policy framework	furemiweke ya mbekanyamaitele
policy implementation	shumisa mbekanyamaitele
policy making	vhusimambekanyamaitele
policy statement	tshitatamennde tsha mbekanyamaitele
political context	nyimele ya polotiki
political control	ndango ya polotiko
political development	mveledziso ya polotiki
political dispensation	sisiṱeme i langulaho shango
political environment	vhupo ha polotiki
political instability	khakhathi dza polotiki
political leadership	vhurangaphanḓa ha polotiki
political order	vhudziki ha polotiki 
political party	ḽihoro ḽa polotiki
political process	kutshimbidzele kwa polotiki
political rights	pfanelo dza polotiki
political system	sisiṱeme ya polotiki
political tradition	maitele a polotiki
poor living conditions	nyimele dza vhutshilo dzi si dzavhuḓi; kutshilele ku si kwavhuḓi
poorest of the poor	mushai wa vhashai
popular culture	mvelele yo ḓoweleaho
popular participation	shela mulenzhe ho ḓoweleaho
popular sovereignty	vhuḓivhusitshoṱhe ho ḓoweleaho
population register	ridzhisiṱara ya u ṅwalisa vhathu
population size	vhuhulu ha vhathu
portfolio committee	komiti ya phothifoḽio 
powers and functions	maanḓa na mishumo
powers that be	maanḓa
practical reality	ngoho i re khagala
praise singer	muimbi wa u renda
precincts of parliament	vhupo ha phaḽamennde
presiding officer	mutshimbidzi
press freedom	mbofholowo ya vhoramafhungo
private sector	sekithara ya phuraivethe
professional ethics	vhuḓifari ha phurofeshinaḽa
professional organisation	tshiimiswa tsha phurofeshinaḽa
prophets of doom	vhalavhelela zwi si zwavhuḓi
prophets of doom	vhalavhelela zwivhi
proportional representation	vhuimeleli ho linganaho
provincial administration	ndaulo ya vundu
provincial budget	mugaganyagwama wa vundu
provincial government	muvhuso wa vundu
provincial legislature	vhusimamilayo ha vundu
provincial level	kha vundu
provincial sphere of government	sia ḽa muvhuso wa vundu
provision of services	nḓisedzo ya tshumelo
public administration	ndaulo ya nnyi na nnyi
public domain	fhethu ha nnyi na nnyi
public expenditure	zwibviswa zwa nnyi na nnyi
public funds	tshikwama tsha nnyi na nnyi
public health	mutakalo wa nnyi nannyi
public hearing	vhupfiwa nga vhathu
public interest	madzangalelo a nnyi na nnyi
public meeting	miṱangano ya nnyi na nnyi
public money	masheleni a nnyi na nnyi
public office	ofisi ya nnyi na nnyi
public opinion	vhupfiwa ha nnyi na nnyi
public participation	dzhenela ha tshitshavha
public policy	mbekanyamaitele ya nnyi na nnyi
public relations officer	muofisiri wa vhushaka ha vhadzulapo
public sector	sekithara ya nnyi na nnyi
public service	tshumelo ya muvhuso
public services	tshumelo dza muvhuso
public transport system	sisiṱeme ya vhuendi ha nnyi na nnyi
public works	mishumo ya vhathu
public works programme	mbekanyamushumo ya mishumo ya muvhuso
pumped storage scheme	sisiṱeme ya u bveledza muḓagasi wa maḓi
put a motion	ṋetshedza ḽikumedzwa; swikisa ḽikumedzwa
put in writing	nga u tou ṅwala; zwo tou ṅwaliwaho
quality of life	tshiimo tsha vhutshilo
question paper	mbammbiri ḽa mbudziso
quota system	tshikalo tsho vhewaho nga mulayo
race relations	vhushaka ha lushaka
racial equality	ndinganyiso nga lushaka
racial segregation	khethano nga lushaka
rainbow nation	lushaka lwa musengavhadzimu
range of vision	kuvhonele kwo fhambanaho; mabono o fhambanaho
rapid transit system	sisiṱeme ya vhuendi ha nnyi na nnyi
redistribution of land	kovhela hafhu mavu
reference book	bugundaula
regional integration	ṱhanganelo ya dzingu
register of members	ridzhisiṱara ya miraḓo
removal from office	bviswa ofisini
remuneration package	phakhedzhi ya mbadelo
required to carry	zwi ṱoḓeaho u zwi hwala; zwi tendelwaho u zwi hwala; zwi ṱoḓeaho u zwi fara; zwi tendelwaho u zwi fara
reside in	dzula
residence permit	phemithi ya vhudzulo
resistance movement	hana u pfuluwa
resistance to change	hana tshanduko; lamba tshanduko
resolution of conflict	thandululo ya khuḓano
resource base	ḓisendeka nga
responsible for	vhuḓifhinduleli kha
restitution of land	mbuedzedzo ya mavu
restitution of land rights	pfanelo ya mbuedzedzo yamavu
return on investment	mbuelo dza vhubindudzi
right of access	pfanelo ya tswikelo
right to assemble	pfanelo ya
right to human dignity	pfanelo ya
right to life	pfanelo ya u tshila
right to privacy	pfanelo ya tshidzume
right to strike	pfanelo ya u ṱereka
right to vote	pfanelo ya u voutha; pfanelo ya u khetha
rights and privileges	pfanelo
rise and fall	u bvelela na u kundelwa; u bvelela na u wa; u vuwa na u wa
rite of passage	therelo ya u pfuka murole
road network	bada ya nnyi na nnyi
road show	ṱano
rule of law	mulayondango
rules and orders	milayo na ndaela
rules of debate	milayo ya dibeithi; milayo ya khanedzano
rules of natural justice	milayo ya vhulamukanyi vhu sa dzhii sia
rules of procedure	milayo ya matshimbidzele
ruling party	ḽihoro ḽivhusi
rural development	mveledziso ya vhupo ha mahayani
school library service	tshumelo ya ḽaiburari ya tshikolo
school nutrition programme	mbekanyamushumo ya mufusho ya tshikolo
science and technology	saintsi na thekhinoḽodzhi
search and rescue	 ṱoḓa na u phulusa;  ṱoḓa na u tshidza;  ṱoḓa na u lamukisa
seat of government	tshidulo tsha muvhuso
security clearance	thendelo ya tshiofisi
security forces	mmbi dza tsireledzo
sending and receiving	 rumela na u ṱanganedza
sense of responsibility	 vhuḓifhinduleli
sense of touch	phuphuledza
separate but equal	khethekana fhedzi zwi tshi lingana
separate development	mveledziso yo khethekanaho
separation of powers	fhandekana ha maanḓa
services industry	nḓowetshumo ya tshumelo
services rendered	tshumelo dze dza ṋetshedzwa
set in motion	 ḓilugisela u takuwa
shortage of skills	ṱhahelelo ya zwikili
sitting of parliament	dzulo ḽa phalamennde
small town	ḓorobo ṱhukhu
social benefits	mbuelo dza matshilisano
social capital	netiweke ya vhashumisani
social change	tshanduko ya matshilisano
social contract	konṱiraka ya matshilisano
social control	ndango ya matshilisano
social development	mveledziso ya matshilisano
social interaction	vhudavhidzani
social justice	vhulamukanyi ha u kovhela
social movement	tshigwada tsha kuhumbulele ku fanaho
social security	tsireledzo ya matshilisano
social services	tshumelo dza zwa u tshilisana
social system	sisiṱeme ya matshilisano
social upliftment	 vhuḓilisi ha nṱha
social welfare	ndondolavhathu
socio-economic development	mveledziso ya ikonomi ya matshilisano
source of income	tshiko tsha mbuelo
source of information	tshiko tsha mafhungo
source of water	tshisima tsha maḓi
sovereign democratic state	muvhuso wa demokhirasi ya vhuḓivhusi tshoṱhe
sovereign state	muvhuso wa vhuḓivhusi tshoṱhe
sphere of government	masia a muvhuso
standard of living	tshiimo tsha kutshilele
state assets	ndaka dza muvhuso
state emblem	tshiphugaṱhalu tsha muvhuso
state institutions	zwiimiswa zwa muvhuso
state money	masheleni a muvhuso
state of emergency	tshiimo tsha shishi
state of mind	tshiimo tsha muhumbulo
state of the nation address	Tshipitshi tsha lushaka
state revenue	mbuelo ya muvhuso
status of women	tshiimo tsha vhafumakadzi
status quo	nyimele ya zwino
statute book	bugu ya milayo
strategic management	ndaulo ya u swikelela zwipikwa
structural violence	khakhathi dzo livhanaho na muthu
struggle for liberation	vhofholowa
subject for discussion	thero ya therisano
subject to the provisions of	zwi tshi ya nga mbetshelwa dza
substantive motion	ḽikumedzwa ḽo khwaṱhisedzwaho
supply and demand	nḓisedzo na ṱhoḓea
supreme law	mulayo muhulwane
sustainable development	mveledziso i sa nyeṱhi
sustainable economic growth	nyaluwo ya ikonomi i sa nyeṱhi
sworn in	aniswa
system of government	sisiṱeme ya muvhuso
systems approach	kuitele kwa u vhea zwithu zwavhuḓi
table of contents	mbekanyo ya zwi re ngomu
take account of	dzhiela nzhele; dzhiela nṱha
take advantage of	shumisa zwikhala zwi re hone
take an oath	ana
take cognisance of	dzhiele nṱha; dzhiele nzhele
take cognizance of	dzhiele nṱha; dzhiele nzhele
take into consideration	humbula; elelwa; dzhiela nzhele; dzhiela nṱha
take off	takuwa
task team	tshigwada tsho tetshelwaho mushumo
tax revenue	mbuelo ya muthelo
technical services department	muhasho wa tshumelo dza zwa thekiniki
term budget	mugaganyagwama wa theme
term of office	tshifhinga tsha u shuma
terms and conditions	milayo
terms of reference	tsumbanḓila dza kushumele
terms of trade	milayo ya mbambadzo
the Cold War	Nndwa ya maṱo
the East	vhubvaḓuvha
the West	vhukovhela
the common good	mbuelo kha vhoṱhe; zwivhuya kha vhoṱhe
the disadvantaged	sa vha kha tshiimo tshavhuḓi
the historically disadvantaged	siwa nnḓa kale
the masses	gogo
the powers that be	vha re na maanḓa u fhira vhaṅwe
the right	pfanelo
the services	tshumelo
the struggle	nndwa
the voiceless	vha sa koni u ḓiambela
time of arrival	tshifhinga tsha u swika
time of departure	tshifhinga tsha u ṱuwa; tshifhinga tsha u takuwa
title deed	vhuṋe ha tshithu
to and fro	 ya na u vhuya
to the effect that	 swika hune
to the left of	kha tsha monde tsha
to the right of	kha tshauḽa tsha
top management	ndangulo ya nṱha
top secret	tshidzumbe tsha nṱha
total onslaught	khakhathi dza u ṱhasela
track record	rekhodo ya mushumo
trade relations	vhushaka ha mbambadzo
trade union	mbumbano ya vhashumi
trading partner	mushumisani kha vhubindudzi
traditional leadership	vhurangaphanḓa ha sialala
traffic control	ndangavhuendi
training facilities	tshomedzo dza vhugudisi
training institution	tshiimiswa tsha vhugudis
transition to democracy	pfukela kha demokhirasi
translation of the Bible	pindulelwa ha Bivhili; phindulelo ya Bivhili; ṱhalutshedzo ya Bivhili
tree of knowledge	muri wa nḓivho
tree of life	muri wa vhutshilo
umbrella body	tshiimiswa tshi konanyi
unanimous concurrence	tendelana
under the auspices of	nga thuso ya
under the authority of	nga fhasi ha ndaulo ya
unemployment rate	phimo  ya vhushayamushumo
unfair discrimination	khethululo
unique people	vhathu vho fhambanaho
united nations organisation	dzangano ḽa mbumbano ya dzitshaka
unreserved postal service	tshumelo dza poswo dzi re khagala
up to date	u tshimbila na tshifhinga
up to standard	tshiimo tshone; vhuimo hone
upper middle class	vhathu vha vhuimo ha nṱha
urban area	vhupo ha dziḓoroboni
urban centre	vhukati ha ḓorobo
urban development	mveledziso ya vhupo ha dziḓoroboni
urban renewal	mvusuludzo ya ḓorobo
value system	sisiṱeme ya vhuḓifari
violation of human rights	kandekanya pfanelo dza  vhathu
violence against children	u tambudzwa ha vhana
voice of the people	ipfi ḽa vhathu
vote in favour	vouthela
vote of thanks	ndivhuwo
waste management	ndangulo ya malaṱwa
ways and means	nḓila
welfare state	vhulondavhathu
winds of change	muya u vhudzulaho
winter rainfall region	dzingu ḽa mvula dza vhuriha
with effect from	 thoma;  thoma nga;  bva nga
with the sun	na ḓuvha
with the wind	na muya
within a radius of	nga ngomu ha rediasi ya
within the limits	nga ngomu ha mikano
word of welcome	maipfi a u ṱanganedza
working group	tshigwada tsha mushumo
world community	tshitshavha tsha ḽifhasi
you are here	vha hafha; ni hafha; ni henefha; vha henefha
