Act of Parliament	umThetho wePalamende
party system	ikambiso
pass laws	ukuphumelelisa imithetho
pave the way	ukuphendla indlela
peaceful coexistence	iphaliswano ngaphandle kwepi
peaceful demonstration	ukutjengisa ngendlela enokuthula
peaceful transition	ukutjhuguluka ngokuthula
per capita	ihloko yomuntu
performing arts council	umkhandlu owenza zobukghwari
permanent residence permit	imvumo yokuhlalela safuthi
pillar of strength	into umuntu ayama kiyo/ umuntu okusizako
pilot project	iphrojekthi esalingwako
place of safety	indawo yevikeleko
platinum group metals	isiqhema seensimbi zeplathinamu
play the lead	ukuba mdosiphambili
playing field	itatawu lokudlala
point of contact	umjameli
point of view	umbono
police service	umsebenzi wamapholisa
policy development	ukuthuthukisa umgomo
policy environment	umgomo webhoduluko
policy formulation	ukubumba umgomo
policy framework	itlhatlha lomgomo
policy implementation	ukuphumelelisa ukwenziwa komgomo
policy making	ukwenza umgomo
policy statement	umgomo wesitatimende
political context	ngokwendlela yepolotiki
political control	ilawulo lepolotiki
political development	ukuthuthukisa ipolotiki
political dispensation	ikambiso kwezepolotiki
political environment	ibhoduluko lezepolotiki
political instability	ukunganzinzi ngokwepolotiki
political leadership	ubudosiphambili kwezepolotiki
political order	umlayo wepolotiki
political party	ihlangano yepolotiki
political process	ikambiso yepolotiki
political rights	amalungelo kwezepolotiki
political system	irherho lezepolotiki
political tradition	ikolelo kwezepolotiki
poor living conditions	ukutlhaga
poorest of the poor	ukutlhaga ngendlela erarako
popular culture	isiko elidumileko
popular participation	ukuzibandakanya ngendlela edumileko
popular sovereignty	ukuduma kwenarha enomazibuse
population register	irejista yesiqhema somhlobo ofanako ohlala kileyo ndawo
population size	ubukhulu besiqhema somhlobo ohlala kileyo ndawo
portfolio committee	ikomidi yomsebenzi othileko
powers and functions	amandla nemisebenzi
powers that be	amandla akhona
practical reality	okwenzeka kwamambala
praise singer	umvumi oyimbongi
precincts of parliament	izakhiwo zepalamende
presiding officer	isiphathiswa esingameleko
press freedom	ikululeko yeembikiindaba
primary health care	itjhejo lezamaphilo
private sector	iphiko langasese
professional ethics	imikghwa emihle yokuziphatha
professional organisation	ihlangano esebenza kuhle
prophets of doom	umuntu olindele bona kwenzeke izinto ezimbi ngaso soke isikhathi
proportional representation	ukujameleka ngokwamavowudu
provincial administration	ukuphathwa kweminyango yesifunda
provincial budget	ibhajedi yesifunda
provincial government	umbuso wesifunda
provincial legislature	isibethamthetho sesifunda
provincial level	izinga lesifunda
provincial sphere of government	umkhakha wombuso wesifunda
provision of services	ukunikelwa kwemisebenzi
public administration	ukuphathwa komphakathi
public domain	indawo yomphakathi
public expenditure	iindleko zomphakathi
public funds	iimali zomphakathi
public health	amaphilo womphakathi
public hearing	ukulalelwa kwemibono yomphakathi
public interest	ukuthanda komphakathi
public meeting	umhlangano womphakathi
public money	imali yomphakathi
public office	i-ofisi yomphakathi
public opinion	umbono womphakathi
public participation	ukubandakanywa komphakathi
public policy	umgomo womphakathi
public relations officer	isiphathiswa setjhebiswano lomphakathi
public sector	iphiko lomphakathi
public service	umsebenzi wombuso
public services	imisebenzi yombuso
public transport system	ikambiso yeenthuthi zomphakathi
public works	imisebenzi yomphakathi
public works programme	ihlelo lemisebenzi yomphakathi
pumped storage scheme	indlela yokudlulisela amanzi kwezinye iindawo
put a motion	ukubeka umbono
put in writing	ukutlola lokho okutjhoko phasi
quality of life	izinga lepilo
question paper	iphepha lesihlahlubo
quota system	ikambiso elawulwa mthetho
race relations	itjhebiswano hlangana nobuhlanga
racial equality	ukulingana ngobuhlanga
racial segregation	ukuhlukana ngobuhlanga
rainbow nation	isitjhaba esihlukahlukeneko
range of vision	ukuhluka kwemibono
rapid transit system	ikambiso yeenthuthi
redistribution of land	ukwabiwa kwenarha
reference book	incwadi kamazisi
regional integration	ukuhlangana ngokweeyingi
register of members	irejistara yamalunga
removal from office	ukususwa e-ofisini
remuneration package	umrholo ofaka namarhubhelo
required to carry	okutlhoga bona kuthwalwe
reside in	ukuhlala e
residence permit	imvumo yokuhlala
resistance movement	umsikinyeko womphakathi
resistance to change	ukungafuni amatjhuguluko
resolution of conflict	ukurarulula irarano
resource base	isisekelo somthombo
responsible for	umsebenzi wami ngilokhu
restitution of land	ukubuyiselwa kwenarha ebantwini
restitution of land rights	ukubuyiselwa kwamalungelo weenarha ebantwini
return on investment	amakonyana atholaka ngemva kokusisa imali
right of access	ilungelo lokungena
right to assemble	ilungelo lokubhenyoga
right to human dignity	ilungelo lokubhenyoga
right to life	ilungelo lokuphila
right to privacy	ilungelo lokubhenyoga
right to strike	ilungelo lokubhenyoga
right to vote	ilungelo lokuvowuda
rights and privileges	amalungelo namalungelo akhethekileko
rise and fall	ukuphakama nokufadalala
rite of passage	umnyanya otjengisa ukuphuma kwesinye isigaba uye kwesinye
road network	ithungelelwano lendlela
road show	ukwenza umbukiso
rule of law	ukusebenza komthetho
rules and orders	imithetho nemilayo
rules of debate	imithetho yobulungiswa bemvelo
rules of natural justice	imithetho yekambiso
rules of procedure	umsebenzi webulungelo leencwadi lesikolo
ruling party	isiqhema esibusako
rural development	ukuthuthukisa iindawo zemakhaya
school library service	ihlelo lokudla okudliwa bafundi esikolweni
school nutrition programme	isayensi nethekhnoloji
science and technology	ukusetjha nokuphulukisa
search and rescue	indawo yombuso
seat of government	indawo yombuso
security clearance	ukususwa kwevikeleko
security forces	isiqhema sangasese sevikeleko
sending and receiving	ukuthumela nokwamukela
sense of responsibility	ukuziphendulela
sense of touch	ukuthinta
separate but equal	okuhlukeneko kodwana okulinganako
separate development	ituthuko ehlukeneko
separation of powers	ukuhlukaniswa kwamandla
services industry	ibubulo lemisebenzi
services rendered	imisebenzi eyenziweko
set in motion	ukukhamba
shortage of skills	ukutlhogeka kwamakghono
sitting of parliament	ukuhlala kwepalamende
small town	idorobho  elincani
social benefits	iinzuzo zomphakathi
social capital	ithungelelwano letjhebiswano elihlangana nabantu abahlala nabasebenza emphakathini othileko
social change	itjhuguluko lomphakathi
social contract	ikontraga yomphakathi
social control	ilawulo lomphakathi
social development	ukuthuthukiswa komphakathi
social interaction	ukuhlangana komphakathi
social justice	ubulungiswa emphakathini
social movement	umsikinyeko womphakathi
social security	ivikeleko lomphakathi
social services	imisebenzi yomphakathi
social system	ikambiso yomphakathi
social upliftment	ukukhuphula umphakathi
social welfare	ihlalakuhle yomphakathi
socio-economic development	ituthuko yezehlalakuhle nezomnotho
source of income	umrholo
source of information	umthombo welwazi
source of water	umthombo wamanzi
sovereign democratic state	umbuso kamazibuse wentando yenengi
sovereign state	umbuso kamazibuse
sphere of government	umkhakha wombuso
standard of living	indlela yokuphila
state assets	ipahla yombuso
state emblem	itshwayo eliyibheji yombuso
state institutions	iinhlangano zombuso
state money	imali yombuso
state of emergency	umthetho wobujamo oburhabako
state of mind	ubujamo bomkhumbulo
state of the nation address	ikulumo eyethulwa mbuso enarheni
state revenue	irevenyu yombuso
status of women	ubujamo babantu bengubo
status quo	indlela yekambiso
statute book	incwadi yomthetho wepalamende
strategic management	iqhinga lokuphatha
structural violence	ipi ehlelekileko
struggle for liberation	umzabalazo wekululeko
subject for discussion	okuzokukhulunyelwa phezu kwakho
subject to the provisions of	kulawulwe kukuba khona kokuthileko
substantive motion	umbono osekelweko
supply and demand	ipahla efunekako  nalokho okufunekako
supreme law	umthetho ophezulu
sustainable development	ukuthuthuka kuhle ngendlela eneragelo phambili
sustainable economic growth	ukukhula kuhle ngendlela eneragelo phambili komnotho
sworn in	ukufungiswa esikhundleni
system of government	ikambiso yombuso
systems approach	ikambiso yeendlela
table of contents	okumunyethweko
take account of	ukulalela omunye umuntu
take advantage of	ukuthatha isiqunto
take an oath	ukufunga
take cognisance of	ukutjheja okuthileko
take cognizance of	ukutjheja okuthileko
take into consideration	ukuyelela okuthileko
take off	susa
task team	isiqhema esisebenzako
tax revenue	irevenyu yomthelo
technical services department	umnyango wemisebenzi ethekhnikhali
term budget	ibhajedi yethemu
term of office	isikhathi sokuba se-ofisini
terms and conditions	imibandela nemikhawulo
terms of reference	imibandela yokusebenza
terms of trade	imibandela yebubulo
the Cold War	ipi yemibono
the East	iPumalanga
the West	iTjingalanga
the common good	okuvamileko okuhle
the disadvantaged	abadinywe amathuba
the historically disadvantaged	abadinywe amathuba ngaphambilini
the masses	ubunengi
the powers that be	amandla akhona
the right	ilungelo
the services	imisebenzi
the struggle	umzabalazo
the voiceless	abanganalizwi
thousand and one	ikulungwana nakunye
time of arrival	isikhathi sokufika
time of departure	isikhathi sokukhamba
title deed	ithayitlela
to and fro	ukuya phambili nemva
to bear fruit	ukukhiqiza iinthelo
to the effect that	bekufike lapha
top management	umphathi ophezulu
top secret	ifihlo ephezelu
total onslaught	ukuthelwa ngepi
track record	indlela okusetjenzwe ngayo
trade relations	amatjhebiswano kwezerhwebo
trade union	inyonyana
trading partner	umlingani
traditional leadership	ubudosiphambili kwezendabuko
traffic control	ukulawula ithrefigi
training facilities	iinkghonakalisi/iinsetjenziswa zokubandula
training institution	ihlangano yokubandula
transition to democracy	ukutjhuguluka kuyiwe embusweni wentando yenengi
translation of the Bible	ukutjhugululwa kweBhayibheli
tree of knowledge	umuthi welwazi
tree of life	umuthi wepilo
umbrella body	kufakwe koke hlangana
unanimous concurrence	isehlakalo esingathinti boke abantu
under the auspices of	ngaphasi kwelawulo le
under the authority of	ngaphasi kwela
unemployment rate	inani lokutlhogeka kwemisebenzi
unfair discrimination	ukubandlululwa
unique people	umhlobo womuntu
united nations organisation	Ihlangano i-united nations organisation
university of technology	iyunivesithi yethekhnoloji
unreserved postal service	imisebenzi yeposo engakabanjiswa
up to date	ukukhambisana nesikhathi
up to standard	ukuba sebujameni obufaneleko
upper middle class	abantu abasezingeni eliphezudlwana ngokomnotho
urban area	indawo yedorobheni
urban centre	isentha yedorobho
urban development	ituthuko yendawo elidorobho
urban renewal	Ukuvuselela iindawo zemadorobheni
value system	ikambiso yobungako
violation of human rights	ukwephula amalungelo wobuntu
violence against children	ukuhlukunyezwa kwabantwana
violence against women	ukuhlukunyezwa kwabomma
voice of the people	ilizwi labantu
vote in favour	ukuvowudela umuntu othileko
vote of thanks	amezwi wokuthokoza
waste management	ukuphatha kumbi
ways and means	iindlela  kanye
welfare state	ihlalakuhle yombuso
winds of change	amatjhuguluko
winter rainfall region	isifunda sezulu lebusika
with effect from	ukusukela ngomhlaka
with the sun	kanye nelanga
with the wind	kanye nommoya
within a radius of	ukuba hlangana nendawo
within the limits	hlangana nemikhawulo
word of welcome	igama lokwamukela
working group	isiqhema esisebenzako
world community	umphakathi wephasi mazombe
you are here	sewufikile
