Act of Parliament	Molao wa Palamente
middle class	sehlopha sa bohare
minority domination	kokamelo  ya palo e fokolang
minority party	mokgatlo wa palo e nyenyane
minutes of proceedings	metsotso
mode of operation	mokgwa wa tshebetso
moment in time	ntlha e itseng ya nako
money laundering	tshebediso e mpe ya tjhelete
months of the year	dikgwedi tsa selemo
mortality rate	boemo ba mafu
mortality rate	sekgahla sa mafu
mother tongue	puo ya lapeng
motion of no confidence	tshisinyo ya ho hloka tshepo
multicultural society	setjhaba sa meetlo e mengata
music rights organisation	mokgatlo wa ditokelo tsa mmino
mutual understanding	kutlwano ya ba babedi
mutually exclusive	kgethehile ho latela bobedi
national affairs	ditaba tsa setjhaba
national anthem	pina ya setjhaba
national asset	asete ya setjhaba; bokgabane ba setjhaba
national budget	bajete; tekanyetso ya setjhaba
national coat of arms	kola
national coat of arms	sefoka sa naha
national conference	seboka sa naha
national conference	setjhaba
national department	naha; lefapha la setjhaba
national development	ntshetsopele ya setjhaba
national economy	kgwebo ya setjhaba
national education	thuto ya setjhaba
national executive	naha
national executive	phethahatso ya setjhaba
national executive authority	bolaodi ba phethahatso ba naha
national executive authority	setjhaba
national executive committee	komiti ya phethahatso ya naha
national executive committee	setjhaba
national flag	folakga ya naha
national government	mmuso wa naha
national identity	boitsebahatso ba naha
national interest	thahasello ya naha
national leader	moetapele wa setjhaba
national level	naha; boemo ba setjhaba
national level of government	naha ba mmuso; boemo ba setjhaba
national policy	setjhaba; leano la naha
national pride	motlotlo wa setjhaba
national reconciliation	poelano a setjhaba
national security	tshireletso ya setjhaba
national sphere of government	karolo ya setjhaba ya mmuso
national strategy	mokgwa wa setjhaba
national symbols	diemela tsa naha
national symbols	matshwao
national unity	kopano ya setjhaba
natural justice	toka ya setjhaba
natural resources	mehlodi ya tlhaho
need to know	lokela ho tseba
new dispensation	tshebetso e ntjha
not later than	eseng ka mora nako
notice of motion	tsebiso ya ditshisinyo
number of children	palo ya bana
number of deaths	palo ya mafu
oath of office	kano ya ofisi
of paramount importance	ya bohlokwa haholo
office bearer	monnga ofisi
official language	puo ya semmuso
official residence	bodulo ba molao
on the defence	tshireletsong
on the market	mmarakeng
on the run	palehong
on the second	ka motsotswana
on the wing	ho fofa
on top of	hodima
open society	setjhaba sohle
opening address	pulo; puo ya selelekela
order of merit	hlahlamano
order of preference	tatelano ya kgetho e ratwang
order of the day	taba ya letsatsi leo
ordinary session	karolo e tlaelehileng
organs of state	dikarolo tsa mmuso
out of control	ha e sebetse
out of date	e feletswe ke nako
out of order	tswile lekoteng
out of print	e tswile kgatisong
out of service	ha e sa sebediswa
out of stock	ha e yo pokellong ya thepa
outbreak of war	ho qhoma ha ntwa
ownership of land	borui ba lefatshe
paradigm shift	phetoho ya tlwaelo
parliament is in session	kopano ya palamente e ntse e tswela pele
parliamentary committee	komiti ya palamente
parliamentary correspondent	mosebeletsi wa palamente
parliamentary democracy	demokrasi ya palamente
parliamentary process	tshebetso ya palamente
participate in the debate	e ba le seabo dingangisanong
participatory democracy	demokrasi ya seabo
party discipline	boitshwaro ba mokgatlo
party system	tshebetso ya mokgatlo
pass laws	melao ya dipasa
pave the way	bula tsela
peaceful coexistence	phihlellano ya kgotso
peaceful demonstration	pontsho ya kgotso
peaceful transition	phetoho e tswellang ya kgotso
per capita	per capita
performing arts council	lekgotla la ketso la bonono
permanent residence permit	phemiti ya boahi ya moshwelella
pillar of strength	tshiya e matla
pilot project	simollang; projeke e qalang
place of safety	sebaka sa tshireletso
platinum group metals	dimetale tsa sehlopha sa polatinamo
play the lead	bapala o le moetapele
playing field	sebaka; tulo ya ho bapalla
point of contact	ntlha ya boikopanyo
point of order	tlhokomediso ya tsamaiso
point of view	maikutlo
police service	tshebeletso ya sepolesa
policy development	ntshetsopele ya leano
policy environment	tikoloho ya leano
policy formulation	theho ya leano
policy framework	moralo wa leano
policy implementation	tshebediso ya leano
policy making	ketso ya leano
policy statement	polelo ya leano
political context	tjhadimo ya sepolotiki
political control	taelo ya sepolotiki
political development	ntshetsopele ya sepolotiki
political dispensation	tshebetso sepolotiki
political environment	tikoloho ya sepolotiki
political instability	ho hloka botsitso ha sepolotiki
political leadership	boetapele ba sepolotiki
political order	taelo ya sepolotiki
political party	mokgatlo wa sepolotiki
political process	tshebetso ya polotiki
political rights	ditokelo tsa sepolotiki
political system	tshebetso ya sepolotiki
political tradition	tlwaelo ya sepolotiki
poor living conditions	maemo a bofutsana
poorest of the poor	mofutsana e moholo
popular culture	moetlo o tlwaelehileng
popular participation	ho ba le  seabo ho tlwaelehileng
popular sovereignty	borena bo tummeng
population register	rejistara ya setjhaba
population size	bongata ba setjhaba
portfolio committee	potefoliyo; komiti ya maemo
powers and functions	matla le mesebetsi
powers that be	matla a ka bang teng
practical reality	bojwalo bo ka phethahatswang
praise singer	seroki
presiding officer	moofisiri ya laolang
press freedom	tokoloho ya kgatiso
primary health care	tlhokomelo ya sethatho ya bophelo
private sector	mokga wa poraefete
professional ethics	boitshwaro ba seprofeshenale
professional organisation	mokgatlo wa seprofeshenale
prophets of doom	baporofeta ba bohata
proportional representation	boemedi ba karolo
provincial administration	taolo ya provense
provincial budget	bajete ya provense
provincial government	mmuso wa provense
provincial legislature	molao wa provense
provincial level	boemo ba provense
provincial sphere of government	puso ya provense
provision of services	phumantsho ya ditshebeletso
public administration	botsamaisi ba setjhaba
public domain	ntlokgolo ya setjhaba
public expenditure	ditshebenyehelo tsa setjhaba
public funds	matlole a setjhaba
public health	bophelo bo botle ba setjhaba
public hearing	nonyo ya maikutlo a setjhaba
public interest	takatso ya setjhaba
public meeting	kopano ya setjhaba
public money	tjhelete ya setjhaba
public office	ofisi ya setjhaba
public opinion	maikutlo a setjhaba
public participation	seabo sa setjhaba
public policy	leano la setjhaba
public relations officer	moofisiri wa dikamano tsa setjhaba
public sector	mokga wa setjhaba
public service	tshebeletso ya setjhaba
public services	ditshebeletso tsa setjhaba
public transport system	tshebetso ya dipalangwang tsa setjhaba
public works	mesebetsi ya setjhaba
public works programme	lenaneo la mesebetsi ya setjhaba
pumped storage scheme	sekimi sa polokelo ya tshutuletso
put a motion	ho hlahisa maikutlo
put in writing	e ngole
quality of life	boleng ba bophelo
question paper	pampiri ya dipotso
quota system	quota; tshebetso ya tekanyetso
quota system	tshebetso ya pehelo
race relations	dikamano tsa merabe
racial equality	tekano ya merabe
racial segregation	kgethollo ya morabe
rainbow nation	setjhaba sa mookodi
range of vision	lethathama la dipono
rapid transit system	tshebetso ya ho palama kapele
redistribution of land	kabobotjha ya naha
reference book	bukana ya boitsebiso
regional integration	kenyeletso ya lebatowa
register of members	rejisatara ya ditho
removal from office	ho ntshwa ofising
remuneration package	pokello ya moputso
required to carry	tshwanela ho nka
reside in	phela ho
residence permit	lengolo la tumello la bodulo
resistance movement	motsamao wa kganyetso
resistance to change	ho hana phetoho
resolution of conflict	tharollo ya kgohlano
resource base	motheo wa mohlodi
responsible for	ikarabela bakeng sa
restitution of land	kabo ya naha
restitution of land rights	kabo ya ditokelo tsa naha
return on investment	kuno ya letsete
right of access	tokelo ya phihlello
right to assemble	tokelo ya kopano /kgobokano
right to human dignity	tokelo ya seriti sa botho
right to life	tokelo ya ho phela
right to privacy	tokelo ya ho ba sephiring
right to strike	tokelo ya ho ipelaetsa
right to vote	tokelo ya ho vouta
rights and privileges	ditokelo lle menyetla
rise and fall	ho wa le ho tsoha
rite of passage	tokelo ya ho feta
road network	maranrang a tsela
road show	dipontsho tsa tseleng
rule of law	tshebetso ya molao
rules and orders	melao le ditaelo
rules of debate	melao ya ngangisano
rules of natural justice	melao ya toka ya tlhaho
rules of procedure	melao ya mokgwa wa tshebetso
ruling party	mokgatlo o busang
rural development	ntshetsopele ya mahae
school library service	tshebeletso ya laeborari ya sekolo
school nutrition programme	lenaneo la phepo sekolong
science and technology	saense le theknoloji
search and rescue	fuputsa mme o pholose
seat of government	bodulo ba mmuso
security clearance	tlhakiso ya tshireletso
security forces	masole  a tshireletso
sending and receiving	romela le ho fumana
sense of responsibility	kelello kapa maikutlo a boikarabelo
sense of touch	maikutlo a kamo
separate but equal	arohane empa ka ho lekana
separate development	ntshetsopele ka karohano
separation of powers	karolo ya matla; karolo ya puso
services industry	indasteri ya ditshebeletso
services rendered	ditshebeletso tse entsweng
set in motion	e tsamaise
shortage of skills	leqeme la boitsebelo ba mesebetsi
sitting of parliament	kopano ya palamente
small town	toropo e nyenyane
social benefits	menyetla ya setjhaba
social capital	kapitale ya setjhaba
social change	phetoho ya setjhaba
social contract	kontraka ya setjhaba
social control	taolo ya setjhaba
social development	ntshetsopele ya setjhaba
social interaction	tshebeletsano ya setjhaba
social justice	toka ya setjhaba
social movement	motsamao wa setjhaba
social security	tshireletso ya setjhaba
social services	ditshebeletso tsa setjhaba
social system	mokgwa wa tshebetso ya setjhaba
social upliftment	phahamiso ya setjhaba
social welfare	boiketlo ba setjhaba
socio-economic development	ntshetsopele ya moruo wa setjhaba
source of income	mohlodi wa lekeno
source of information	mohlodi wa dintlha kapa tsebo
sovereign democratic state	puso e tlotlehileng ya demokrasi
sovereign state	puso e tlotlehileng
sphere of government	karolo ya mmuso
standard of living	boemo ba bophelo
state assets	diasete tsa setjhaba; makgabane a setjhaba
state emblem	lepetjo la mmuso; lepetjo la puso
state institutions	diinstitjushene tsa setjhaba
state money	tjhelete ya mmuso; tjhelete ya puso
state of emergency	maemo a tshohanyetso
state of mind	maemo a kelello
state of the nation address	puo ya setjhaba ya mopresidente
state revenue	letlole la mmuso
status of women	maemo a basadi
status quo	status quo; maemo a tlwaelo
statute book	buka ya melao
strategic management	taolo ho ya ka leano
structural violence	dikgoka tse hlophisitsweng
struggle for liberation	tseko ya bolokolohi
subject for discussion	sehlooho sa dipuisano
subject to the provisions of	ho latela diphumantsho tsa
substantive motion	keletso; tshisinyo e molemo
supply and demand	phepelo le tlhoko
supreme law	molao o moholo
sustainable development	ntshetsopele e ka tshwarellang
sustainable economic growth	kgolo ya moruo e ka tshwarellang
sworn in	ikanetse ho
system of government	mokgwa wa tshebetso ya mmuso
systems approach	mokgwa wa katamelo
table of contents	theibole ya dikateng
take account of	ikarabelle bakeng sa
take advantage of	sebedisa monyetla
take an oath	ikane
take cognisance of	hlokomela
take cognizance of	hlokomela
take into consideration	hlokomela
take off	ho tloha
task team	sehlopha sa tshebetso
tax revenue	letlole la lekgetho
technical services department	lefapha la ditshebeletso tsa setekgeniki
term budget	bajete ya nako e itseng
term of office	nako ya ofisi
terms and conditions	maemo le dipehelo
terms of reference	dintlha tsa dipuisano / tsa tadimisano
terms of trade	dipehelo tsa kgwebo
the Cold War	Ntwa e Masisi
the East	Botjhabela
the West	Bophirimela
the common good	makgabane a tshwanang
the disadvantaged	ba se nang menyetla
the historically disadvantaged	ba sa bang le menyetla nalaneng
the masses	setjhaba
the powers that be	matla a ka bang teng
the right	tokelo
the services	ditshebeletso
the struggle	boitseko
the voiceless	ba se nang puo
thousand and one	sekete le motso o le mong
time of arrival	nako ya ho fihla
time of departure	nako ya ho tsamaya
title deed	lengolo la thuto
to and fro	ho ya le ho kgutla
to the effect that	ho fihlela boemong ba
to the left of	ka ho le letshehadi
to the right of	ka ho le letona
top management	botsamaisi bo boholo
top secret	sephiri se seholo
total onslaught	qaka e kgolo
track record	nalane ya tshebetso
trade relations	dikamano tsa kgwebo
trade union	mokgatlo wa kgwebo
trading partner	molekane wa kgwebo
traditional leadership	boetapele ba setso
traffic control	taolo ya sephethephethe
training facilities	disebediswa tsa kwetliso
training institution	institjushene ya kwetliso
transition to democracy	phetoho ya demokrasi
translation of the Bible	phetolo ya Bibele
tree of knowledge	sefate sa tsebo
tree of life	sefate sa bophelo
umbrella body	mokgatlo o moholo o akaretsang
unanimous concurrence	phihlellano ya kgotso
under the auspices of	tlasa taolo ya
under the authority of	tlasa bolaodi ba
unemployment rate	sekgahla sa ho hloka mesebetsi
unfair discrimination	kgethollo ya leeme
unique people	batho ba ikgethang
united nations organisation	mokgatlo wa dinaha tse kopaneng
university of technology	yunivesithi ya theknoloji
unreserved postal service	tshebeletso ya poso e sa beheletswang
up to date	-nakong
up to standard	maemong a nepahetseng
upper middle class	sehlopha se phahameng se bohareng
urban area	sebaka sa makeishene
urban centre	setsi sa makeishene
urban development	ntshetsopele ya makeishene
urban renewal	ntjhafatso ya metse ya ditoropo
value system	tshebetso ya makgabane
violation of human rights	tlolo ya ditokelo tsa botho
violence against children	tlhekefetso ya bana
violence against women	tlhekefetso ya basadi
voice of the people	lentswe la setjhaba
vote in favour	voutela
vote of thanks	diteboho
waste management	tsamaiso ya dikgwerekgwere
ways and means	mekgwa e fapaneng
welfare state	mmuso wa boiketlo
winds of change	meya ya phetoho
winter rainfall region	lebatowa la pula ya mariha
with effect from	ho qala ka
with the sun	ka letsatsi
with the wind	ka sekgahla sa moya
within a radius of	ka hara tikoloho ya
within the limits	ka tlasa bokgoni
word of welcome	lentswe la kamohelo
working group	sehlopha sa tshebetso
world community	setjhaba sa lefatshe
you are here	o mona
