APRIL	MMESA; 
chairperson	modulasetulo; 
chairpersons	baduladitulo; 
challenge	 tsekisana;  phethetsa;  tsekisano; phephetso; 
challenged	phepetso;  tsekisane;  phephetsa;  phepheditse; phephetso; 
challenges	 tsekisana; diphepetso; ditsekisano; 
challenging	phepetso; tsekisano;  phethetsa;  phepetsang;  tsekisang; 
chamber	phaposi; 
chambers	diphaposi;  dikamore; 
champion	mmampodi; 
champions	bommampodi; 
championship	bompodi; 
championships	bompodi; 
chance	monyetla; 
change	 phetoho; fetola;  tjhentjhe; 
changed	 fetotse; thubile;  tjhentjhe; phetoho; 
changes	thuba; diphetoho;  fetola;  tjhentjhe; 
changing	thuba;  fetolang;  thuhang;  tjhentjhe; phetoho; 
channel	 tjhanele; kgannela; 
channels	 ditjhanele; kgannela;  dikanale; 
chapter	kgaolo; 
chapters	 dikgaolo; kgaolo; 
character	 semelo; mophetwa; 
characteristic	 semelo;  tshwayang; letshwao; 
characteristics	matshwao; dimelo;  tshwayang; 
characters	dimelo; baphetwa; 
charge	 qoso; ditjeho;  ho tlatsa;  ho qosa; 
charged	e tjhajilweng; 
charges	 diqoso; ditjeho;  ho tlatsa;  ho qosa; 
charter	selekane;  lengolo la tumello; 
chartered	selekane;  lengolo la tumello; 
check	tjheka; 
checked	tjheka;  tjhekile; nnetefatso; 
cheque	tjheke; 
chief	morena; 
child	ngwana; 
childhood	bongwana; 
children	bana; 
children's	bana; 
choice	kgetho; 
choices	kgetho;  dikgetho; 
choir	khwaere; 
choose	kgetha; 
choral	-khwaere; 
chose	kgetha; 
chosen	kgetha; 
chronic	nako e telele; 
church	kereke; 
churches	dikereke; 
cinema	baesekopong;  baesekopo; 
cinemas	baesekopong; dibaesekopo; 
circumstances	maemo; 
cite	ho romela samane; 
cited	 ho romela samane; rometse samane; 
cities	motse;  metsemeholo; 
citizen	moahi; 
citizenry	boahi; 
citizens	baahi; 
citizenship	boahi;  thuto ya boahi; 
city	motse;  motsemoholo; 
civic	leaho; 
civilian	moahi; 
claim	tseko;  tleleime;  tseka;  ho tseka; 
claimed	tseko;  tleleime;  tseka;  tsekile;  ho tseka; 
claims	 ditseko; ditleleime;  tseka;  ho tseka; 
clarification	 tlhalosetso; tlhakisetso; 
clarify	hlakisa; hlalosa; 
clarion	terompeta; 
clarity	 tlhalosetso; tlhakisetso; 
class	sehlopha; 
classes	dihlopha; 
classic	ya nako tsohle; 
classical	-tlelasiki; 
classics	tsa nako tsohle; 
classification	tlhophiso; 
classified	ikgethileng; 
classroom	phaposi ya borutelo; 
clause	polelwana; 
clauses	 dipolelwana; polelwana; 
cleaning	hlwekile; 
clear	hlakileng;  bonaletsang;  hlaka;  ho apoha ha lehodimo;  phumula; 
clearing	hlwekisang; 
clearly	hlakile;  ka ho hlaka; 
clerk	tlelereke; 
click	tobetsa; 
client	moreki;  ya thuswang; 
clients	bareki;  ya thuswang; 
climate	tlelaemete; 
clinic	tleleniki;  tlelenike;  tleliniki; 
clinical	ya tleliniki; 
clinics	ditleliniki; tliliniki;  tlelenike;  tleliniki;  tleleniki; 
close	 bipetsang; haufi; 
closed	kwetswe; 
closely	e haufi haholo; 
closer	 bipetsang; haufi; 
closing	 bipetsang; haufi; 
clothing	diaparo; 
club	sehlopha; 
clubs	dihlopha; 
cluster	senkgome; 
co	 kompone; kopanelo; 
co-operation	 koporasi; tshebedisano; 
co-operative	koporasi; 
co-ordinate	ho nyalanya; 
co-ordination	nyalanyo; 
co-production	tlhahisokopanelo; 
coach	 -rupela;  khoutjho; mokwetlisi;  bese ya maeto;  kariki; 
coal	 leshala; mashala; 
coast	lebopo; 
coastal	ya mabopong; 
coat	dila;  seapesa; 
code	khoutu; 
codes	khoutu;  dikhoutu; 
cohesive	e kgomarelang; 
cold	 -batang;  mohatsela;  ho a bata;  bata; sefuba; 
collaborate	kopanang; 
collaboration	 motswako; kgokahano;  Kopano; 
collaborative	 tswakaneng;  hokahaneng; kopaneng; 
collapse	 ho putlama; -putlama; 
colleagues	basebetsimmoho; 
collect	bokella;  kgobokanya;  -bokella;  bokeletsa; 
collected	bokella;  kgobokanya;  -bokella;  bokeletsa; 
collecting	 -bokellang;  bokeletsang;  kgobokanyang; bokellang; 
collection	pokello; 
collections	dipokello; 
collective	ka bongata;  ka sehlopha; 
collectively	ka bongata;  ka sehlopha; 
college	kholetjhe; 
colleges	dikholetjhe; 
colloquium	dipuisano; 
colonial	ya bokolone; 
colonies	dikolone; 
colony	kolone; 
colour	mmala; 
coloured	mmala;  entse mebala; 
colourful	mebalabala; 
colours	mebala; 
column	 kholomo;  kolomo; tshiya; 
combination	 motswapo; popo;  kopanyo; 
combined	kopantsweng; 
come	tlo; 
comedy	metlae; 
comes	o a tla; 
coming	ya tlang; 
comma	feelwane; 
command	taelo; 
commas	difeelwane; 
commemorate	-ikgopotsa; 
commemorating	-ikgopotsa; 
commemoration	sehopotso; 
commemorative	 hopolehang; ikgopotsang; 
commence	 simolla; qala; 
commenced	 simolotse; qadile; 
commencement	 tshimollo; qaleho; 
commencing	 simollang; qalang; 
commendable	 tsotehang; babatsehang;  kgahlehang; 
commensurate	lekana; 
comment	puo; 
comments	puo; 
commercial	papatso;  ya kgwebo;  tsa kgwebo; 
commission	khomishene; 
commissioned	khomishene; 
commissioners	bahlapantshi; 
commissions	dikhomishene; 
commit	 tlama; etsa; ikemisetsa; 
commits	 tlama; etsa; ikemisetsa; 
committed	entse;  tlamile;  ikemiseditse; 
committee	komiti; 
committee's	ya komiti;  ya lekgotla; 
committees	dikomiti; 
committing	 ikemisetsang; etsang;  tlamang; 
commodities	 thepa ya kgwebo; diphahlo;  phahlo; 
commodity	 thepa ya kgwebo; phahlo; 
common	ya bohle; 
commonly	tlwaelehile;  ka tlwaelo; 
communicate	-buisana; 
communicated	buisane;  -buisana; 
communication	kgokahano;  dikgokahano; 
communication-related	amana le dikgokahano; anana le dipuisano; 
communications	dipuisano; dikgokahano; 
communities	ditjhaba;  ditjhabana; 
community	 setjhabana; setjhaba; 
community-based	amana le setjhaba; 
companies	 dikhamphani; dikhampani; 
company	khamphani; 
comparability	 papiso; tshwantshiso; 
comparable	bapiseha;  tshwantsheha; 
comparative	tshwantshanyang;  bapisang; 
compare	bapisa;  ho bapisa; 
compared	 qosehile; bapisitse; ho bapisa; 
comparison	papiso; 
compassion	kutlwelobohloko; 
compelled	 tlamehile; tshwanetse; 
compelling	tlamang;  qosang; 
compensate	lefa; 
compensation	 tlhapiso; puseletso; 
compete	 ho hlodisana; -nka karolo;  -hlodisana; 
competence	 boitsebelo; bokgoni;  tsebo; bokgeleke; 
competencies	 boitsebelo; bokgoni;  tsebo; bokgeleke; 
competency	 boitsebelo; bokgoni;  tsebo; bokgeleke; 
competent	itsebela;  tseba; 
competition	tlhodisano; 
competitive	 phehisang; hlodisana; 
competitiveness	tlhodisano;  phehisano; 
compilation	pokello; 
compile	ho bokella; 
compiled	ho bokella; 
complainant	molli; 
complaint	sello; 
complaints	dillo; 
complement	ho tlatsetsa; 
complementary	emelang; 
complete	 -qeta; phethahetseng; 
completed	qetella;  qetile;  -qeta; phethahetseng; 
completely	 ka botlalo;  ka phethahalo; kaofela; qetilwe; 
completing	 qetang; qetella;  qetellang;  -qeta; phethahetseng; 
completion	qeto;  phethahalo;  phetho; 
complex	raraneng; 
complexity	tharahano; 
compliance	boikobelo;  ; boikamahanyo; 
complied	 ikobetse; ikamahantse; 
complies	 ikobela; ikamahanya; 
comply	 ikobela; ikamahanya; 
complying	 ikobelang; ikamahanyang; 
component	karolo; 
components	dikarolo; 
composed	 qapile; hlophisitse; 
composition	 boqapi; moqoqo;  popeho;  ho qapa;  qapo;  popo; 
comprehensive	 ka hohle;  ka ho phethahala; ka botlalo; 
comprehensively	 ka hohle;  ka ho phethahala; ka botlalo; 
comprise	di na le; 
comprises	e na le; 
comprising	e na le;  di na le; 
compromise	 -inehela; ho inehela; 
compromised	 -inehela; inehetse;  ho inehela; 
compulsory	 -tlamang; e tlamang; 
computer	khomphyutha; 
computers	dikhomphutha; khomphyutha; 
comrade	khomoreiti; 
comrades	makhomoreiti; 
conceive	-ima;  ho ima; 
conceived	 ho ima;  -imme; imme; 
concentrated	loileng; 
concentration	toiso; 
concept	mohopolo; 
concepts	kutlwisiso; mehopolo; 
concern	taba;  kgathatseho;  matshwenyeho;  kgwebo; 
concerned	kgathatsehile; 
concerning	amang; amanang le; 
concerns	ama;  tshwenya; kgathatsa; 
concert	konsarete; 
conciliation	poelano; 
concrete	 konkreiti; konkereiti; 
concurrence	sehong;  mahong; 
concurrent	mmoho; 
condemned	hanane;  sotse; seolotse;  nyefotse;  nyatsitse;  ahloletswe; 
condemns	 nyefola;  nyatsa;  nyedisa; hanana;  seolla; 
condition	boemo;  boemo ba bophelo; 
conditional	ka dipehelo; 
conditions	maemo; 
condolences	matshediso; 
condom	 kgohlopo; khondomo; 
condoms	dikhondomo;  kgohlopo;  dikgohlopo;  khondomo; 
conducive	 atlehisa; tshwanela;  kgothaletsa; 
conduct	 ho itshwara;  tsamaisa; boitshwaro; 
conducted	 ho itshwara;  tsamaisa; boitshwaro; ho bintsha; 
conducting	 ho itshwara;  tsamaisa; boitshwaro; ho bintsha; 
conducts	 ho itshwara;  tsamaisa; boitshwaro; ho bintsha; 
conference	khonferense; 
conferences	dikhonferense; 
confidence	tshepo;  boitshepo; 
confident	 ho itshepa; -tshepa; 
confidential	lekunutu; 
confidentiality	lekunutu; 
confirm	netefatsa; 
confirmation	netefatso;  tiiseletso; 
confirmed	dumetse;  tiisitse;  pakile; 
confirms	netefatsa; 
confiscation	kgapo; 
conflict	kgohlano; 
conflicts	dikgohlano; 
congratulate	lakaletsa mahlohonolo;  ho lebohela; 
congratulates	lakaletsa mahlohonolo;  ho lebohela; 
congratulating	lakaletsang mahlohonolo;  lebohelang; 
congratulations	ditebohelo; ditakaletso tsa mahlohonolo; 
congress	khonkerese; 
connect	hokela;  ho hokahanya; 
connected	hoketswe;  kopantswe; 
connection	kgokelo; 
conscience	letswalo; 
consciousness	ho phaphama; 
consecutive	hlahlamanang; 
consensus	tumellano; 
consent	tumello;  ho dumela; 
consequence	sephetho;  ditlamorao; 
consequences	sephetho;  ditlamorao; 
consequential	ya ditlamorao;  ya pheletso; qetello; 
consequently	 pheletsong; qetellong; 
conservation	 ho boloka; paballo; 
conserve	 ho boloka; poloko; 
consider	 -nahana; nahana; 
considerable	 tsotehang;  hlokomelehang; babatsehang; 
considerably	 ka ho tsoteha; ka ho babatseha; ka tlhokomeleho; 
consideration	lebaka; 
considerations	mabaka; 
considered	nahanne; 
considering	 -nahana; nahana; 
considers	 -nahana; nahana; 
consistently	 kamehla; kgafetsa; 
constantly	ka ho sa fetohe; 
constituency	lebatowa; 
constitute	ho hlomamisa; 
constituted	ho hlomamisa; 
constitutes	ho hlomamisa; 
constitution	molao wa motheo; 
constitutional	ka molao wa motheo; 
constitutions	molao wa motheo; 
constraint	e nang le moedi; 
constraints	tse nang le meedi; 
construction	kaho; 
constructive	 ahang;  thehang; bopang; 
construed	amohetswe;  nahannwe; 
consult	ho rerisa; 
consultant	setsebi; 
consultants	 setsebi; ditsebi; 
consultation	therisano; 
consultations	ditherisano; 
consultative	botsisisang; 
consulted	rerisitse; ho rerisa; 
consulting	ho rerisa; 
consumable	felang; 
consumables	felang; 
consumer	mosebedisi; 
consumers	basebedisi; 
consumption	tshebediso; 
contacts	dikamano; 
contain	- kentse;  - na le; 
contained	tshetse; - kentse;  - na le; 
container	setshelo; 
containers	setshelo; 
containing	tshetse;  - kentse; kentseng;  - na le; 
contains	tshetse; - kentse;  - na le; 
contemplated	 nahanne; tadimisitse; bohile; 
contemporary	-sejwalejwale; 
contempt	 nyediso; lenyatso;  kgeso; 
content	dikateng; 
contents	 mothamo; dikahare; 
context	 boemo; maikutlo;  tikoloho; 
continents	dikontinente; 
contingency	ya nakwana; 
contingent	nakwana; 
continuation	tswelopele; 
continue	tswella; 
continued	tswella; 
continues	tswella; 
continuing	tswella; 
continuity	tswelopele; 
continuously	ka ho tswela pele; 
contract	 selekane;  ho honyela; konteraka;  honyela; 
contracted	 selekane;  ho honyela; konteraka;  honyela; 
contracting	 selekane;  ho honyela; konteraka;  honyela; 
contracts	 dilekane;  ho honyela; konteraka;  honyela; 
contractual	ka boitlamo; 
contrary	kgahlano; 
contrast	phapano;  ho fapanya; 
contravenes	tlola; 
contravention	tlolo; 
contribution	phehiso; 
contributions	diphehiso; 
contributor	mophehisi; 
contributors	baphehisi; 
control	 taolo; tsamaiso;  ho tsamaisa; 
controlled	 taolo; tsamaiso;  ho tsamaisa; 
controlling	 taolo; tsamaiso;  ho tsamaisa; 
controls	ditsamaiso;  ditaolo;  ho tsamaisa; 
convene	bitsa; 
convened	bitsitse; 
convention	tlwaelo;  selekane; 
conventional	tlwaelehile;  ka tlwaelo; 
conventions	 dilekane; ditlwaelo; 
conversation	puisano; 
conversations	dipuisano; 
conversion	 tshokoloho; phetolelo; 
convert	 ho fetolela;  mosokolohi; fetola; 
converted	 ho fetolela;  mosokolohi; fetola; 
convey	tsamaisa;  fetisa; 
convict	motshwaruwa; 
convicted	motshwaruwa; 
convinced	kgotswe; 
cookie	mophehi; 
cooperative	koporasi; 
cooperatives	dikoporasi; 
coordinate	-hokanya; 
coordinated	ho nyalanya; 
coordinating	ho nyalanya; 
coordination	taolo ya kgokahano ya mesifa; 
copies	 kopitsa; khopi;  etsisa;  dikopi;  ho kopitsa; 
copy	 kopitsa; khopi;  etsisa;  kopi;  ho kopitsa; 
copyright	tumellotshebediso;  molao wa kopi; 
corner	sekgutlo;  qola; 
cornerstone	lejwe la motheo; 
corporation	koporasi; 
corporations	dikoporasi; 
corps	dijalo; 
correct	 nepahetse; nepahetseng;  ho tshwaya;  lokisa;  -nepahetse; 
correction	 ho tshwaya; tokiso; 
correctional	ya tlhabollo;  ya ntlafatso;  ya tokiso; 
corrections	 ho tshwaya;  ditokiso; tokiso; 
corrective	lokisang; 
correctly	ka nepo; 
correspondence	mangolo;  ngollano; 
corresponding	dumellanang; 
corrupt	senya; 
cost	theko; 
cost-effective	 theko e tlase; rekela; 
costs	ditheko; ho bea theko; 
could	 boloka kotikoting; kotikoti;  kane; 
council	lekgotla;  khansele; 
councillor	lekhanselara;  mokhansele; 
councillors	makhanselara; 
councils	 dikhansele; makgotla; 
counselling	 ho fumantshwa keletso; keletso ya kgothatso; 
count	bala;  ho bala; 
countdown	 metsotso ya ho qetela; temoso ya ho tswa mmileng o bulehileng; 
counter	mmadi; 
counterclaim	 kganano ya qoso; kganano ya molato; 
counterpart	molekane; 
counterparts	balekane; 
countries	naha; 
country	naha; 
country's	 ya naha; naha; 
countrywide	naha yohle; 
couple	para;  ho tshwarahanya; 
coupled	para;  ho tshwarahanya; 
coupon	khupono; 
courage	ho ba sebete; 
course	mefuta ya dijo; 
courses	mefuta ya dijo; 
court	lekgotla;  lekgotla la dinyewe; 
court's	ya lekgotla; 
courtesy	hlompho; 
courts	 makgotla a dinyewe; makgotla; 
cover	 khavara;  anela; akaretsa; 
coverage	kakaretso;  ; 
covered	akareditse;  anetse; 
covering	 seapesa;  sekwahelo; letlalo; 
covers	 khavara;  anela; akaretsa; 
covet	ho lakatsa; 
coveted	ho lakatsa; 
cradle	thari; 
craft	 tsebo ya mosebetsi wa matsoho; bobetli;  bonono ba matsoho; 
crafts	 tsebo ya mosebetsi wa matsoho; bobetli;  bonono ba matsoho; 
created	thea; 
creates	thea; 
creating	thea; 
creation	tshimoloho;  tlholeho; 
creative	-iqapetsweng; 
creativity	boiqapelo; 
creators	babopi; 
credit	mokitlane; 
credits	krediti; mokitlane; 
cricket	seqhomelankong;  krikete; 
crime	bosenyi; 
crimes	bosenyi; 
criminal	senokwane;  motlolamolao; 
criminals	 motlolamolao;  senokwane; dinokwane; 
crisis	moseneke; 
criteria	dintlhakgetho; 
criterion	ntlhakgetho; 
critical	 nyatsa; hanana; 
critically	ka ho hanana;  ka ho nyatsa; 
crop	 tjhai; dijalo;  kila; 
crops	 tjhai; dijalo;  kila; 
cross	phethiso;  sekere;  sefapano; 
cross-border	ho tshela moedi; 
crucial	ya bohlokwa;  e molemo; 
culminate	qetella; 
culmination	qetello; 
cultural	 -botjhaba; tsa setho; 
culture	 botjhaba;  setso; setho; 
cultures	 botjhaba;  setso; setho; 
cup	kopi; 
curate	okamela; 
curators	khureitha; 
currency	tjhelete; 
current	 mophula wa motlakase; mophula; 
currently	ha jwale; 
curriculum	kharikhulamo;  lenane la thuto; 
curve	mothinya; 
custodian	mohlokomedi; 
custodians	bahlokomedi; 
custody	 ho kwallwa; tlhokomelo; 
custom	 moetlo; mokgwa; 
customary	ka moetlo; 
customer	moreki; 
customers	bareki; 
customs	mekgwa;  meetlo; 
cut	 ho tswedipana; leqeba; 
cutting	lekgalo; 
cycle	saekele; 
daily	ka letsatsi le letsatsi; 
dam	 aha letamo; letamo; 
damage	 senya; tshenyo;  ho senya; 
damages	 senya; tshenyo;  ho senya; 
dance	 ho hobela; motjeko; 
dancers	batjeki; 
dances	tjeka;  ho hobela; metjeko; 
danger	kotsi; 
dangerous	-kotsi; 
dark	lefifi;  ho lefifi; 
data	data;  datha; 
database	polokelo ya dintlha; 
databases	polokelo ya dintlha; 
date	mohla; 
dated	filwe letsatsi; 
dawn	meso; 
day	letsatsi; 
days	matsatsi; 
deaf	ho ba setholo; 
dealer	morekisi; 
dealers	 barekisi; morekisi; 
dealing	tshebedisano; 
death	lefu; 
deaths	mafu; 
debate	 kgang;  ngangisano; buisana; 
debated	 kgang;  ngangisano; buisana; 
debates	 dikgang; dingangisano; buisana; 
debt	 sekoloto; molato; 
debtor	mokoloti; 
debtor's	ya monnga sekoloto; 
debts	 sekoloto; molato;  dikoloto; 
decade	mengwaha e leshome; 
decades	mengwaha e leshome; 
deceased	mofu; 
decide	ho etsa qeto; 
decided	qetile; 
decides	ho etsa qeto; 
deciding	ho etsa qeto; 
decision	qeto; 
decision-making	ho etsa qeto; 
decisions	diqeto; 
declaration	phatlalatso; 
declare	-tsebisa; 
declared	phatlaladitse; tsebahaditse; 
declares	 -tsebisa; tsebisa; 
decrease	 ho ngotla; fokotsa; 
decreased	 ho ngotla; fokotsa; 
decryption	phetolo ya thibelo;  tokollo ya sengolwa; 
dedicate	inehela;  ho nyehela; 
dedicated	inehela;  ho nyehela; 
dedication	nyehelo;  boitelo; 
deduct	 ho fokotsa; tlosa; 
deducted	 ho fokotsa; tlosa; 
deduction	phokotso;  ho tlosa; 
deductions	phokotso;  diphokotso;  ho tlosa; 
deed	tumellano; 
deeds	tumellano; 
deem	fumana e le;  nahana hore e; 
deemed	 nahanne hore e; fumane e le; 
deems	fumana e le;  nahana hore e; 
deepen	matlafatsa;  tebisa; 
deeply	ka ho teba; 
defence	tshireletso;  boinamolelo;  dibapadi tse tshireletsang; 
defend	tshireletsa;  lwanela; 
defendant	moinamoledi; 
defiance	lenyatso;  ho nyatsa; 
deficit	kgaello; 
deficits	kgaello; 
defined	ho hlalosa; 
defines	ho hlalosa; 
defining	ho hlalosa; 
definition	 tlhalosetso; tlhakisetso; 
definitions	 ditlhakisetso; ditlhalosetso; 
degree	boemo;  kgato; 
degrees	boemo;  kgato; 
delay	tiehiso; 
delayed	tiehiso; 
delays	ditiehiso; 
delegate	 morumuwa; roma; 
delegated	 morumuwa; roma; 
delegates	 roma; baromuwa; 
delegation	baemedi; 
delegations	baemedi; 
delete	phumula; 
deleted	phumula; 
deletion	phumolo;  tlhokolo; 
deliberate	buisana; 
deliberately	ka ho kopa; 
delighted	 nyakaletse; thabile; 
deliver	 ho pepisa; -tsamaisa; 
delivered	 ho pepisa; -tsamaisa; 
delivering	-tsamaisang;  ho pepisang; 
delivers	 ho pepisa;  -tsamaisa; tsamaisa; 
delivery	ho beleha; 
demand	 -batla; tlhoko; 
demands	ditlhoko;  -batla; 
democracy	demokerasi; 
democratic	-demokrasi; 
democratically	ka sedemokrasi; 
demographic	ka bodulo; 
demonstrate	 -bontsha; ho supisa; 
demonstrated	 -bontsha; ho supisa; 
demonstrates	 -bontsha; bontsha;  ho supisa; 
demonstration	 tshupiso; bontsha;  pontsho; 
denied	hanne;  -latola;  ho hana; 
dental	ya meno; 
deny	 ho hana; -latola; 
department	lefapha;  lefaphana; 
department's	ya lefapha; 
departmental	ya lefapha; 
departments	mafapha; 
depend	itshetleha;  tshepa; 
depending	 ka ho itshetleha; tshepang; 
depends	itshetleha;  tshepa; 
deploy	diploya; 
deployed	diploya; 
deployment	phetolo ya mosebetsi; 
deposit	 dipositi;  diphosithi; peeletso;  pokellano; 
deposited	 dipositi;  diphosithi; peeletso;  pokellano; dephositi; 
depository	ya poloko; 
deposits	 dipositi;  diphosithi; peeletso;  pokellano; dephositi; 
depreciation	theoho; 
depth	botebo; 
deputies	batlatsi;  bathusi; 
deputy	motlatsi; 
derive	fumana; 
derived	fumane; 
descent	hlomphehang; 
described	 ho hlalosa; hlalosa; 
desert	lehwatata;  ho ngala; 
design	 paterone;  -rala;  rala; moralo; 
designate	reha; 
designated	rehile; 
designation	maemo;  ho thonya; 
designed	 paterone;  -rala;  rala; radile; moralo; 
designer	moradi; 
designers	baradi; 
designs	 dipaterone;  -rala;  rala; moralo; 
desirable	 tsoteha;  lakatseha; babatseha; 
desire	lakatsa;  tsota;  babatsa; 
desired	lakaditse;  babaditse; tsotile; 
despite	ho sa natswe; ka ntle ho; 
destination	moo ho uwang; 
destiny	moo ho uwang; 
destroy	-senya; 
destroyed	-senya; 
destruction	tshenyo; 
detail	 ka botlalo; ntlha; 
detailed	 ka botlalo; ntlha; 
details	 ka botlalo; dintlha; 
detained	tshwerwe;  kwaletswe;  hlahletswe tjhankaneng; 
detainees	 ba ditlamong; batshwaruwa; 
detection	 ho kwallwa; ho tshwarwa; 
detention	kgoleho; 
determine	fumana; 
determines	fumana; 
determining	fumana; 
develop	hodisa;  ho hola; 
developed	hodisitse; ho tswelapele;  ho hola; 
developing	ho tswelapele; hodisa;  ho hola; 
development	kgolo;  kgodiso; 
developmental	 ya tswelopele; ya kgolo; 
developments	dikgodiso; kgolo; 
develops	ho tswelapele; hodisa;  ho hola; 
device	sesebediswa; 
devices	disebediswa; 
devolution	phetolo ya bolaodi; 
diagnosis	tlhahlobo; 
dialogue	puisano; 
dialogues	dipuisano; 
diamond	taemane; 
diamonds	ditaemane; 
diaspora	diyasephora;  diasepora; 
dictionary	dikshenare;  buka ya mantswe; 
did	entse; 
didn't	ha a etsa; 
die	ho shwa;  -shwa;  letaese; 
died	 ho shwa; shwele;  -shwa;  letaese; 
dies	ho shwa;  mataese;  -shwa;  letaese; 
differ	fapana; 
difference	phapang; 
differences	diphapano; 
differently	ka tsela e nngwe;  ka tsela e fapaneng;  ka ho fapana; 
difficult	thata; 
difficulties	mathata; 
difficulty	bothata; 
dignified	hlomphehang; 
dignitaries	 batlotlehi; bahlomphehi; 
dignity	seriti; 
dimension	boholo; 
dimensions	boholo; tekanyo ya mahlakore; 
diplomatic	diplomatiki; 
direct	tobileng; 
directed	tobileng; 
directing	tobileng; 
direction	 tshupo; tsela;  nqa;  ditaelo; 
directions	 ditshupo; nnqa;  nqa;  ditaelo; ditsela; 
directly	ka kotloloho; 
director	molaodi; 
director-general	molaodi e moholo; 
directorate	bolaodi; 
directors	balaodi; 
directory	 tatellano ya difaele; buka ya difounu; 
directs	tobileng; 
disabilities	boqhwala; 
disability	boqhwala; 
disabled	 ho holofala; holofetse; 
disadvantage	bothata; 
disadvantaged	bothata; 
disaster	koduwa;  kodua; 
disasters	 koduwa; dikoduwa;  kodua; 
discharge	 molaka;  tjhatjholla;  lero le tswang dithong tsa bong; tokoloho; 
discharged	 molaka;  tjhatjholla;  lokolotswe;  lero le tswang dithong tsa bong; tokoloho; 
disciplinary	ka kahlolo; 
discipline	kgalemo; 
disciplines	dikgalemo; 
disclaimer	 tatolo ya molato; boitshireletso; 
disclose	 tsebahatso; pepeso; 
disclosed	 pepesitse; tsebahaditse; 
disclosure	 tsebahatso; pepeso; 
discourse	dikamano;  puisano; 
discover	sibolla; 
discovered	sibolla; 
discovery	tshibollo; 
discretion	boiponelo; 
discretionary	ka boikgethelo; 
discrimination	kgethollo; 
discuss	tshohla; 
discussed	tshohla; 
discussing	tshohlang; 
discussion	moqoqo;  puisano; 
discussions	dipuisano; moqoqo; 
disease	lefu; 
diseases	 malwetse;  bolwetsi;  lefu la bolwetse; bohloko;  bolwetse; lefu; 
dismissal	teleko; 
disparities	ho hloka tekano; 
dispensation	puso; 
display	 -pepesa;  pepeso; pepesa; 
displayed	 -pepesa;  pepeso; pepesa; 
displaying	 pepeso;  -pepesang; pepesa;  pepesang; 
disposal	tahlo; 
dispose	lahla; 
disposed	lahla; 
dispute	 tsekisana; tsekisano; 
disputes	 tsekisana; tsekisano;  ditsekisano; 
disqualified	lelekilwe; 
dissatisfied	ho se kgotsofale; 
dissemination	thuto;  kabo;  tsebiso; 
dissolution	ho qhibidiha;  ho etsa qeto; 
dissolve	qhibidiha;  ho qhala;  ho qhibidiha; 
dissolved	qhibidiha;  ho qhala;  ho qhibidiha; 
distance	 bohole; sebaka; 
distant	sebakanyana; 
distinct	 ikgethile; fapane; 
distinction	phapano; qatsoho;  boikgetho; 
distinctions	phapano; qatsoho;  boikgetho; 
distinctive	 ikgethile; fapane;  qatsohile; 
distinguished	fapaneng;  qatsohileng;  kgethehileng; 
distribute	ho qhalanya; 
distributed	ho qhalanya; 
distribution	kabo; 
district	setereke; 
districts	setereke;  ditereke; 
distrust	-hloka botshepehi; 
diverse	fapaneng; 
diversion	kgeloho; 
diversity	mefuta; 
diverted	 ikgethile; fapane; 
divide	arola;  ho arola; 
divided	arola;  ho arola; 
dividend	searolwa; 
dividends	searolwa; 
division	karolo;  ho arola; 
divisions	dikarolo;  ho arola; 
divorce	tlhalano;  tlhalo; 
do	etsa; 
doctor	ngaka; 
doctorate	kgau ya bongaka; 
doctors	ngaka; 
document	 tokomane; lengolo; 
documentation	ditokomane; 
documented	 tokomane; lengolo; 
documenting	 tokomane; lengolo; 
documents	 mangolo; ditokomane; 
does	etsa; 
doesn't	ha e etse; 
doing	etsang; 
dollar	dolara; 
domestic	lehae; 
dominant	e qatsohileng; 
domination	taolo; 
don't	ha e etse; 
donation	phano; 
donations	phano;  diphano; 
done	entse; 
donor	 mofani;  moabi; mofepedi; 
donors	banyehedi; 
door	monyako; 
doors	menyako; 
double	 ho kopola; habedi; 
doubt	pelaelo;  lekgonono; 
down	fatshe;  ditshibana;  masiba a bonolo; 
downtown	seteteteng sa toropo; toropong; 
downturn	mothinyeng; 
draft	sengolwa sa pele; 
drafted	ngotse; 
drafting	ngolang; 
drama	 tshwantshiso; papadi; 
dramatic	ya botshwantshisi; 
draw	 ho ntsha tjhelete;  -rala; seha mola; 
drawing	 ho rala; moralo; 
drawn	hutswe; 
dream	toro; 
dreams	ditoro; 
drew	 ho ntsha tjhelete;  ho rala;  -rala; seha mola; maleka; 
drink	seno; 
drinking	nwa;  nwang; 
driver	mokganni; 
driver's	ya mokganni; 
drivers	bakganni; 
drop	lerothodi;  ewa; 
drug	sethethefatsi; 
drugs	dithethefatsi;  ditlhare; 
drum	moropa;  tonka; 
dry	 omileng; omme;  ho oma;  omisa;  oma; 
dual	e habedi; 
duly	 ka molao; ka tshwanelo; 
duplication	phetapheto; 
duration	nako; 
during	kgabareng;  nakong eo; 
duties	 boikarabelo;  ditshwanelo; mesebetsi; lekgetho is a wrong Sesotho word rather mesebetsi;  lekgetho; 
duty	 boikarabelo;  tshwanelo; mosebetsi;  lekgetho; 
e-mail	imeile;  posa; 
each	kang; 
earlier	pelenyana; 
earliest	esale pele ka ho fetisisa; 
