APRIL	DZIVAMISOKO; 
crucial	xa nkoka swonghasi; 
culminate	fikelela makholo;  hetelela swi vange swo karhi; 
culmination	makholo;  mahetelelo lama vangekaka; 
cultural	swa ndhavuko; 
culture	ndzhaka;  mfuwo; 
cultures	maendlelo;  mifuwo; 
cup	komichi; 
curate	hlengeleta;  hlawulela; 
curator	muhlayisi wa swa mfuwo; 
curators	muhlayisi; 
currency	ximali-tiko; 
current	nkhuluko;  gandlati; 
currently	nkarhi wa sweswi; 
curriculum	kharikhulamu;  nxaxameto wa tidyondzo; 
curve	khona;  njhiko;  jiko; 
custodian	muhlayisi; muangameri;  muhlayisi; 
custodians	vahlayisi;  vahlayisi; vaangameri; 
custody	vuundlo;  ku khotsiwa; 
custom	mukhuva; 
customary	xa ntolovelo; 
customer	muxavi; 
customers	tikhasimende; 
customs	mitolovelo; miluvo; 
cut	mbanga;  xiava;  ntsemakanyo;  qatha; 
cutting	ntsemakanyo;  xirhabyana;  xitsemiwa;  xiphandze; 
cycle	nandzelelano;  ndzhendzheleko; 
daily	siku na siku;  masiku hinkwawo; 
dam	siva;  endla damu;  damu; 
damage	onha;  onho;  ku onha;  onhakelo; 
damages	onha;  onhakeriwa;  onhaka; 
dance	ncino;  cina;  ku cina; 
dancers	vacini; 
dances	cina; micino; 
danger	nghozi;  khombo;  mhangu; 
dangerous	swa nghozi; 
dark	munyama;  ku ni xinyami;  xinyami;  xinyama; 
data	switiviwa; 
database	nhlayisa-switiviwa; 
databases	mbita ya switiviwa; 
date	siku;  siku ra n'hweti; 
dated	sikuhatiweke; 
dates	muhandzu ya ncindzu; 
day	siku; 
days	masiku; 
dead	mufi; 
deadline	siku ro hetelela; 
deaf	ku fa tindleve; 
deal	ntwanano;  tirhana; 
dealer	muxavisi; 
dealers	vaxavisi; 
dealing	tirhaka;  tirhanaka; 
deals	tirhana; 
dealt	tirhanile; 
dear	eka;  durha;  murhandziwa; 
death	rifu; 
deaths	mafu; 
debate	njhekanjhekisano;  mphikizano wo vulavula; 
debated	kaneriwile; jekajekisanile;  jekajekisaniweke; 
debates	jekajekisana; mijekajekisano; 
debt	nandzu;  xikweleti; 
debtor	mukoloti; 
debtor's	xa mukoloti; 
debts	swikweleti; 
decade	lembe-xikhume; 
decades	lembexikhume; 
deceased	lovile; 
decent	amukelaka;  xa kahle;  xo landzelela matirhelo; 
decide	tsema mhaka; 
decided	tekile xiboho; 
decides	teka xiboho; 
deciding	teka xiboho; 
decision	xiboho; 
decision-making	ku teka xiboho; 
decisions	swiboho; 
declaration	xihlambanyo; 
declare	tivisa; 
declared	tivisile; 
declares	tivisa; 
decline	ku enhla;  ku ala;  ku wa; 
declined	arile;  arile; enhlile;  wile; 
declines	wa;  ala;  enhla; 
declining	ala;  waka; enhlaka; 
decrease	hunguta; 
decreased	hungutile; 
decryption	ku tlherisela eka matsalelo ya ntolovelo; 
dedicate	nyiketa;  tinyiketa; 
dedicated	tinyiketeleke; 
dedication	ku nyiketa;  vutinyiketi; 
deduct	susa; 
deducted	susile; 
deduction	ku susa; 
deductions	 leswi twisisiwaka; leswi susiwaka;  leswi kokiwaka; 
deed	dokhumente ya nawu; 
deeds	mitirho; 
deem	 vona ingaku; teka ingaku; 
deemed	voniwa ingaku;  tekiwile ingaku; voniwile ingaku; 
deems	 vona ingaku; teka ingaku; 
deep	enta;  nkulu swinene; 
deepen	engetela;  kurisa;  tiyisa; 
deeper	enta swinene; 
deeply	hindlela yikulu;  hindlela yo tivikana; 
default	ku tsandzeka ku hakela swikweleti; 
defect	nkayivelo;  ku hambukela eka nhlangano wun'wana; 
defence	nsirhelelo;  ku sirhelela;  vusirheleri; 
defend	sirhelela; 
defendant	mulumbetiwa; 
defiance	mona;  ku sola; 
deficiencies	mikayivelo; 
deficit	nkayivelo; 
deficits	mikayivelo; 
define	hlamusela; 
defined	hlamuseriwile; 
defines	hlamusela; 
defining	hlamusela; 
definition	nhlamuselo; 
definitions	tinhlamuselo; 
degree	xiyimo;  mpimo-xiyimo;  mpimo-mboyamo; 
degrees	 mipimo; tidigiri; 
delay	ku hlwela; 
delayed	hlwerisiwile; 
delays	hlwela; 
delegate	murhumiwa;  rhuma; 
delegated	rhumiwile; rhumisile; 
delegates	varhumiwa;  rhuma; 
delegation	vurhumiwa; 
delegations	vurhumiwa; 
delete	chukucha; 
deleted	herisile; 
deletion	ku herisa; 
deliberate	hi vomu; xa mavomu; 
deliberately	hi vomu; hi mavomu; 
deliberations	minkanerisano; 
delighted	tsakile;  tsakisiwile; 
deliver	heleketa;  ku tswala; 
delivered	fikisiwile;  phakeriwile; 
delivering	phakela;  kutsula; 
delivers	phakela;  fikisa; 
delivery	ku veleka; 
demand	lava;  ku laveka; 
demands	koxa;  swikoxo; 
democracy	xidemokirasi;  mfumo wa hinkwavo; 
democratic	-mfumo wa hinkwavo;  swa xidemokirasi; 
democratically	hindlela ya xidemokirasi; 
demographic	demogirafiki; 
demonstrate	kombisa;  komba;  nkombiso; 
demonstrated	kombisa;  kombisile; 
demonstrates	kombisa;  komba; 
demonstration	nkombiso;  nkombeto; 
denied	kaneta;  landzula; 
dental	 swa meno; swa matino; 
deny	landzulo; 
department	xiyenge;  ndzawulo; 
department's	xa ndzawulo; 
departmental	-ndzawulo; 
departments	tindzawulo; 
departure	suka; 
depend	lawuriwa;  tshembela; 
dependants	vahlayisiwa; 
dependence	ku tiseketela; 
dependency	tiko leri lawuriwaka hi rin'wana; 
dependent	swi lawuriwa;  swi tshembela; 
depending	swi karhi swi lawuriwa; 
depends	lawuriwa;  tshembela; 
deploy	rhumela; 
deployed	rhumerile; 
deployment	ku rhumela mutirhi eka xiyenge kumbe ndhawu yo karhi; 
deposit	masalela;  diphoziti;  misava yo tisiwa;  ku veka mali;  dipoziti; 
deposited	dipozitile;  dipozitiweke; 
depository	vuhlayiselo; 
deposits	dipozita;  tidipoziti; timali to sungula ta xitolomente; 
depreciation	ku nyumba; 
depth	vuenti; 
deputies	swandla; 
deputy	xandla; 
derive	kuma; 
derived	kumile; 
descent	rixaka; 
describe	hlamusela;  tsala ndzhati; 
described	hlamuserile; 
description	nhlamuselo;  tihlamuselo?; 
desert	baleka;  savasi;  mananga; 
design	khavisa;  mpfampfarhuto wa pulani;  ku dizayina;  dizayina;  nkhaviso; 
designate	hlawula;  thola; 
designated	hlawuriwile;  thoriwile; 
designation	xiyimo;  ku nyikiwa ntirho; 
designed	endlile; dizayinile; 
designer	mudizayini; 
designers	vadizayini; 
designs	tidizayini;  dizayina; 
desirable	xo tsakeleka; xo laveka; xo naveleka; 
desire	tsakela;  navela; 
desired	 tsakeriwile; naveriwile; 
despite	hambileswi; 
destination	 makumu ya rendzo; makumu ya riendzo; 
destiny	makumu; leswi nga ta humelela nkarhi lowu taka; 
destroy	onha; 
destroyed	onhakile; 
destruction	maendlelo yo onha; 
detail	vuxokoxoko;  hi vuxokoxoko; 
detailed	hlamuserile hi vuenti; 
details	vuxokoxoko;  vuxokoxoko; hlamusela hi vuenti; 
detained	ku pfaleriwa ekhotsweni handle ko tengisiwa; 
detainees	vabohiwa lava nga si tengisiwaka; 
detection	vulavisisi; 
detention	ku pfaleriwa; 
determination	ku tiyimisela; 
determine	kumisisa;  kuma; 
determined	ku tiyimisela; 
determines	kumisisa;  kuma; 
determining	kumisisa; 
develop	kurisa;  kula; 
developed	hluvukisile;  hluvukile; 
developing	ndlandlamuka;  hluvuka; 
development	nkulo;  kulela;  ku kula; 
developmental	xa nhluvukiso; 
developments	nhluvuko;  leswi humelelaka; 
develops	tumbuluxa;  hluvuka; 
device	nchumu;  xitirho xo karhi;  xitirhisiwa?; 
devices	endla;  switirhisiwa; 
devolution	vurhumisi; vuhundziseri; 
diagnosis	nhlahluvo;  mfembo; 
dialogue	n'wangulano;  angulano; 
dialogues	angulana; miangulano; 
diamond	dayimani;  dayimana; 
diamonds	tidayimani; 
diaspora	vuhangalaki; 
dictionary	xihlamusela-marito;  xihlamuselamarito; 
did	endlile; 
didn't	endlangi; 
die	fa;  dayisi;  ku fa; 
died	lovile;  feke;  file; 
dies	fa;  lova; 
differ	hambana; 
difference	nsalo;  ku hambana; 
differences	ku hambana; 
different	-hambana; 
differently	hindlela yo hambana; 
difficult	-nonon'hwa; 
difficulties	 ku tikeriwa; ku nonohwa; 
difficulty	vunonohi;  ku nonohwa; 
digital	xa xidijiti; 
dignified	ku xiximeka;  ku va na ndzhuti; 
dignitaries	vachaviseki; 
dignitary	muchaviseki; 
dignity	ndzhuti;  vukulukumba; 
dimension	mpimo; 
dimensions	swiphemu; 
dinner	dina; 
diplomatic	 xidipulomati; ku va na vuswikoti byo tirhanana timhaka; 
direct	letela?; 
directed	lawula; 
directing	lawula; 
direction	tlhelo; 
directions	matlhelo; 
directive	xikongomelo; 
directives	swileriso; 
directly	hi ku kongoma; 
director	vuleteri;  mulawuri;  mufambisi; 
director-general	mulawuri-jenerali; 
directorate	vulawuri; 
directors	murhangeri;  valawuri; 
directory	nkwama;  buku ya tinqingho; 
directs	fambisa; 
disabilities	vutsoniwa; 
disability	vutsoniwa; 
disabled	vatsoniwa;  ku lamala; 
disadvantage	ntsandziso; 
disadvantaged	tsandzekisiwile; 
disaster	mhangu; 
disasters	timhangu; 
discharge	malanga;  ku hunguteka;  mpembelo;  khanisa; 
discharged	humesile;  humesiwile; pfempfile;  tshunxile; 
disciplinary	xo tshinya; 
discipline	xichavo; 
disciplines	marhavi; 
disclaimer	ku tihumesa eka vutihlamuleri;  ku tihumesa enandzwini; 
disclose	paluxa; 
disclosed	paluxile; 
disclosure	mpaluxo; 
discourse	mbulavurisano; 
discover	thumbha; 
discovered	thumbile; 
discovery	nthumbho; 
discretion	mavonele; 
discretionary	hi ku vona ka wena;  ku ya hi mavonelo; lexi nga bohiki; 
discrimination	xihlawuhlawu; 
discuss	kanela; 
discussed	kanerile; 
discussion	nkanelo; 
discussions	mikanelo; 
disease	vuvabyi;  switsongwa-tsongwana; 
diseases	mavabyi; 
dismissal	ku hlongola; 
disparities	ku nga ringani;  ku hambana lokukulu; 
dispensation	nkarhi; 
display	kombisa;  nkombiso;  xowu; 
displayed	kombisiweke;  kombisile; 
displaying	kombisa; 
disposal	ku cukumeta; 
dispose	-cukumeta; 
disposed	cukumetile; 
dispossession	ku tekela nhundzu; 
dispute	kanetana;  nkanetano; 
disputes	mikwetlembetano;  nkwetlembeta; 
disqualified	 ku humesiwa entirhweni; ku humesiwa eka mphikizano; 
dissatisfied	kunga enerisekangi; 
dissemination	ku phakela;  ku hangalasa; 
dissolution	ku n'okisa; 
dissolve	hangalasa;  n'okisa; 
dissolved	hangalasile; n'okisile; 
distance	mpfhuka; 
distant	kule; 
distinct	xo hambana; 
distinction	 ku pasa hi nyeleti; vuhambanisi;  ku hambana; 
distinctions	swihambanisi; vuhambanisi;  tinyeleti;  ku pasa hi tinyeleti; 
distinctive	(xo) vonaka swinene; 
distinguished	hambanisiwile; 
distribute	phakela; 
distributed	phakerile; 
distribution	mphakelo;  tshamelo ra vanhu; 
district	muganga;  xifundza; 
districts	swifundzantsongo; 
distrust	ku nga tshembi; 
diverse	hambana; 
diversion	hambuko; 
diversity	 ku pasa hi nyeleti; vuhambanisi;  ku hambana; 
diverted	hambukile; 
divide	avanyisa; 
divided	avanyisile; 
dividend	pindzulo;  xiavanyisiwa; 
dividends	mipindzulo; 
division	muavanyiso;  ku avanyisa;  nkavanyiso; 
divisions	swiavo; miavanyiso;  mikavanyiso; 
divorce	ku dlaya vukati; 
do	endlangi; 
doctor	dokodela;  n'anga; 
doctorate	vudokodela; 
doctors	madokodela; 
document	tsalwa;  dokhumente; 
documentation	matsalwa; 
documented	tsariwile; dokhumentiwile; 
documenting	tsala; dokhumenta; 
documents	matsalwa;  tidokhumente; 
does	endla; 
doesn't	a xi endli; 
doing	endla;  endlaka; 
dollar	dolara; 
domain	xiyenge;  ndhawu; 
domains	ndhawu;  swiyenge; 
domestic	-muti; 
dominant	noto ya vuntlhanu; 
don	ambala;  muleteri; 
don't	u nga; 
donations	minyikelo; 
done	endlile;  hetile; 
donor	munyikeli; 
donors	vanyikeli; 
door	rivanti; 
doors	timbanti; 
double	vumbirhi;  andzisa kambirhi; 
doubt	ku kanakana; 
down	hansi;  vutsenga; 
download	hundzisela mahungu; 
downtown	exivindzini xa doroba; 
downturn	ku wa ka ikhonomi kumbe bindzu; 
draft	mpfapfarhuto;  pfapfarhuta; 
drafted	pfapfarhutile; 
drafting	pfapfarhutaka; pfapfarhuta; 
drama	ntlangu; 
dramatic	xo tivikana; 
draw	tsala;  fanisa;  ku tlanga ku ringana;  khexa;  ntlhanu-ntlhanu;  dirowa; 
drawing	xifaniso;  ku dirowa; 
drawn	 ku karhala; tlangile ku ringana; dirowile;  tswongile; 
dream	norho; 
dreams	milorho; 
drew	ka; tswongile;  mbvhatile;  hlawurile; dirowile; 
drink	xakunwa; 
drinking	nwa;  nwaka; 
drive	nchayelo; 
driven	lawuriwile; 
driver	muchayeri; 
driver's	xa muchayeri; 
drivers	vachayeri; 
driving	chayelelo;  vuchayeri; 
drop	wisa;  thonsi;  nthonsi; 
drug	murhi;  hlungu; 
drugs	swidzidziharisi;  dya swidzidziharisi; 
drum	ngoma;  diramu; 
dry	oma;  ku oma;  omisa;  aneka;  -oma; 
dual	xa ximbirhi; 
due	wo fanela ku hakeriwa; 
duly	hindlela leyi faneleke; 
duplicate	kopi;  -endla tikopi; 
duplication	nkandziyiso; 
duration	nkarhi;  nkarhi wa kona; 
during	 eka nkarhi; hi nkarhi; 
duties	mitirho;  swibalo; 
duty	ntirho;  mfanelo;  xibalo;  fanelo; 
dynamic	 ku va na matimba; ku va na mafulufulu; tshamelo ro cinca; 
dynamics	swihlohloteri swa ku cinca; 
e-mail	imeyili;  imeyila; 
each	xin'we-xin'we; 
earlier	ekusunguleni;  emasunguleni; 
earliest	emasunguleni swinene;  ekusunguleni swinene; 
early	ekusunguleni, emasungulweni; 
earmarked	 lexi vekiweke tihlo; lexi hlayiseriweke swo karhi; 
earn	hola; 
earned	horile; 
earning	hola; 
earnings	miholo;  mali leyi salaka endzhaku ka ku humesa xibalo; 
earth	misava;  xitimula-gezi; 
ease	vuolovi; 
easier	olova; 
easily	hi ku olova; 
east	vuxa; 
eastern	evuxeni; 
easy	olova;  -olova; 
economic	-vuhlayisi; 
economically	hi swa ikhonomi; 
economics	dyondzo ya ikhonomi; 
economies	tiikhonomi; 
economists	vativinkulu va swa ikhonomi; 
economy	ikhonomi;  hlayiselo lerinene ra swilo; 
ecosystems	tiekhosisiteme; 
edge	makumu;  makumu ya tluka; 
editing	hlela;  vuhleri; hlelaka; 
edition	nkandziyiso; 
editor	muhleri; 
editors	vahleri; 
educate	dyondzisa; 
educated	dyondzeke; 
educating	dyondzisaka; 
education	dyondzo;  vuundlo;  ku dyondzisa; 
educational	 swa dyondzo; -vuundlo; 
educator	mudyondzisi; 
educators	vadyondzisi; 
effect	endla;  makumu;  mbuyelo; 
effected	endliwile;  khumbile; 
effective	pfunaka;  -pfunaka; 
effectively	hindlela leyi vuyerisaka; 
effectiveness	ku tirha hindlela leyi vuyerisaka; 
effects	endla; mivuyelo;  switandzhaku; 
efficacy	ku tirha hindlela leyi humesaka mivuyelo leyi languteriweke; 
efficiency	vuswikoti; 
efficient	-vutlhari;  -kota; 
efficiently	ku tirha hindlela leyi nga tlangisiki switirhisiwa; 
effort	matimba;  gingiriko; 
efforts	matimba;  matshalatshala; 
eight	nhungu; 
either	na mina;  na xona; 
elderly	vadyuhari; 
elders	lavakulu; 
elect	hlawula; 
elected	hlawurile; 
election	nhlawulo; 
elections	mihlawulo; 
electoral	xa nhlawulo; 
electrical	xa gezi; 
electricity	gezi;  lektriki; 
electrification	 ku nghenisa gezi; ku koka tintambhu ta gezi; 
electronic	xa gezi; 
electronically	hindlela ya xielekitironiki; 
elects	hlawula; 
element	xiphemu;  elemente;  xirho; 
elements	xirho; 
elevate	tlakusa; 
eleven	khume n'we; 
eligible	ku fikelela; 
eliminate	herisa;  hlela; 
eliminated	hlurile;  herisile; 
elimination	heriso; 
eloquently	ku vulavula hindlela yo khuluka; 
else	swin'wana; 
elsewhere	kun'wana; 
email	imeyili;  imeyila; 
emanating	humaka; 
emancipation	ntshunxeko; 
embark	sungula;  khandziya xikwekwetsu kumbe xihahampfhuka; 
embarked	sungurile;  khandziyile xikwekwetsu kumbe xihahampfhuka; 
embarking	sungula;  khandziya xikwekwetsu kumbe xihahampfhuka; 
embassies	tiyindlu ta vuyimeri; tiembasi; 
embassy	yindlu ya vuyimeri; 
embed	tlhomela; 
embedded	tiyisisiweke; 
emblem	mfungho; 
embodiment	vuyimeri; 
embrace	katsa;  vukarha; 
embraced	amukeriweke; vukarhiweke; 
embraces	amukela;  vukarha; 
emerge	humelela; 
emerged	humelerile; 
emergence	ku humelela; 
emergency	xihatla;  swa xihatla;  vutshunguri bya xihatla; 
emergent	lexi humelelaka; 
emerging	lexi humelelaka; 
eminent	 lexi taka; lexi nga ekusuhi na ku endleka; 
emission	moya;  ku humesiwa ka moya;  musi;  gasi; 
emissions	ku humesiwa ka moya wa thyaka;  ku humesiwaka musi;  ku humesiwa ka gasi; 
emoluments	miholo; 
emotion	ntlhaveko; 
emotional	swa ntlhaveko; 
emotions	matitwelo; 
emphasis	tikiso; 
emphasise	tikisa; 
emphasised	tshikelerile; vuyelerile;  tshikelerile; 
emphasises	ntshikelelo;  mbuyelelo; 
employ	thola; 
employed	thoriwile; 
employee	muthoriwa; 
employees	vatirhi; 
employer	muthori;  mutholi; 
employers	vathori; 
employing	tholaka; 
employment	ntirho;  ku thola; 
employs	ntirho; 
empower	nyika matimba; havexerisa matimba; 
empowered	nyikile matimba; havexerisile matimba; 
empowering	nyika matimba; havexerisaka matimba;  nyikaka matimba; 
empowerment	ku nyika matimba; 
empty	hava;  halata; 
emulate	encenyeta; 
enable	pfuneta;  ku kotisa; 
enabled	kotisile; 
enables	pfumelela;  kotisa; 
enabling	pfuneta;  kotisa; 
enacted	 pasisile nawu; vekile nawu; 
enacting	veka nawu;  pasisa nawu;  vekaka nawu; pasisaka nawu; 
enactment	 mpasiso wa nawu;  ku veka nawu; ku pasisa nawu; 
enactments	mipasiso ya nawu; 
encourage	khutaza;  kucetela; 
encouraged	khutaziwa; khutazile; 
encourages	khutaza;  tiyisa nhlana; 
encouraging	khutaza;  tiyisa nhlana; 
end	makumu; 
endangered	-khombyeni?; 
endeavor	ringeta; 
endeavour	ringeta; 
endeavours	miringeto; 
ended	herile; 
ending	mahetelelo; 
endorse	seketela;  pfumelela;  amukela; 
endorsed	pfumelerile;  amukerile; 
endorsement	nseketelo; 
ends	hela; 
enduring	tiyisela;  kondzelela; 
energy	matimba; 
enforce	sindzisa; 
enforced	sindzisile; 
enforcement	nsindziso wa nawu; 
engage	nghenelela;  tirhana;  khumbeka;  vulavurisana; 
engaged	khumbekile;  nghenelerile;  vulavurisanile; tirhanile; 
engagement	ntwanano; 
engagements	mivulavurisano; 
engaging	khumbaka;  tirhanaka;  vulavurisanaka;  nghenelelaka; 
engender	vanga;  tlhontlha; 
engendering	vangaka;  tlhontlhaka; 
engine	njhini; 
engineer	 muendla-tinjhini; ku maka; 
engineering	injhiniyara;  vuinjhiniyara; 
engineers	endla; tiinjhiniyara;  maka; 
enhance	kurisa; 
enhanced	kurisiweke; 
enhancement	engetelo;  antswiso; 
enhancing	ndlandlamukisa; 
enjoy	tiphina; 
enjoyed	tiphinile; 
enormous	nkulu; 
enough	ringana; 
enquiries	swivutiso; 
enquiry	xivutiso; 
enrich	nonisa;  ganyisa; 
enrol	amukela; 
enrolled	tsarisile; 
enrolment	ntsengo; 
enshrined	hlayisiweke; gongiweke;  hlayisiweke; 
ensue	landza; 
ensuing	humelelaka; 
ensure	tiyisa; 
ensured	tiyisisile; 
ensures	tiyisisa; 
ensuring	tiyisisa; 
entail	vanga; 
entails	khumba; 
enter	enghena; 
entered	nghenile; 
entering	nghenela; 
enterprise	bindzu; 
enterprises	mabindzu; 
enters	nghena; 
entertainment	xihungasi;  xihungati; 
entire	-rhetela;  hinkwa-; 
entirely	hinkwa-; 
entities	mabindzu;  mavandla; 
entitled	thyiwile;  faneriwa;  tshuriweke; tshurile;  thyiweke;  ku va na mfanelo;  nyikiwile nhlokomhaka; 
entity	bindzu;  vandla; 
entrance	nyanghwa; 
entrepreneur	n'wamabindzu; 
entrepreneurial	swa vubindzurisi; 
entrepreneurs	van'wamabindzu; 
entries	leswi nghenisiweke; 
entrusted	ku byarhisiwa vutihlamuleri; 
entry	nghenelo;  ku nghena; 
envelope	vhilopo; 
environment	mbangu;  mbango; 
environments	mivangu; 
envisaged	anakanyiweke; 
envisages	anakanyiwaka;  ku va na xivono; 
epidemic	ntungu; 
equal	ringana;  ku ringana;  -ringana; 
equality	ndzingano; 
equally	hi ku ringana; 
equals	ringana na; 
equipment	xitirho;  swingolongondzwani; 
equipped	ku va na switirhisiwa; 
equitable	xo ringanana; 
equity	ku ringana; 
equivalent	ndzingano;  swo yelana; 
era	nkarhi; 
eradicate	herisa; 
eradicating	herisaka; 
eradication	heriso; 
error	xihoxo; 
errors	swihoxo; 
escape	phonyoka; 
escapes	phonyoka; 
especially	ngopfu-ngopfu; 
essence	mongo;  xinandzihisi; 
essential	xilaveko;  -fanela; 
essentially	xa nkoka swinene; 
establish	sungula;  tumbuluxa; 
established	sunguriweke;  tumbuluxile; 
establishes	sungula;  tumbuluxa; 
establishing	sungula;  tumbuluxa; 
establishment	nhlangano;  ku tumbuluxiwa; 
establishments	mihlangano; 
estate	ndzhaka;  rifuwo; 
estates	ndzhaka;  rifuwo; 
esteemed	xiximiwa na ku naveriwa; 
estimate	kumbetela;  pimanyeta;  mpimanyiso; 
estimated	pimanyetiweke;  ; kumbeteriweke;  vhumbiweke; 
estimates	 mivhumbelo; mikumbetelo;  mipimanyeto; 
ethical	swa matikhomelo; 
ethics	matikhomelo;  mikhuva; 
ethnic	-rixaka; 
ethnicity	rixaka; 
ethos	vutshembeki; 
evaluate	ku pima nkoka; 
evaluated	kamberile; 
evaluating	kambela; 
evaluation	ku pima nkoka; 
eve	siku leri rhangelaka xiendleko; 
even	ndzingano;  -ringana;  -rhetela; 
evening	madyambu;  nimadyambu; 
event	ntlangu;  xiendleko; 
events	mitlangu;  swiendleko; 
eventually	emakumu; ekuheteleni;  endzhaku ka sweswo; 
ever	 nkarhi wihi kumbe wihi; mikarhi hinkwayo; 
every	hinkwaswo; 
everybody	munhu un'wana na un'wana; 
everyone	munhu un'wana na un'wana; 
everything	swilo hinkwaswo;  xilo xin'wana na xin'wana; 
evidence	vumbhoni; 
evident	swi na vumbhoni; 
evolve	suma; 
evolved	hluvukile; 
evolving	hluvuka; 
ex	khale ka; 
exactly	hi nkhaqato; 
examination	xikambelo; 
examinations	swikambelo; 
examine	kambela;  kambisisa; 
examined	kamberile; 
example	xikombiso; 
examples	swikombiso; 
exams	swikambelo; 
exceed	ku tlula;  tlurisa mpimo; 
exceeded	hundzisile; tlurisile mpimo; 
exceeding	ku tlurisa mpimo; 
exceeds	tlurisa;  tlurisa mpimo; 
excelled	tirhile swinene; 
excellence	xa kahle swinene; xa xiyimo xa le henhla; 
excellent	 saseka ngopfu; -saseka ngopfu; 
except	handle ka; 
exception	handle ka;  -endla xiwelo; 
exceptional	ku nga fani na swin'wana; 
excess	xo tlula mpimo; 
excessive	ku tlurisa mpimo; 
exchange	cincana;  cincelano;  vucinca-thelefoni; 
exchanges	 cincisana;  vucincanisi; cincanisa; 
excise	xibalo xa tinhundzu ta laha tikweni; 
excitement	nyanyuko; 
exciting	nyanyula; 
exclude	siya handle; 
excluded	siyile ehandle; 
excludes	siya ehandle; 
excluding	siya ehandle; 
exclusion	xiyiriso;  ku siya ehandle; 
exclusions	 ku siya ehandle; swiyiriso; 
exclusive	 lexi nga xa munhu wo karhi a ri yexe; ku nga katsi swin'wana; 
exclusively	hindlela leyi nga katsiki van'wana; 
execute	tirha;  humelerisa; 
executed	tirhile;  humelerisile; 
executing	tirhaka;  humelerisaka; 
execution	ku humelerisa;  ku tirha; 
executive	huvonkulu; 
exempt	ntshuxeka; 
exempted	tshunxekile ku nga landzeleli swipimelo; 
exemption	ntshuxeko; 
exemptions	tshunxekeke ku nga landzeleli swipimelo; 
exercise	vutiolori;  vutiololi;  xitoloveto;  ntoloveto;  ku anakanya;  -tiolola;  -anakanya;  ku tiolola; 
exercised	tirhisile; tiolorile;  tirhiseke;  titolovetile; 
exercises	tirhisa;  vutiolori;  switoloveto; 
exercising	tirhisa;  tiolola;  titoloveta; 
exhibit	nkombiso;  xikombiwa; 
exhibition	nkombiso; 
exhibitions	mikombiso; 
exile	hlongola;  mucaciwa;  vuhehemuko;  ku hlongola; 
exist	hanya; 
existed	vile kona; 
existence	ku hanya; 
existing	leswi nga kona; 
exists	va kona; 
exit	huma; 
expand	ndlandlamuka;  ndlandlamuxa; 
expanded	ndlandlamukisile;  ndlandlamukisiwile; 
expanding	ndlandlamuka;  ndlandlamuxa; 
expansion	ndlandlamuko;  ndlandlamuxo;  vuanamisi; 
expect	langutela; 
expectation	nangutelo; 
expectations	swilanguteriwa; 
expected	languteriweke; 
expedient	ndlela;  goza;  xo tirheka; 
expenditure	tirhiselo ra mali; 
expense	mali leyi tirhisiwaka; 
expenses	timali;  tihakelo; 
expensive	durha; 
experience	tiva;  ntokoto; 
experienced	hlanganile; tokotile; 
experiences	tokota; mitokoto; 
experiencing	tokota; 
expert	mutivi; 
expertise	vuswikoti; 
experts	vativinkulu; 
expiration	hefemulelo handle; 
expired	hundzeriwile hi nkarhi; 
expiry	ku hundzeriwa hi nkarhi; 
explain	hlamusela; 
explained	hlamuserile; 
explains	hlamusela; 
explanation	nhlamuselo; 
explanatory	xo hlamusela; 
explicit	ku va erivaleni; 
exploitation	ku tirhisa hi ndlela yo biha; 
explore	valanga; 
explored	valangile; 
explores	valanga; 
exploring	valanga; 
expo	nkombiso wa matiko ya misava; 
export	swixavisela-vambe;  xavisa matikweni;  nxavisela-vambe;  mbuyelo wa thekinoloji; 
exports	swixavisela-vambe; 
expose	paluxa;  -veka rivaleni; 
exposed	ku va eka xiyimo xo karhi; paluxekile; 
exposure	ku pfumala vusirhelelo; 
express	hlamusela;  vulavula;  meyila; 
expressed	paluxile;  posa hi xihatla; 
expression	nyanyuko;  kombisa-ritwelo; 
expressions	mpaluxo;  swiga; 
expressly	hindlela leyi nga erivaleni; 
extend	engetela;  ndlandlamuxa; 
extended	engeteriwile; ndlandlamukisiwile; 
extending	engetela;  ndlandlamuxa; 
extends	engetela;  ndlandlamuxa; 
extension	ngetelelo;  xengetelo xa riendlinkulu; 
extensive	n.v.t.; 
extent	ndlela;  mpimo; 
external	le handle;  xa le handle;  -le handle; 
extra	xiengetelo;  xengetelo;  -masalela; 
extract	humesa;  ku gula;  ntshaho; 
extraordinary	 xo hlamarisa; lexi nga tolovelekangiki; 
extreme	-tlula mpimo; 
extremely	hindlela yo tlurisa mpimo; 
eye	tihlo;  xuva; 
eyes	mahlo;  matihlo; 
face	tlhelo;  nsomo;  mombo;  henhla ka;  xikandza; 
faced	langutile;  langutiweke;  langutaneke;  langutiwile;  langutanile; 
faces	langutisa;  swikandza;  langutana; 
facie	ku teka xinepe lexi nga ta tlhela xi apulodiwa; 
facilitate	kondletela;  vevukisa; 
facilitated	 fambisile; humelerisile; 
facilitates	fambisa;  humelerisa; 
facilitating	fambisa;  humelerisa; 
facilitation	ku fambisa;  ku humelerisa; 
facilities	xivevukisi; 
facility	xitirhisiwa; 
facing	langutana;  langutaka; 
facsimile	fekisi; 
fact	ntiyiso; 
factor	mhaka;  xiandziso;  xivumbi;  xivangelo; 
