Act of Parliament	Nawu wa Palamende
immediate past president	phuresidente loyi a ha ku humaka exitulwini
in accordance with	hi ku fambisana na; hi ku ya hi
in accordance with the rules	hi ku ya hi milawu; hi ku fambisana na milawu
in addition to	hi ku engetela eka
in an acting capacity	eka xiyimo xo khomela
in any way	hindlela yihi kumbe yihi
in case of	eka xiyimo xa
in celebration of	eka ku tlangeriwa ka
in compliance with	hi ku landzelela
in connection with	henhla ka
in consultation with	hi ku tihlanganisa na; hi ku pfumelelana na
in excess of	ku tlula; ehenhla ka
in favour of	lexi seketelaka; hi ku seketela
in front of	emahlweni ka
in good faith	hi ku tshembeka
in office	ku va eka xiyimo xa ntirho
in so far	hi laha
in spite of	hambi leswi
in support of	lexi seketelaka; hi ku seketela
in terms of	hi ku landza; hi ku ya hi
in the balance	eka xiyimo xo kota ku fikelela xiboho
in the course of	hi ku famba ka
in the evening	nimadyambu
in the event of	loko ku tshuka ku va na
in the field of	eka xivandla xa; endzeni ka rivala
in the gap	evangweni
in the interim	eka nkarhi wa sweswi
in the lead	eka xiyimo xo rhangela
in the long term	eka nkarhi wo leha
in the majority	eka ntshungu lowukulu
in the majority	eka vunyingi bya vanhu
in the morning	ni mixo
in the name of	hi vito ra
in the picture	ku va na vutivi swinene
in the region of	exifundzeni xa -
inaugural address	mbulavula wo nghena exitulwini
inaugural meeting	nhlengeletano yo veka exitulwini
income tax	xibalo xa muholo
indigenous culture	mfuwo wa xintu
indigenous language	ririmi ra xintu
indigenous people	vanhu va mahanyelo ya xintu
industrial society	rixaka leri nga na tifeme
infant mortality rate	mpimo wa mafu ya tincece
information retrieval	ku vuyisa vuxokoxoko
information retrieval system	sisiteme yo vuyisa vuxokoxoko
inner city	exivindzini xa doroba
inspector of mines	mukamberi wa migodi
intellectual property rights	timfanelo ta nhundzu ya vutumbuluxi
intergovernmental relations	vuxaka bya le xikarhi ka tindzawulo
interim constitution	vumbiwa bya nkarhinyana
international affairs	timhaka ta matiko ya misava
international community	nhlanganelo wa matiko ya misava
international humanitarian law	nawu wa nsirhelelo eka madzolonga ya matlhari
international olympic committee	komiti ya tiolimpiki ta matiko ya misava
international relations	vuxaka bya matiko ya misava
interrupt the proceedings	ku kavanyeta mafambiselo
investment of capital	vuvekisi bya xumankulu
job creation	ku tumbuluxiwa ka mitirho
joint committee	komiti ya nhlanganelo
joint meeting	nhlengeletano ya nhlanganelo
joint responsibility	vutihlamuleri bya nhlanganelo
joint rules committee	komiti ya milawu ya nhlanganelo
joint sitting	ntshamo wa nhlanganelo
judicial authority	vulawuri bya vuavanyisi
keep in mind	tsundzuka
keep up to date	ku nyika vuxokoxoko lebyintshwa
key performance area	xivandla xa nkoka xa ntirho
labour force	vatirhi hinkwavo
labour intensive	ntirho wo lava nhlayo ya le henhla ya vatirhi
labour market	makete wa vatirhi
lack of energy	ku pfumaleka ka eneji
lack of energy	ku pfumaleka ka matimba
land ownership	vun'wini bya misava
land reform	mpfuxeto wa misava
land restitution	ku tlherisela timfanelo ta misava
land rights	timfanelo ta misava
language policy	pholisi ya tindzimi
language practice	ntirho wa tindzimi
language rights	timfanelo ta tindzimi
law enforcement	ku sindzisiwa ka milawu
lay a charge	ku mangalela
leader of the opposition	murhangeri wa vandla ro kaneta
learning process	phurosese yo dyondza; endlelo ro dyondza
least of all	-hetelela
legacy of apartheid	ndzhaka ya xihlawuhlawu
legal deposit library	layiburari ya nkandziyiso wun'wana na wun'wana
legislative authority	vulawuri byo endla milawu
legislative function	ntirho wo endla milawu
legislative power	matimba yo endla milawu
legislative powers	matimba yo endla milawu
legislative process	phurosese yo endla milawu; maendlelo ya milawu
level of government	xiyimo xa mfumo
level of service	mpimo wa vukorhokeri
levels of development	mipimo ya nhluvukiso
liberation movement	nhlangano wo lwela ntshunxeko
liberation struggle	nkayakayo wa ntshunxeko; ku lwela ntshunxeko
limited access	ku nghena loku nga na swipimelo
limited access	mfikelelo lowu tsongahatiweke
lingua franca	lingua franca;
list of members	nxaxamelo wa swirho
local government	mfumo wa miganga
local government level	xiyimo xa mfumo wa miganga
local government sector	sekitara ya mfumo wa miganga
local municipality	masipala wa miganga
local sphere of government	xiyenge xa mfumo wa miganga
mainstream economy	ikhonomi ya ntolovelo
majority of votes	vunyingi bya tivhoti
majority party	vandlankulu
make a mark	ku va na nkucetelo wa nkoka
make a statement	ku va na nhlamuselo yo karhi hi maendlelo; ku kombisa hi maendlelo
make an effort	ringeta
management review	nkambisiso wa malawulelo
manner of speaking	mavulavulelo
marine living resources	swipfuno leswi hanyaka elwandle
market economy	ikhonomi  leyi mfumo wu nga ngheneleliki
mass mobilisation	nhlohlotelo wa ntshungu
master of ceremonies	mufambisi wa ntirho
matter of public importance	mhaka leyi nga ya nkoka eka vaaki
matter of urgency	mhaka ya xihatla
means of communication	ndlela ya ku vulavurisana
means of transport	xifamba-fambo
member of parliament	xirho xa palamente
member of the council	xirho xa huvo
member states of the UN	matiko lama nga swirho swa UN
memorandum of understanding	memorandamu ya ntwanano
metropolitan area	ndhawu ya dorobankulu
middle class	ntlawa wa lava dyondzeleke mitirho
minority domination	ku lawuriwa hi rixaka leritsongo ra vanhu
minority party	vandlatsongo
minutes of proceedings	makanelwa
mode of operation	ndlela ya matirhelo
moment in time	sweswi; xinkadyana; nkarhi wo karhi
money laundering	ku tumbeta swihlovo swa mali leyi kumekeke hindlela yo homboloka
months of the year	tin'hweti ta lembe
mortality rate	mpimo wa mafu
mother tongue	ririmi ra manana
multicultural society	rixaka ra mifuwonyingi
music rights organisation	nhlangano wa timfanelo ta swa vuyimbeleri
mutual understanding	ntwanano wa matlhelo hinkwawo
mutually exclusive	swilo leswi kanetanaka
national affairs	timhaka ta rixaka
national anthem	risimu ra rixaka
national asset	rifuwo ra rixaka
national budget	mpimanyeto wa rixaka
national coat of arms	mfungho wa tiko
national conference	khomferense ya rixaka
national department	ndzawulo ya rixaka
national development	nhluvukiso wa rixaka
national economy	ikhonomi ya rixaka
national education	dyondzo ya rixaka
national executive	vufambisinkulu bya rixaka
national executive authority	vulawuri bya vufambisinkulu bya rixaka
national executive committee	komitinkulu ya rixaka
national flag	mujeko wa rixaka
national government	mfumo wa rixaka
national identity	vutitivisi bya rixaka
national interest	ntsakelo wa rixaka
national leader	murhangeri wa rixaka
national level	xiyimo xa rixaka
national level of government	xiyimo xa mfumo wa rixaka
national policy	pholisi ya rixaka
national pride	vutinyungubyisi bya rixaka
national reconciliation	mbuyelelano wa rixaka
national security	nhlayiseko wa rixaka
national sphere of government	xiyenge xa mfumo wa rixaka
national strategy	qhinga ra rixaka
national symbols	mifungho ya rixaka
national unity	vun'we bya rixaka
natural justice	vululami lebyi nga voyameliki etlhelo
natural resources	swipfuno swa ntumbuluko
need to know	xilaveko xa ku tiva
new dispensation	mfumo lowuntshwa; endlele lerintshwa
nhlengeleto wa switiviwa
not later than	ku nga si fika
notice of motion	xitiviso xa kungu
number of children	nhlayo ya vana; vana vo tala
number of deaths	nhlayo ya mafu; mafu yo tala
oath of office	xihlambanyo xa ku nghena exitulwini
of paramount importance	xa nkoka swonghasi
office bearer	mukhomi wa xiyimo xa ntirho
official language	ririmi ra ximfumo
official residence	vutshamo bya ximfumo
on the defence	hi ku sirhelela
on the market	emakete
on the run	ku baleka
on the second	nkarhi wa sekeni
on the wing	eku haheni
on top of	ehenhla ka
open society	rixaka leri pfulekeke
open source software	sofuwere ya mahala
opening address	mbulavulo wo pfula
order of merit	nxiximo wa ntirho wo hlawuleka
order of preference	nxaxamelo wa ku tsakeriwa
order of the day	maendlelo ya ntolovelo
ordinary session	nhlengeletano ya ntolovelo
organs of state	marhavi ya mfumo
orphans and vulnerable children	swisiwana na vana lava nga eka nxungeto
out of control	ku huma eka vulawuri
out of date	ku hundzeriwa
out of order	xo huma endleleni
out of print	lexi nga ha kandziyisiwiki
out of service	xi onhakile; a xi le ku tirheni
out of stock	swi herile
outbreak of war	ku tumbuluka ka nyimpi
ownership of land	vun'wini bya misava
paradigm shift	ku cinca ka swilo hi ku hetiseka
parliament is in session	palamende yi tshamile
parliamentary committee	komiti ya palamende
parliamentary correspondent	muviki wa le palamende
parliamentary democracy	xidemokirasi xa palamende
parliamentary process	endlelo ra palamende; phurosese ya palamende
participate in the debate	 ku nghenelela eka njhekajekisano
participatory democracy	xidemokirasi xa ku nghenelela ka vaaki
party discipline	nseketelo wa tipholisi ta vurhangeri bya vandla
party system	mfumo hi mavandla ya tipolitiki
pass laws	milawu ya mapasi
pave the way	ku endla swilo swin'wana swi koteka
peaceful coexistence	ku hanyisana hi ku rhula
peaceful demonstration	ku kombisa ku vilela hindlela yo rhula
peaceful transition	ku cinca ka mfumo hindlela yo rhula
per capita	hi munhu; hi nhloko
performing arts centre	senthara ya ntlangu wa vutshila
performing arts council	huvo ya vutshila bya rito, vuyimbeleri na ncino
permanent residence permit	mpfumelelo wo tshama nkarhi hinkwawo
pillar of strength	munhu loyi a nyikaka nseketelo lowukulu
pilot project	phurojeke yo ringeta
place of safety	ndhawu ya vuhlayiseki
platinum group metals	tinsimbhi ta ntlawa wa pulatinamu
play the lead	ku va eka xiyimo xa kahle eka mphikizano
playing field	rivala ra mitlangu
point of contact	ndhawu yo hlanganela
point of order	xikhoma-nomo
point of view	mavonelo
police service	vukorhokeri bya maphorisa
policy development	nhluvukiso wa tipholisi
policy environment	mbangu wa tipholisi
policy formulation	ku vumbiwa ka tipholisi
policy framework	rimba ra tipholisi
policy implementation	nsimeko wa pholisi
policy making	ku endliwa ka tipholisi
policy statement	xitatimente xa pholisi
political context	mbangu wa xipolitiki
political control	vulawuri bya xipolitiki
political development	leswi humelelaka swa tipolitiki
political dispensation	endlelo ra xipolitiki; mfumo wa xipolitiki
political environment	mbangu wa xipolitiki
political instability	ku pfumaleka ka ntshamiseko wa xipolitiki
political leadership	vurhangeri bya xipolitiki
political order	endlelo ra xipolitiki; mfumo wa xipolitiki
political party	vandla ra tipolitiki
political process	endlelo ra xipolitiki; phurosese ya xipolitiki
political rights	timfanelo ta xipolitiki
political system	endlelo ra xipolitiki; mfumo wa xipolitiki
political tradition	ndhavuko wa xipolitiki
poor living conditions	swiyimo swa rihanyu ra le vuswetini
poorest of the poor	lava sweleke ku tlula mpimo
popular culture	mfuwo wa vanhu ntsenantsena
popular participation	ku nghenelela ka mani na mani
popular sovereignty	vutifumi lebyi pfumeleriwaka hi vanhu
population register	rhijisitara ra vanhu hinkwavo
population size	vukulu bya nhlayo ya vanhu hinkwavo
portfolio committee	komiti ya vuangameri ya huvo ya rixaka
portfolio committee	komiti ya xiphotifoliyo
powers and functions	matimba na mitirho
powers that be	lava nga na vutihlamuleri
practical reality	xiyimo tanihileswi swi nga xiswona
praise singer	muphati
precincts of parliament	ndhawu ya palamende
presiding officer	muofisiri wo fambisa
press freedom	ntshunxeko wa vatekamahungu
primary health care	nhlayiso wa rihanyu wa masungulo
private sector	sekitara leyi nga riki ya vaaki; sekitara leyi nga riki ya mfumo
professional ethics	matikhomelo ya xiphurofexianli
professional organisation	nhlangano wa xiphurofexinali
prophets of doom	lava langutelaka leswo biha ku humelela
proportional representation	vuyimeri hi ku ya hi tivhoti leti hlengeletiweke
provincial administration	mfumo wa xifundzankulu; mafambiselo ya xifundzankulu
provincial budget	mpimanyeto wa xifundzankulu
provincial government	mfumo wa xifundzankulu
provincial legislature	huvo yo endla milawu ya xifundzankulu
provincial level	xiyimo xa xifundzankulu
provincial sphere of government	xiyenge xa mfumo wa xifundzankulu
provision of services	mphakelo wa vukorhokeri
public administration	mafambiselo ya vaaki
public domain	evanhwini
public expenditure	matirhiselo ya timali ya mfumo
public funds	timali ta vaaki; timali ta vaaki mfumo
public health	rihanyu ra vaaki
public hearing	nhlengeletano yo twa miehleketo; mavonelo ya vaaki
public interest	ntsakelo wa vaaki
public meeting	nhlengeletano ya mani na mani
public money	mali ya vaaki; mali ya mfumo
public office	hofisi yamfumo; hofisi ya vaaki
public opinion	vonelo ra vaaki
public participation	ku nghenelela ka mani na mani
public policy	pholisi ya vaaki; pholisi ya mfumo
public relations officer	muofisiri wa vuxaka bya vaaki
public sector	sekitara ya mfumo
public service	vukorhokeri vaaki; vukorhokeri mfumo
public services	vukorhokeri bya mfumo
public services	vukorhokeri bya vaaki
public transport system	sisiteme ya vutleketli bya vaaki
public works	mitirho ya mfumo
public works programme	nongonoko wa mitirho ya vaaki
pumped storage scheme	xikimi xa vuhlayiselo lexi pompaka gezi hi xivumbeko xa mati
put a motion	ku boxa kungu
put in writing	ku swi vula hi ku tsala
quality of life	nkoka wa vutomi
question paper	papila ra swivutiso
quota system	endlelo ro ya hi nhlayo
race relations	vuxaka bya tinxaka
racial equality	ndzingano wa tinxaka
racial segregation	xihlawuhlawu ku ya hi nghohe
rainbow nation	rixaka ra nkwangulatilo
range of vision	mpfhuka lowu munhu a nga kotaka ku vona ku fika eka wona
rapid transit system	sisiteme ya vutleketli byo hatlisa bya vaaki
redistribution of land	ku phakeriwa hi vuntshwa ka misava
reference book	pasi; buku yo yelanisa
regional integration	ku pfanganisiwa ka swifundza
register of members	rhijisitara ra swirho
removal from office	ku susiwa eka xiyimo xa ntirho
remuneration package	mpako wa miholo
remuneration package	mpandzwa muholo
required to carry	lexi lavekaka ku rhwala
reside in	tshama e --
residence permit	mpfumelelo wa vutshamo
resistance movement	nhlangano wo kombisa ku vilela
resistance to change	ku sihalala eka ku cinca
resolution of conflict	xitshunxo xa nkwetlembetano
resource base	tshaku ra swipfuno
responsible for	vutihlamuleri bya
restitution of land	ku tlherisiwa ka  misava
restitution of land rights	ku tlherisiwa ka timfanelo ta misava
return on investment	mbuyelo eka vuvekisi
right of access	mfanelo ya ku va na mfikelelo
right to assemble	mfanelo ya hlengeletana
right to human dignity	mfanelo ya ku va na ndzhuti wa ximunhu
right to life	mfanelo ya ku kuma vutomi
right to privacy	mfanelo ya ku va na xihundla
right to strike	mfanelo ya ku tereka
right to vote	mfanelo ya ku vhota
rights and privileges	timfanelo na timfanelo to hlawuleka
ririmi leri tirhisiwaka hi vanhu va tindzimi to hambana
rise and fall	ku pfuka na ku wa
rite of passage	xiendleko xo komba ku cinca ku suka eka vun'wana ku ya eka vukulukumba
road network	vukona bya magondzo
road show	xiendleko xa nkombiso eka ndhawu yo karhi
rule of law	nawu
rules and orders	milawu na swileriso
rules of debate	milawu ya njhekajekisano
rules of natural justice	milawu leyi sirhelelaka eka mboyamelatlhelorin'we eka vuahluri
rules of procedure	milawu ya maendlelo
ruling party	vandla leri fumaka
rural development	nhluvukiso wa tindhawu ta le makaya; nhluvukiso wa matikoxikaya
school library service	vukorhokeri bya layiburari ya xikolo
school nutrition programme	nongonoko wa mphamelo wa swakudya exikolweni
science and technology	sayense na thekinoloji
search and rescue	ku lava no ponisa
seat of government	ntsindza wa mfumo
security clearance	ku basisiwa eka timhaka ta vugevenga
security forces	mavuthu ya vusirheleri
sending and receiving	ku rhumela no amukela
sense of responsibility	moya wa vutihlamuleri
sense of touch	xitwi xa ku khumba
separate but equal	swi hambanile kambe swa ringana
separate development	nhluvukiso ka matikoxikaya
separation of powers	ku hambanisiwa ka matimba ya marhavi ya mfumo
services industry	indasitiri ya vukorhokeri
services rendered	vukorhokeri lebyi nyikiwaka
set in motion	ku fambisa
shortage of skills	nkayivelo wa swikili; nkayivelo wa swikili vuswikoti
sitting of parliament	ntshamo wa palamende
small town	xidorobana
social benefits	mivuyelo ya vaaki
social capital	ntirhisano wa vaaki
social change	ku cinca ka vaaki
social contract	ntwanano wo tirhisana wa vaaki
social control	vulawuri bya vaaki
social development	nhluvukiso wa vaaki
social interaction	mbulavurisano wa vaaki
social justice	mafambiselo yo ringana ya vululami bya vaaki
social movement	nhlangano wa vaaki
social security	mali ya nhlayiso wa vaaki
social services	vukorhokeri bya vaaki
social system	vuxaka exikarhi ka mihlangano ya vaaki
social upliftment	ku antswisiwa ka vaaki
social welfare	ntshamiseko wa vaaki
socio-economic development	nhluvukiso wa vaaki na ikhonomi
source of income	xihlovo xa muholo; xihlovo xa mali leyi nghenaka
source of information	xihlovo xa vuxokoxoko
source of water	vukumeko bya mati
sovereign democratic state	tiko ra vutifumi bya xidemokirasi
sovereign state	tiko leri tifumaka
sphere of government	xiyenge xa mfumo
standard of living	mpimo wa rifuwo ro tihanyisa
state assets	rifuwo ra tiko
state emblem	mfungho wa mfumo
state institutions	mihlangano ya mfumo
state money	mali ya tiko
state of emergency	xiyimo xa xilamulelamhangu; xiyimo xa xihatla
state of mind	xiyimo xa miehleketo
state of the nation address	mbulavulo wa phuresidente na rixaka
state revenue	mali ya tiko
status of women	xiyimo xa vavasati
status quo	xiyimo tanihileswi swi nga xiswona
statute book	buku ya milawu
strategic management	malawulelo ya xiqhinga
structural violence	madzolonga lama nga na xivumbeko
struggle for liberation	nkayakayo wa ntshunxeko; ku lwela ntshunxeko
subject for discussion	mhaka leyi kaneriwaka
subject to the provisions of	hi ku ya hi swipimelo swa; hi landza swipimelo swa
substantive motion	kungu leri nga na mongo
supply and demand	mphakelo na swikoxo; mphakelo na swilaveko
supreme law	nawunkulu
sustainable development	nhluvukiso lowu yisekaka emahlweni
sustainable economic growth	ku kula loku yisekaka emahlweni ka ikhonomi
sworn in	ku hlambanyiwa
system of government	sisiteme ya mfumo
systems approach	endlelo ra tisisiteme
table of contents	tafula ra leswi nga endzeni
take account of	ku tekela enhlokweni
take advantage of	ku tirhisa kahle hindlela yo vuyerisa
take an oath	ku hlambanya
take cognisance of	ku tekela enhlokweni
take cognizance of	ku tekela enhlokweni
take into consideration	ku tekela enhlokweni
take off	ku suka; ku tlakuka
task team	xipano xa ntirho
tax revenue	mali ya xibalo
technical services department	ndzawulo ya vukorhokeri bya xithekiniki
term budget	mpimanyeto wa theme
term of office	nkarhi wa ku va eka xiyimo xa ntirho
terms and conditions	milawu na swipimelo
terms of reference	vuanami na swipimelo swa nghingiriko
terms of trade	mpimo wa vuxaka exikarhi ka mixavo ya tinhundzu leti xaviseriwaka matiko mambe na mixavo ya tinhundzu to huma eka matiko mambe
the Cold War	ku tshwukiselana mahlo exikarhi ka matiko
the East	Matiko ya Vuxa bya Yuropa
the West	Matiko ya Yuropa na Amerika N'walungu
the common good	swo vuyerisa hinkwenu
the disadvantaged	lava nga eka xiyimo lexi nga riki na swivandlanene
the historically disadvantaged	lava eka nkarhi lowu nga hundza a va nga ri na swivandlanene
the masses	mitshungu
the powers that be	lava nga na vutihlamuleri
the right	mfanelo
the services	Vukorhokeri bya Vuhlori bya Afrika-Dzonga
the struggle	ku kayakaya; ku lwa
the voiceless	lava nga riki na rito
thousand and one	gidi na n'we
time of arrival	nkarhi wo fika
time of departure	nkarhi wo suka
title deed	papila ra vun'wini bya misava
to and fro	emahlweni na le ndzhaku
to bear fruit	ku tswala mbandzu
to the effect that	swo vula leswaku
to the left of	eximatsini xa
to the right of	exineneni xa
top management	vufambisinkulu
top secret	vuxokoxoko bya xihundla xa mpimo wa le henhla
total onslaught	nhlaselo wa matimba
track record	matirhelo ya nkarhi lowu nga hundza
trade relations	vuxaka bya xibindzu
trade union	nhlangano wa vatirhi
trading partner	mubindzurisani
traditional leadership	vurhangeri bya ndhavuko
traffic control	vulawuri bya  swipandzamananga
training facilities	switirhisiwa swa vutiolori
training institution	nhlangano wa vuleteri
transition to democracy	ku cincela eka xidemokirasi
translation of the Bible	vuhundzuluxeri bya Bibele
tree of knowledge	nsinya wa vutivi
tree of life	nsinya wa vutomi
umbrella body	huvo yo angarhela
unanimous concurrence	ku pfumeriwa hi matlhelo hinkwawo
under the auspices of	hi ku seketeriwa hi
under the authority of	ehansi ka vulawuri bya
unemployment rate	mpimo wa ku pfumaleka ka mitirho
unfair discrimination	xihlawuhlawu lexi nga riki kahle
unique people	vanhu lava nga faniki na van'wana
united nations organisation	nhlangano wa vun'we bya tinxaka
university of technology	yunivhesiti ya thekinoloji
unreserved postal service	vukorhokeri lebyi nga pimiwangiki bya poso
up to date	-hetisekile
up to standard	xi le ka mpimo wo ringanela
upper middle class	ntlawa wa le xikarhi ka lava tikotaka na wa lava dyondzeleke mitirho
urban area	ndhawu ya xidoroba
urban centre	exikarhi ka doroba
urban development	nhluvukiso wa doroba
urban renewal	ku pfuxiwa ka doroba
value system	xikatsa xa mikhuvanene
violation of human rights	ku onhiwa ka timfanelo ta ximunhu
violence against children	madzolonga ehenhla ka vana
violence against women	Madzolonga ehenhla ka vamanana
violence against women	madzolonga ehenhla ka vavasati
voice of the people	rito ra vanhu
vote in favour	vhota u seketela
vote of thanks	marito yo khensa
waste management	malawulelo ya mathyaka
ways and means	tindlela na switirhisiwa swo fikelerisa
welfare state	mfumo lowu nyikaka vukorhokeri bya rihanyu na nsirhelelo
winds of change	nhlohlotelo lowu nga alekiki
winter rainfall region	ndhawu ya mpfula ya xixika
with effect from	ku sukela hi
with the sun	ku suka eximatsini ku ya exinene
with the sun	ku ya etlhelweni ra dyambu
with the wind	ku pfumala tlhelo; ku ya hala na hala
within a radius of	ku sukela eka ndhawu ya le xikarhi ya
within the limits	ku fika eka mipimo yo karhi, handle ko pfumelela hinkwaswo
word of welcome	rito ro amukela
working group	ntlawa lowu lavisisaka hi mhaka yo karhi
world community	Ntirhisano wa Matiko ya Misava Hinkwayo
you are here	u fike laha; u laha
