Act of Parliament	Molao wa Palamente
legislative function	mošomo wa melao
legislative power	maatla a melao
legislative powers	maatla a molao
legislative process	tshepedišo ya melao
level of government	maemo a mmušo
level of service	maemo a tirelo
levels of development	maemo a tlhabollo
liberation movement	mokgatlo wa go lwela tokologo
liberation struggle	ntwa ya tokologo; ntwa ya go lwela tokologo
limited access	phihlelelo ye nnyane
lingua franca	polelo ya bohle
list of members	lenaneo la maloko
local government	mmušo wa selegae
local government level	maemong a mmušo wa selegae
local government sector	lefapha la mmušo wa selegae
local municipality	masepala wa selegae
local sphere of government	lefapha la mmušo wa selegae
mainstream economy	ekonomi ya mang le mang; ekonomi ya bohle
majority of votes	bontši bja dikgetho
majority party	mokgatlo wa batho ba bantši
make a mark	šadiša leswao; dira leswao
make a statement	dira taetšo; dira sešupo
make an effort	leka
management review	tekodišišo ya taolo; tekodišišo ya bolaodi
manner of speaking	mokgwa wa polelo; mokgwa wa go bolela
marine living resources	methopo ye e phelago ya lewatleng
market economy	ekonomi ya mebaraka
mass mobilisation	tlhohleletšo ya batho ka bontši
master of ceremonies	moswaramarapo; mosepediši wa lenaneo
matter of public importance	taba ye bohlokwa setšhabeng
matter of urgency	taba ya tšhoganetšo
means of communication	mokgwa wa kgokagano; mokgwa wa poledišano
means of transport	tša thotho
member of parliament	leloko la palamente
member of the council	leloko la lekgotla; leloko la khansele
member states of the UN	dinagamaloko tša UN
memorandum of understanding	memorantamo wa kwešišano; memorantamo wa tirišano
metropolitan area	lefelo la bogareng bja toropo
middle class	maemo a bogareng setšhabeng
minority domination	pušo ya bannyane
minority party	mokgatlo wo monnyane
minutes of proceedings	metsotso ya ditherišano
mode of operation	mokgwa wa tshepedišo; mokgwa wa tshepetšo
moment in time	lebaka la nako
money laundering	go sepediša tšhelete ka fao go sego molaong
months of the year	dikgwedi tša ngwaga
mortality rate	kelo ya mahu
mother tongue	polelo ya gae; leleme la letswele; leleme la gae
motion of no confidence	tšhišinyo ya go hloka tshepo
multicultural society	setšhaba sa ditšo tše ntši
music rights organisation	mokgatlo wa ditokelo tša mmino
mutual understanding	kwešišano
mutually exclusive	ye akaretšago bohle
national Coat of Arms	Sefoka sa Bosetšhabana
national affairs	merero ya setšhaba
national anthem	koša ya setšhaba
national asset	thoto ya setšhaba
national budget	ditekanyetšo tša setšhaba
national conference	khonferentshe ya bosetšhaba
national department	kgoro ya bosetšhaba
national development	tlhabolo ya setšhaba
national economy	ekonomi ya setšhaba
national education	thuto ya setšhaba
national executive	khuduthamaga ya bosetšhaba
national executive	lekgotlaphethiši la bosetšhaba
national executive authority	taolo ya lekgotlaphethiši
national executive committee	komitiphethiši ya bosetšhaba
national flag	folaga ya setšhaba
national government	mmušo wa bosetšhaba
national identity	boitšhupo bja setšhaba
national interest	kgahlego ya setšhaba
national leader	moetapele wa bosetšhaba
national level	maemo a bosetšhaba
national level of government	maemo a bosetšhaba a mmušo
national policy	molawana wa bosetšhaba
national pride	noikgantšho bja setšhaba
national reconciliation	poelono ya bosetšhaba
national security	tšhireletšego ya bosetšhaba
national sphere of government	lefapha la bosetšhaba la mmušo
national strategy	leano la bosetšhaba
national symbols	maswao a bosetšhaba
national unity	setee sa bosetšhaba
natural justice	toka ya tlhago
natural resources	methopo ya tlhago
need to know	nyaka go tseba
new dispensation	pušo ye mpsha; mmušo o moswa
not later than	e sego ka morago ga
notice of motion	tsebišo ya tšhišinyo
number of children	palo ya bana
number of deaths	palo ya mahu
oath of office	boikano bja go thoma mošomo
of paramount importance	ye bohlokwa kudu; se bohlokwa kudu
office bearer	mošomi wa kantorong
official language	leleme la semmušo; polelo ya semmušo
official residence	madulo a semmušo
on the defence	tšhireletšong
on the market	mmarakeng
on the run	tšhaba; tšhabago
on the second	ka motsotswana
on the wing	ka lehlakoreng
on top of	godimo ga
open society	setšhaba sa go hloka sephiri
opening address	polelo ya pulo
order of merit	tatelano ya phalano
order of preference	tatelano ya go rata; tatelano ya tše o di ratago
order of the day	selo sa ka mehla
ordinary session	kopano ya mehleng; kopano ye e tlwaelegilego
organs of state	mafapha a mušo
out of control	ka ntle ga taolo; go se laolege; tšwele taolong
out of date	selo sa sekgale
out of order	go tšwa tseleng
out of print	fedile; ga e sa gatišitšwe
out of service	ga e šome
out of stock	fedile
out of stock	fedile setokong
outbreak of war	go phulega ga ntwa
ownership of land	go ba mong wa naga
paradigm shift	phetogo ya seemo
parliament is in session	palamente e khutšitše
parliamentary committee	komiti ya palamente
parliamentary correspondent	mokgokanyi wa palamenteng
parliamentary democracy	temokrasi ya palamente
parliamentary process	tshepedišo ya palamente
participate in the debate	kgatha tema ka ngangišanong
participatory democracy	temokrasi ya go kgatha tema
party discipline	maitshwaro a mokgatlong
party system	tshepedišo ya mokgatlo
pass laws	melao ya dipasa
pave the way	kgola tsela; lokiša tsela
peaceful coexistence	phela mmogo ka khutšo
peaceful demonstration	ditšhupetšo tše di nago le khutšo
peaceful transition	phethogelo go khutšo
peaceful transition	phetogo ya khutšo
per capita	ka motho
performing arts centre	senthara ya ditiragatšo tša sefaleng
performing arts council	lekgotla la bokgabo bja go diragatšwa
pillar of strength	kokwane ya maatla
pilot project	protšeke ya teko
place of safety	botšhabelo
platinum group metals	dimetale tša sehlopha sa bopholatinamo
play the lead	eta pele
play the lead	raloka tema ya boeta pele
playing field	lefelo la boralokelo; sefala sa phethagatšo
point of contact	lefelo la kopano
point of order	ntlha ya tshepedišo
point of view	tebelelo
police service	tirelo ya maphodisa
policy development	tlhabollo ya melawana
policy environment	tikologo ya melawana
policy formulation	tlhamo ya melawana
policy framework	tlhako ya melawana
policy implementation	phethagatšo ya melawana
policy making	go dira melawana
policy statement	lefokwana la melawana
political context	kwešišo ya sepolotiki; tlhathollo ya sepolotiki
political control	taolo ya sepolotiki
political development	tlhabollo ya sepolotiki
political dispensation	seemo sa tša dipolotiki
political environment	tikologo ya tša sepolotiki
political instability	maemo a spolotiki ao a se nago khutšo
political leadership	boetapele bja sepolotiki
political order	toka ya sepolotiki
political party	mokgatlo wa dipolotiki
political process	tshepedišo ya dipolotiki
political rights	ditokelo tša sepolotiki
political system	tshepedišo ya sepolotiki
political tradition	setlwaedi sa tša dipolotiki
poor living conditions	maemo a maphelo ao a sa kgahlišego
poorest of the poor	mohloki kudu; yo a hlokago kudu
popular culture	setlwaedi se se tumilego
popular participation	go kgatha tema ga setšhaba
popular sovereignty	boikemo bjo bo tumilego
population register	ngwadišo ya setšhaba
population size	bogolo bja setšhaba
portfolio committee	komiti ya kgoro ya mmušo palamenteng
portfolio committee	komiti ya phethefolio
powers and functions	maatla le mešomo
powers that be	maatla a gona
practical reality	kgonagalo ya makgonthe
praise singer	moreti wa go opela; sereti sa go opela
presiding officer	modulasetulo; mohlankedi yo a laolago
press freedom	tokologo ya kgašo
primary health care	tlhokomelo ya maphelo ya motheo
private sector	lefapha la phraebete
professional ethics	maitshwaro a sephrofešene
professional organisation	mokgatlo wa sephrofešene
prophets of doom	baenabobe; balakaletšabobe
proportional representation	kemedi go ya ka palo
provincial administration	taolo ya phrobentshe
provincial budget	ditekanyetšo tša phrobentshe
provincial government	mmušo wa phrobentshe
provincial legislature	lekgotlatheramelao la phrobensthe
provincial level	maemo a phrobentsheng
provincial sphere of government	lekala la mmušo ka phrobentsheng
provision of services	kabo ya ditirelo
public administration	tshepedišo ya merero ya setšhaba
public domain	setšhabeng; lefapheng la setšhaba
public expenditure	ditshenyegelo tša setšhaba
public funds	ditšhelete tša setšhaba; ditšhelete tša mmušo
public health	maphelo a setšhaba
public hearing	ditheeletšo tše setšhaba
public interest	kgahlego ya setšhaba
public meeting	kopano ya setšhaba
public money	tšhelete ya setšhaba
public office	kantoro ya setšhaba
public opinion	maikutlo a setšhaba
public participation	go kgatha tema ga setšhaba
public policy	molawana wa setšhaba
public relations officer	mohlankedi wa dikamano le setšhaba
public sector	lefapha la setšhaba
public service	tirelo ya setšhaba
public services	ditirelo tša setšhaba
public transport system	tshepedišo ya dinamelwa tša setšhaba
public works	mešomo ya setšhaba
public works programme	lenaneo la mešomo ya setšhaba
pumped storage scheme	setlamo sa polokelo ya meetse ao a pompilwego
put a motion	tsenya tšhišinyo
put in writing	ngwala
quality of life	boleng bja lephelo
question paper	letlakala la dipotšišo; pampiri ya dipotšišo
quota system	tshepedišo ya go diriša dipalopalo
race relations	dikamano tša setšhaba
racial equality	tekatekano ya merafe
racial segregation	kgethologanyo ya semorafe
rainbow nation	setšhaba sa mehlobohlobo; setšhaba sa meraferafe
range of vision	mehuta a dinepo
rapid transit system	tshepedišo ya dinamelwa tša kgafetšakgafetša
redistribution of land	kaboleswa ya naga
reference book	puku ya go bala
regional integration	kopanyo ya dilete
register of members	retšistara ya maloko
removal from office	go ntšhwa ka kantorong; go rakwa ka kantorong
remuneration package	palomoka ya tšhelete ye e lefelwago
required to carry	swanetšego go rwala; nyakegago go rwala
reside in	dula ka
residence permit	tumelelo ya bodulo; tumelelo ya madulo
resistance movement	mokgatlo wa twantšho ya pušo
resistance to change	kganetšo ya phetogo
resolution of conflict	tharollo ya thulano
resource base	ya metheo
responsible for	ikarabelago go
restitution of land	pušetšoleswa ya naga
restitution of land rights	pušetšoleswa ya ditokelo go naga
return on investment	poelo go peeletšo
right of access	tokelo ya phihlelelo
right to assemble	tokelo ya kopano; tokelo ya kgobokano
right to human dignity	tokelo go seriti sa botho
right to life	tokelo ya go phela; tokelo go bophelo
right to privacy	tokelo go sephiri
right to strike	tokelo ya go ngala mošomo
right to vote	tokelo ya go kgetha; tokelo ya go bouta
rights and privileges	ditokelo le menyetla
rise and fall	go tsoga le go wa
rite of passage	tshepedišo ya go gola setšong
road network	lenaneopharephare la ditsela
road show	lenaneo leo le išwago setšhabeng
rule of law	tshepedišo ya molao
rules and orders	melawana le ditaelo
rules of debate	melawana ya ngangišano
rules of natural justice	melawana ya toka ya tlhago
rules of procedure	melawana ya tshepedišo
ruling party	mokgatlo wo o bušago
rural development	tlhabollo ya dinagamagae
school library service	tirelo ya bokgobapuku bja sekolo
school nutrition programme	lenaneo la phepo la dikolo
science and technology	mahlale le theknolotši
search and rescue	nyaka o phološe
seat of government	dikantorokgolo tša mmušo
seat of government	lefelo la palamente ya mmušo
security clearance	tokollo go ta tšhireletšo
security forces	mabotho a tšhireletšo
sending and receiving	go romela le go amogela
sense of responsibility	maikutlo a boikarabelo
sense of touch	sekwi sa go kgoma
separate but equal	arogane eupša lekanago
separate development	tlhabollo ye e arogantšwego; tlhabollo ya karoganyo
separation of powers	karoganyo ya maatla
services industry	intasteri ya ditirelo
services rendered	ditirelo tše abjago
set in motion	diragatša; sepediša
shortage of skills	tlhaelelo ya bokgoni
sitting of parliament	tulo ya palamente
small town	toropo ye nnyane
social benefits	dikholego tša setšhaba
social capital	letlotlo la setšhaba
social change	phetogo ya setšhaba
social contract	konteraka ya setšhaba
social control	taolo ya setšhaba
social development	tlhabollo ya setšhaba
social interaction	kopanyo ya setšhaba
social justice	toka ya setšhaba
social movement	mokgatlo wa setšhaba
social security	tšhireletšo ya setšhaba
social services	ditirelo tša setšhaba
social system	tshepedišo ya setšhaba
social upliftment	maatlafatšo ya setšhaba; tsošološo ya se tšhaba
social welfare	go phela bokaone ga setšhaba
socio-economic development	tlhabollo ya ekonomi ya setšhaba
source of income	mothopo wa letseno
source of information	mothopo wa tshedimošo
source of water	mothopo
sovereign democratic state	naga ya boipušo ya temokrasi
sovereign state	naga ya boipušo
sphere of government	lekala la mmušo
standard of living	maemo a bophelo; maemo a go phela
state assets	dithoto tša mmušo
state emblem	leswao la mmušo
state institutions	dihlongwa tša mmušo
state money	tšhelete ya mmušo
state of emergency	maemo a tšhoganetšo
state of mind	maemo a monagano
state of the nation address	polelo ya maemo a setšhaba
state revenue	letseno la mmušo
status of women	maemo a basadi
status quo	seemo sa go se fetoge
statute book	puku ya molao
strategic management	taolo ya togamaano
structural violence	dikgaruru tše beakantšwego
struggle for liberation	ntwa ya go lwela tokologo
subject for discussion	hlogotaba ya dipoledišano
subject to the provisions of	go latela ditlhagišo tša
substantive motion	tšhišinyo ya mabaka
supply and demand	kabo le nyakego
supreme law	molao o mogolo
sustainable development	tlhabollo ya go ya go ile
sustainable economic growth	kgolo ya ekonomi ya go ya go ile
sworn in	enišitšwe
system of government	tshepedišo ya mmušo
systems approach	mokgwa
table of contents	lenaneo la dikagare; lenaneo la diteng
take account of	hlokomela; šetša
take advantage of	šomiša monyetla wa
take an oath	ikana
take cognisance of	go hlokometšwe; go lebeletšwe
take cognizance of	go hlokometšwe; go lebeletšwe
take into consideration	go lebelela; go hlokomela; go šetša
take off	tloga; thomišo
task team	sehlophatšhomo
tax revenue	letseno la motšhelo
technical services department	lefapha la ditirelo tša sethekniki
term budget	ditekanyetšo tša kotara
term of office	pakatiro; lebaka la mošomo
terms and conditions	dipeano le mabaka
terms of reference	ditaelo a tšhupetšo
terms of trade	melawana ya kgwebišano
the Cold War	Ntwa ya Setu
the East	Bohlabela
the West	Bodikela
the common good	selo se bohlokwa sa bohle; selo sa toka sa bohle
the disadvantaged	bao ba hlokišetšwego
the historically disadvantaged	bao ba hlokišitšwe menyetla nakong ye e fetilego
the masses	batho ba bantši
the powers that be	maatla ao
the right	tokelo
the services	ditirelo
the struggle	ntwa; go hlaka
the voiceless	bao ba gateletšwego
time of arrival	nako ya go goroga; nako ya go fihla
time of departure	nako ya go tloga; nako ya go sepela
title deed	lengwalo la bong bja thoto
to and fro	go ya le go tšwa
to bear fruit	go enywa
to the effect that	mo e lego gore
to the right of	go ya go la go ja la
top management	taolo ya godimo
top secret	sephiri se segolo
total onslaught	tshenyo ye kgolo
track record	pego ya peleng
trade relations	dikamano tša kgwebišano
trade union	mokgatlo wa bašomi
trading partner	molekane wa kgwebišano
traditional leadership	boetapele bja setšo
traffic control	taolo ya sephethephethe
training facilities	mafelo a tlhahlo
training institution	sehlongwa sa tlhahlo
transition to democracy	phetošo ya temokrasi
translation of the Bible	phetolelo ya Beibele
tree of knowledge	sehlare sa gare ga tšhemo
tree of life	sehlare sa bophelo
umbrella body	sehlongwa sa kakaretšo
unanimous concurrence	go tšwelela mmogo ga bohle; go tšwelela mmogo mo go swanago
under the auspices of	ka fase ga taolo ya
under the authority of	ka fase ga taolo ya
unemployment rate	dipalopalo tša bao ba hlokago mešomo
unfair discrimination	kgethologanyo ye e sego ya loka
unique people	batho bao go swana ba nnoši
united nations organisation	mokgatlo wa dinagakopano
university of technology	yunibesithi ya theknolotši
unreserved postal service	tirelo ya poso ya go se beelwe
up to date	go se šalele
up to standard	maemong; kgahlišago
upper middle class	ba maemo a godimo magareng
urban area	lefelo la metsesetoropong
urban centre	lefelo la ditoropong
urban development	tlhabollo ya metsesetoropo
urban renewal	tsošološo ya metsesetoropo
value system	tshepedišo ya boleng
violation of human rights	kgatako ya ditokelo tša botho
voice of the people	lentšu la batho
vote in favour	kgetha go rata
vote of thanks	polelo ya teboga
waste management	taolo ya ditšhila
ways and means	ditsela le mekgwa
welfare state	seemo sa bobotlana
winds of change	dilo tše di tlišago phetogo; dilo tša phetogo
winter rainfall region	lefelo la pula tša marega
with effect from	go thoma ka; go tloga ka
with the sun	le letšatši
with the wind	le phefo
within a radius of	ka gare ga rediase ya
within the limits	ka gare ga mellwane
word of welcome	kamogelo; polelo ya kamogelo
working group	sehlophatšhomo
world community	setšhaba sa lefase
you are here	o mo; o fa
