APRIL	MORANANG; 
captures	gatisa;  thopa; 
car	kara; 
carbon	khabone;  khabono; 
card	karata; 
cards	dikarata; 
care	 tlhokomela; tlhokomelo; 
career	boiphediso; 
careers	maiphediso; 
careful	- ka tlhokomelo; 
carefully	ka tlhokomelo;  ka kelotlhoko;  ka go itisa; 
cargo	morwalo;  foraga; 
caring	tlhokomelang; 
carpet	khapete; 
carried	rwele;  kakamere;  tshwere; sikere; 
carries	 sikara; kakamara; rwala; 
carry	 sikara; kakamara; rwala; 
carrying	phetiso ya dipalo; 
case	molato;  letlole; 
cases	 melato; matlole; 
cash	madi;  tšhelete; 
cast	motlhala; 
catalogue	 khathaloko; kataloko; 
catalyst	motlhodi; 
catch	kapa;  tshwara; 
categories	ditlhopha; 
category	setlhopha; 
cater	 aba dijo; tlhokomela; 
catering	tlhokomelo; kabodijo; 
cattle	dikgomo; 
caucus	khokase; 
cause	lebaka; 
cave	logaga; 
caves	dikgaga; 
cease	 khutla;  emisa; fela; 
ceases	 khutla;  emisa; fela; 
cedar	mopane; 
celebrate	keteka; 
celebrated	ketekile; 
celebrates	keteka; 
celebrating	ketekang; 
celebration	moletlo;  mokete;  keteko; 
celebrations	 diketeko;  mekete; meletlo; 
cell	sele; 
cells	disele; 
cellular	 ­sele; ­selefounu; 
census	sensase; 
censuses	disensase; 
cent	sente; 
centenary	ngwaga ya bolekgolo;  letsatsi la bolekgolo; 
center	tikwatikwe;  setshiketsi;  bogare;  borakanelo; 
central	gare; 
centre	tikwatikwe; sentha;  setshiketsi;  bogare;  borakanelo; 
centres	ditikwatikwe;  marakanelo; disentha;  bogare;  ditshiketsi; 
centuries	dingwagakgolo; dipalokgolo; 
century	 palokgolo; ngwagakgolo; 
ceremonial	seremoni; 
ceremonies	diseremoni; meletlo; 
ceremony	moletlo;  seremoni; 
certain	netefatsa; 
certainly	e le ruri;  ka nnete; 
certainty	bonnete; boammaaruri; 
certificate	setifikeiti; 
certificates	disetifikeiti; 
certification	neelosetifikeiti;  tokomane ya tetlotiro; 
certified	-e e kanetsweng; 
cession	go gapelwa lefatshe; 
chain	keetane;  ketane; 
chair	setilo;  sedulo; 
chairman	modulasetulo;  motshwaramarapo; 
chairperson	modulasetulo; 
chairpersons	badulasetulo; 
challenge	 phegisano;  gwetlha; kgwetlho; 
challenged	phegisane; gwetlhile; 
challenges	diphegisano;  dikgwetlho;  gwetlha; dikgwetlho; 
challenging	gwetlhang;  ­phegisanang;  phegisanang;  ­gwetlhang; 
chamber	phaposi; 
chambers	diphaposi;  dirua; 
champion	modipa; 
champions	badipa; 
championship	bodipa; bosimega;  bommampodi; 
championships	bodipa;  bommampodi; dikgaisano tsa bosimega; 
chance	sebaka;  tšhono; 
change	 maditshalelo;  fetoga;  thuba; phetogo; 
changed	fetotse;  maditshalelo;  thubile; 
changes	 maditshalelo;  fetoga;  thuba; phetogo; 
changing	fetogang;  thubang; 
channel	 mosele;  tšhanele; laolela; 
channels	ditšhanele;  mesele; laolela; 
chapter	kgaolo; 
chapters	dikgaolo; 
character	 moanelwa;  botho; mokgwa; 
characterised	kaile sebopego; 
characteristic	 pharologantsho;  -farologanyang; semelo; 
characteristics	dipharologantsho; 
characterize	kaya sebopego; 
characterized	kaile sebopego; 
characters	mekgwa;  botho;  baanelwa; 
charge	 latofatsa;  tlhotlhwa; tlatsa;  tatofatso;  katlholo; 
charged	-tletseng; 
charges	 latofatsa;  ditlhotlhwa;  ditatofatso; tlatsa;  dikatlholo; 
charter	lokwalo lwa ditshwanelo;  tšhata; 
check	netefatso; 
chemical	 khemikale; khemikhale; 
cheque	tšheke;  ditšheke; 
chief	kgosi; 
child	ngwana; 
childhood	bongwana; 
children	bana; 
children's	­bana; 
choice	tlhopho; 
choices	ditlhopho; 
choir	 setlhopha sa mmino; khwaere; 
choose	tlhopha; 
choral	kopelo; 
chose	tlhophile; 
chosen	tlhophile; 
chronic	­sa foleng; 
church	kereke; 
churches	dikereke; 
cinema	baesekopo;  baesekopong; 
cinemas	dibaesekopo; 
circumstances	mabaka; 
cite	tagafara; 
cities	metsemogolo;  diteropo; ditoropokgolo; 
citizen	moagi; 
citizenry	baagibotlhe; 
citizens	baagi; 
citizenship	 thutaboagi; boagi; 
city	 teropo; motsemogolo; 
civic	 ­toropokgolo; ­toropo; 
civil	-gae; 
civilian	moagi; 
claim	tleleimi;  topotuelo;  topokabelo;  go lopa tuelo; 
claimed	lopile tuelo; 
claims	 ditleleimi;  lopa tuelo; ditopotuelo; 
clarification	tlhaloso;  tshedifatso; 
clarify	tlhalosa;  sedifatsa; 
clarion	tlelarione; 
clarity	bolenkutlwalo; 
class	 setlhopha;  boemo; thulaganyo;  mophato; 
classes	 ditlhopha;  mephato; maemo;  dithulaganyo; 
classic	 ­gaisang; tlelasiki;  ­gapang maikutlo; 
classics	hisetori ya Roma le Gerika); ditlelasiki (puo, dikwalwa; 
classification	 pharologanyo; tlhopho;  tlhophelo; 
classified	tlhopha; 
classroom	phaposi; 
clause	karolwana;  polelwana; 
clauses	dikarolwana;  dipolelwana; 
clean	 phepafetseng; phepa; 
clear	 apogile;  - bonatsang;  phimola; bonala;  go apoga ga legodimo; 
clearance	kgololo; 
clearing	gololang; 
clearly	­bonalang; 
clerk	tlelereke;  tlelereke ya kgotla; 
click	 modumopuo; tobetsa;  kakato; 
client	modirelwa;  batlathusong; 
clients	badirelwa;  batlathusong; 
climate	 maemobosa; tlelaemete; 
clinic	tleliniki; 
clinical	setleliniki; 
clinics	ditleliniki; 
close	gaufi;  hupetse; 
closed	tswaletswe; 
closely	­thata;  ka kelotlhoko; 
closer	gaufinyana; 
closing	hupetse; 
closure	tswalelo; 
closures	ditswalelo; 
clothing	 ditswalo; diaparo; 
club	setlhopha;  tlelapa; 
clubs	 ditlelapa; ditlhopha; 
cluster	ngata;  tlelasetara; 
co-operation	 tirisano; mokgatlho; 
co-operative	 thulaganyo ya tiriso ya tsadiso; dirisanang; 
co-ordinate	kopanya; 
co-ordination	kopanyo; 
co-production	 ntshotlhakanelo; ntshommogo; 
coach	 leteroko la terene; katisa;  kariki ya ditonki;  mokatisi; 
coal	malatlha;  lelatlha; 
coast	lebopo; 
coastal	­lebopo; 
coat	tshasa;  bobowa; 
code	 khoute; khoutu; 
codes	dikhoutu; 
coherent	 ­utlwalang;  ­kopaneng; ­tshwaraganeng; 
cohesion	kopano; 
cohesive	­kopaneng; 
cold	 mofikela;  go nna tsididi; tsididi;  -tsididi;  go tsididi;  botsididi;  maruru; 
collaborate	dirisana; 
collaboration	tirisano; 
collaborative	­tirisano; 
collapse	 pheretlhana; go wa; 
colleagues	badirammogo;  badiri ka; 
collect	kgobokanya; 
collected	kgobokantse; 
collecting	kgobokanyang; 
collection	phutho; 
collections	diphutho; 
collective	­kopanelo;  setlhopha se se kopaneng; 
collectively	jaaka setlhopha; 
colleges	dikholetšhe; 
colloquium	kholokwiamo (khonferense); 
colonial	ya koloni; 
colonialism	bokoloniale; 
colonies	dikoloni; 
colony	koloni; 
colour	mmala; 
coloured	mebalabala; 
colourful	mebalabala; 
colours	mebala; 
column	 mokhutlolo;  pilara; kholomo;  mokoloko wa dira;  kolomo;  leru la mosi; 
combat	ntwa;  lwantsha; 
combating	lwantshang; 
combination	kopanyo;  kgolaganyo; 
combined	kopantsweng; 
come	tla; 
comedy	 motlae; metlae; 
comes	tla; 
coming	tlang;  kgorogo; 
comma	phegelwana; 
command	taelo; 
commas	diphegelwana; 
commemorate	ikgopotsa; 
commemorating	ikgopotsang; 
commemoration	segopotso; 
commemorative	­segopodiso; 
commence	 thaya; simolola; 
commenced	simolotse;  theile; 
commencement	tshimololo, theo; 
commencing	simololang;  thayang; 
commend	baka;  tlotlomatsa; 
commendable	tlotlomatsegang; ­pakegang; 
commensurate	­bapisa; 
comment	 anela; tshwaela; 
comments	dikanelo; 
commercial	papatso;  ya kgwebo;  - kgwebo; 
commission	 khomišene; tshwaiso; 
commissioner	 moikanisi; molaodi; 
commissioners	 baikanisi; balaodi; 
commissions	dikhomišene; ditshwaiso; 
commit	itlama; 
commitment	tlamego; 
commitments	ditlamego; 
commits	itlama; 
committed	itlamile; 
committee	komiti; 
committee's	­komiti; 
committees	dikomiti; 
committing	itlamang; 
commodities	diphatlho; 
commodity	phatlho; 
common	gale; 
commonly	ka batho ba bantsi; 
communal	tlhakanelo; 
communicate	bolela;  neeletsanya; 
communicated	tlhaeletsana;  neeletsanya; 
communication	 puisano;  neeletsanyo; tlhaeletsano; 
communication-related	­amanang le tlhaeletsano; 
communications	ditlhaeletsano; 
communities	 masaisai; baagi;  ditšhaba; 
community	 setšhaba; baagi;  lesaisai; 
community-based	­baagi; 
companies	ditlamo; 
company	setlamo; 
comparability	 tshwantshego; papisego; 
comparable	 tshwantshega; bapisega; 
comparative	­amanang; 
compare	 tshwantshanya; bapisa; 
compared	tshwantshanye; bapisitse; 
comparison	papiso; 
compassion	kutlwelobotlhoko; 
compatriot	mogaeno; 
compatriots	bagaeno; 
compelled	pateletsa; 
compelling	pateletsang; 
compensate	duela;  phimola keledi; 
compensation	pusetso; 
compete	gaisana;  phadisana; 
competence	kgono; 
competencies	bokgoni; 
competency	bokgoni; 
competent	kgona; 
competition	kgaisano; 
competitive	 ­kgaisano;  ­ikaeletseng go atlega mo kgaisanong; tlhotlhwatlase; 
competitiveness	bogaisani; 
compilation	thulaganyo;  tlhamo; 
compile	tlhama; 
compiled	tlhamile; 
complainant	mongongoregi; 
complaint	ngongorego; 
complaints	feditse; 
complement	tlaleletsa; 
complementary	­dikhutlo tse di tlhakanang go dira 90°;  ­tsamaisana; 
complete	 -fetsa; fetsa;  feletse; 
completed	 -feditse;  bakaulengwe; feditse; 
completely	ka gotlhe; 
completing	feletse;  fetsang; 
completion	konosetso; phetso; 
complex	 -pataganeng; metsemetse;  tikatikwe;  pataganeng; 
complexity	tharaano; 
compliance	kobamelo; 
complied	obametse; 
complies	obamela; 
comply	obamela; 
complying	obamelang; 
component	karolo;  serwe; 
components	dirwe; 
composed	tlhamile; 
composition	 tshimololo; tlhamo;  botlhami; 
comprehensive	­akaretsang gotlhe; 
comprehensively	ka go akaretsa gotlhe; 
comprise	­na le; 
comprises	­na le; 
comprising	­nang le; 
compromise	 ineelo; ineela; 
compromised	ineetse; 
compulsory	pateletso; 
computer	motšhinipalelo; 
computers	 metšhinipalelo; dikhomphiutha; 
comrade	mokaulengwe; 
comrades	bakaulengwe; 
conceive	ima;  go ima; 
concentrated	- loileng; 
concentration	kokoano; 
concept	 kgopolo; tlhaloganyo; 
concepts	dikgopolo;  ditlhaloganyo; 
concern	 ­ka ga; tshwenya; 
concerned	amegang; 
concerning	­ka ga;  malebana le; 
concerns	matshwenyego; 
concert	khonserata;  khonsata; 
conciliation	thuanyo; 
conclude	 digela; fetsa;  wetsa; 
concluded	 weditse;  digetse; feditse; 
concludes	 digela; fetsa;  wetsa; 
conclusion	 tigelo; kwetso; phetso; 
concrete	konkereite;  sa popego; 
concurrence	tumelano; 
concurrent	gongwe; 
condemn	garaswanya; 
condemned	garaswantse; 
condemns	garaswanya; 
condition	 boemo; maemo; 
conditional	pakajaanong; 
conditions	boemo; 
condom	 kgotlopo; khontomo;  khontomo ya borre; 
condoms	 dikhontomo; dikhontomo tsa borre; dikgotlopo; 
conducive	­siametse; 
conduct	 opedisa; tsamaisa;  boitshwaro;  itsaya; 
conducted	 opedisitse;  itshotse; tsamaisitse; 
conducting	 itsayang;  opedisang; tsamaisang; 
conducts	 opedisa; tsamaisa;  boitshwaro;  itsaya; 
confer	 gakololana;  buisana; fa; 
conference	khonferense; 
conferences	dikhonferense; 
conferred	buisane;  gakololane;  file; 
confidence	itshepa;  tshepo; 
confident	itshepa; 
confidential	khupamarama;  pipanapipe; 
confidentiality	bophiri; 
confirm	tlhomamisa;  tiisa; 
confirmation	tlhomamiso; 
confirmed	 tlhomamisitse; netefaditse; 
confirms	tlhomamisa;  tiisa; 
confiscation	kamogo; 
conflict	kgotlhang; 
conflicts	dikgotlhang; 
confront	itebaganya; 
congratulate	akgola; 
congratulates	akgola; 
congratulating	akgolang; 
congratulations	dikakgolo; 
congress	kopano; 
conjunction	lekopanyi; 
connect	gokaganya; 
connected	­golaganeng; 
connection	kgolagano; 
conscience	segakolodi; 
conscious	thathamologetswe; 
consciousness	boitemogo; 
consecutive	latelana; 
consensus	tumelano; 
consent	 letla;  tumelelo; tetla; 
consequence	ditlamorago;  pheletso; 
consequences	ditlamorago; dipheletso; 
consequential	­ka ntlha ya;  ­botlhokwa; 
consequently	kwa pheletsong; 
conservation	tshomarelo; 
conserve	 sebolokwa; boloka;  somarela;  poloko; 
consider	akanya;  nagana; 
considerable	­golo; 
considerably	ka bontsi; 
consideration	tshiamisetso; 
considerations	­tshiamisetso; 
considered	akanyeditse; 
considering	akanyang;  naganang; 
considers	akanya;  nagana; 
consist	na le; 
consistency	tlhomamo; 
consistent	tlhomame; 
consistently	ka tlhomamo; 
consisting	nang le; 
consists	na le; 
consolidate	tiisa; 
consolidated	tiisitsweng; 
constant	tlhomameng;  tlhomamo; 
constantly	ka gale;  ka metlha le metlha; 
constituency	kgaolotlhopho; 
constitute	tlhama; 
constituted	tlhamile; 
constitutes	tlhama; 
constitution	molaotheo; 
constitutional	­molaotheo; 
constitutions	melaotheo; 
constraint	leparego; 
constraints	maparego; 
construct	aga; 
constructed	agile; 
construction	kago; 
constructive	­mosola; 
construed	lebile jaaka; 
consult	rerisana; 
consultant	moitseanape; 
consultants	baitseanape; 
consultation	therisano;  therisanelo; 
consultations	ditherisano; 
consultative	­gakololang; 
consulted	rerisane; 
consulting	rerisanang; 
consumable	jegang; 
consumer	modirisi; 
consumers	badirisi; 
consumption	tiriso; 
contact	kamano; 
contacts	dikamano; 
contain	-na le; 
contained	-nnile le; 
container	setshelo;  setshodi; 
containers	ditshelo;  ditshodi; 
containing	nang le; 
contains	-na le; 
contemplated	akantse; 
contemporary	tsa segompieno; 
contempt	lenyatso; tshotlho; 
content	mothamo; 
contents	diteng;  mothamo; 
context	togamaano; 
continent	kontinente; 
continental	­kontinente; 
continents	dikontinente; 
contingency	­tshoganyetso; 
contingent	­ikaegile ka (sengwe se se ka diregang mo isagong); batshwani; 
continuation	 tswelelo; tsweletso; 
continue	tswelela; 
continued	tsweleditse; 
continues	tswelela; 
continuing	tswelelang; 
continuity	ka tswelelo; 
continuous	 pakatsweledi; tswelelang; 
continuously	rakonteraka; 
contract	 hunyela; konteraka;  ngotlega;  tlamano; 
contracted	 ngotlegile; hunyetse; 
contracting	 hunyelang; ngotlegang; 
contractor	borakonteraka; 
contractors	­dumelane mo konterakeng; 
contracts	 hunyela; dikonteraka; ditlamano;  ngotlega; 
contractual	­ganetsang; 
contrary	tlola molao; 
contrast	 pharologanyo; farologanya;  phapaano; 
contravenes	tlolomolao; 
contravention	 tsenya letsogo;  nna le seabe; abela; 
contribute	 nnile le seabe;  tsentse letsogo; abetse; 
contributed	 nnile le seabe;  tsentse letsogo; abetse; 
contributes	abelang;  tsenyang letsogo;  nnang le seabe; 
contributing	seabe;  kabelo; 
contribution	dikabelo; 
contributions	moabi; 
contributor	baabi; 
contributors	kopana;  epa (pitso); 
control	taolo;  laola; 
controlled	laotse; 
controlling	laolang; 
controls	 ditaolo; laola; 
convene	kopane;  epile; 
convened	­tlwaelegileng; 
convention	tlwaelo;  kokoano;  tumelano; 
conventional	phuthagano;  tlhakanelo; 
conventions	ditumelano; 
conversation	puisano; 
conversations	dipuisano; 
conversion	 tshokologo;  phetolo; phetolelo; 
convert	 mosokologi; fetola;  sokolola; 
converted	fetotse;  sokolotse; 
convey	 neeletsa; tsamaisa; 
conviction	ponomolato; 
convinced	 tlhomamiseditse; tlhotlheleditse; 
cookie	khuki; 
cooperation	 thusano; tirisano; 
cooperative	 thulaganyo ya tiriso ya tsadiso; dirisanang; 
cooperatives	dithulaganyo tsa tiriso ya tsadiso; 
coordinate	gokaganya;  nyalanya; 
coordinated	kopantse; 
coordinating	kopanyang; 
coordination	kgolagano; 
cope	kgotlelela; 
copies	kopolola; dikhopi;  kopisa;  kôpa; 
copy	khopi;  kopiso;  kopisa; 
copyright	tetlokhopi; 
core	thapo; 
corner	sekhutlo;  lengoto; 
cornerstone	motheo; 
corporate	mmogo; 
corporation	mokgatlho; 
corporations	mekgatlho; 
corps	setlhopha se se kgethegileng sa masole; 
correct	 siamisa;  -siama; nepagetseng;  nepagetse; 
correction	 nepiso; tshiamiso; 
correctional	­kgopololo;  ­paakanyo;  ­tshiamiso; 
corrections	ditshiamiso; 
corrective	nepisang; 
correctly	ka nepiso; 
correspondence	kwalelano; 
corresponding	dumelanang; 
corrupt	senyegile; 
corruption	tshenyego; 
cost	 baya theko;  tlhotlhwa; ditshenyegelo; 
cost-effective	­go le gontsi ka tlhotlhwatlase; 
costs	 baya theko;  ditlhotlhwa; ditshenyegelo; 
council	lekgotla; 
councillor	 mokgotla; mokhansele; 
councillors	balekgotla;  bakhansele; 
councils	makgotla; 
counsel	kgakololo;  mmueledi;  kaelo; 
counselling	kgakololo; 
count	bala; 
countdown	- balelela la bofelo; 
counter	 khaontara; mmadi;  sebadi;  sebadisi; 
counterpart	molekane ka tiro; 
counterparts	balekane ka tiro; 
countries	dinaga; 
country	naga; 
country's	­naga; 
countrywide	naga ka bophara; 
couple	 tshwaraganya; sebedi; 
coupled	tshwaragantse; 
coupon	khupone; 
courage	go nna le sebete; 
course	motsholo; 
courses	metsholo; 
court	kgotla; 
court's	­kgotlatshekelo; 
courtesy	tlotlo; 
courts	dikgotla; 
cover	akaretsa; 
coverage	pego ya bobegakgang;  tshireletso (inšorense); 
covered	akareditse; 
covering	 go goma; letlalo;  sebipo; 
covers	akaretsa; 
covet	eletsa; 
coveted	eleditse; 
cradle	thari; 
craft	thuto ya boitseanape; 
crafters	babetli-ka-diatla; 
crafts	dithuto tsa boitseanape; ditiroatla; 
crater	molomo wa lekgwamolelo; 
create	tlhola; 
created	tlhodile; 
creates	tlhola; 
creating	tlholang; 
creation	tlholego;  lobopo;  popo; 
creative	bokgoni; 
creativity	bokgoni; 
creator	mmopi; 
creators	babopi; 
credibility	boikanyego; 
credible	­ikanyegang; 
credit	molato;  keretiti; 
creditor	monayamolato; 
creditors	banayamolato; 
credits	melato;  dikeretiti; 
creed	 molawanatheo; tumelo; 
cricket	 kirikete; tsintsiri; 
crime	bosenyi;  tshenyo; 
crimes	 ditshenyo; bosenyi; 
criminal	sesenyi;  sesinyi; 
criminals	disenyi; 
crisis	moseneke; 
criteria	mokgwa; 
criterion	mokgwa; 
critical	tlhobaetsang; 
critically	 ­botlhokwatlhokwa; ­tlhobaetsang; 
crop	 sejelo;  kotulo;  sejalo; thobo; 
crops	dijalo; dikotulo;  dithobo; 
cross	kobo;  sefapaano; 
cross-border	­ka kwa ga molelwane; 
crucial	­botlhokwa; 
culminate	feleletsa;  konosediwa ka; 
culmination	 konosetso ka; pheleletso; 
cultural	tsa setso; 
culture	setso; 
cultures	ditso; 
cup	kopi; 
curate	moruti wa maemopotlana; 
curator	motlhomamisi; 
curators	batlhokomelamusiamo; batlhomamisi; 
currency	ledi; 
current	moela; 
currently	ga jaana; 
curriculum	thulaganyo ya dirutwa;  thulaganyo ya marutwa; 
curve	 kgogoropo; segoro; 
custodian	 molebedi;  modisa; motlhokomedi; 
custodians	 balebeledi; batlhokomedi;  badisa; 
custody	tlhokomelo;  tiso;  - tswalelwa; 
custom	 moetlo; tlwaelo; 
customary	­tlwaelo; 
customer	moreki; 
customers	bareki; 
customs	ditlwaelo;  meetlo; 
cut	 moseto;  legopelo;  lengapo; tshego; 
cutting	 phata; kalana;  thupana; 
cycle	tsheko; 
daily	letsatsi le letsatsi; 
dam	letamo;  tama; 
damage	 senya; tshenyo; 
damages	 ditshenyo; senya; 
dance	bina;  reteletsa;  moretelediane;  -tantsha; 
dancers	batantshi; 
dances	 tantsha; metantsho; bina;  reteletsa;  mereteletso; 
danger	kotsi;  diphatsa; 
dangerous	kotsi; 
dark	lefifi;  go fifala; 
data	tshedimosetso; 
database	sefalanatshedimoso; 
databases	difalatshedimoso; 
date	letlha; 
dates	ditatlele; 
dawn	masa; 
day	letsatsi; 
days	malatsi; 
dead	moswi; 
deadline	makgaolakgang; 
deaf	susu; 
deal	samagana le;  gwebisana; 
dealer	mogwebi; 
dealers	bagwebi; 
dealing	tshamagano le; kgwebisano; 
deals	ditumelano; mefutakgong; 
dealt	 dirana; samagana; 
dear	 moratiwa; tlhotlhwagodimo; 
death	loso; 
deaths	dintsho; 
debate	 ngangisano; kgang;  kganetsano; 
debated	 ngangisane; ganetsane; 
debates	 dingangisano;  dikganetsano; dikgang; 
debt	molato; 
debtor	mokoloti; 
debtor's	­mokoloti; 
debts	melato; 
decade	ngwagasome;  dingwaga tse lesome; 
decades	dingwagasome; dingwaga tse lesome; 
deceased	moswi;  -suleng; 
decent	­ntle;  ­siame;  ­kgotsofatsang; 
decide	fetsa; 
decided	sweditse;  tshotse tshwetso; 
decides	fetsa; 
deciding	fetsang; 
decision	 phetso; tshwetso; 
decision-making	tseotshwetso; 
decisions	 diphetso; ditshwetso; 
declaration	polelo; 
declare	-tlhomamisa; 
declared	goeleditse; 
declares	tlhomamisa; 
decline	gana; 
declined	ganne; 
declines	gana; 
declining	ganang; 
decrease	 ngotla; fokotsa; 
decreased	fokoditse;  ngotlile; 
decryption	pulokhoutu ; 
dedicate	 abela; neela; 
dedicated	neetse;  abetse; 
dedication	boineelo; 
deduct	 ntsha; fokotsa; 
deducted	 fokoditse; ntshitse; 
deduction	ditloso;  -ntsha; 
deductions	ditloso; 
deeds	dikano; 
deem	akanya;  gopola; 
deemed	akantse;  gopotse; 
deems	akanya;  gopola; 
deep	boteng;  tengteng; 
deepen	tsenelela kwa teng; 
deeper	boteng-teng; 
deeply	tselatelele; ka kelotlhoko; 
default	 tlhaelo; molato;  tlhokomologo; 
defect	phoso; 
defence	tshireletso;  phemelo; 
defend	sireletsa;  femela; 
defendant	moiphemedi; 
defiance	 bodipa; lonyatso; 
deficiencies	ditlhaelo; 
deficit	tlhaelo; 
deficits	ditlhaelo; 
define	ranola; 
defined	ranotse; 
defines	ranola; 
defining	ranolang; 
definition	bokao;  tlhaloso; 
definitions	ditlhaloso; 
degree	selekanyo;  dikerii; 
degrees	dilekanyo;  didikerii; didikerii; 
delay	tiego; 
delayed	diegile; 
delays	ditiego; 
delegate	 roma; moemedi;  thomeletso; 
delegated	romile; 
delegates	 roma; baemedi;  dithomeletso; 
delegation	boemedi;  thomeletso; 
delegations	boemedi;  dithomeletso; 
delete	phimola; 
deleted	phimotse; 
deletion	phimolo; tshutlho; 
deliberate	akanya ka kelotlhoko;  ka bomo; 
deliberately	ka bomo;  kakanyo ya kelotlhoko; 
deliberations	ditherisano; 
delighted	 kgatlhegile; itumetse;  jele monate; 
deliver	 belegisa; gorosa; 
delivered	gorositse; belegisitse; 
delivering	 gorosang; belegisang; 
delivers	 belegisa; gorosa; 
delivery	khubamo; 
demand	topo;  setlhokwa; 
demands	ditlhokwa;  ditopo; 
demarcation	kgaoganyo; 
democracy	 demokerasi; temokerasi; 
democratic	ya temokerasi; 
democratically	ka temokerasi; 
demographic	thutabatho; 
demonstrate	bontsha;  supa;  supetsa; 
demonstrated	 supeditse;  dirile ditshupetso; bontshitse;  supile; 
demonstrates	bontsha;  supa; dira ditshupetso;  supetsa; 
demonstration	tshupetso; 
denied	phegile; ganeditse; 
dental	­meno; 
deny	ganela;  phega; 
department	lefapha;  lephata; 
department's	­lefapha; 
departmental	ya lefapha; 
departments	mafapha;  maphata; 
departure	botlogo; 
depend	 ikanya; ikaega; 
dependants	batsholwa; 
dependence	boikaego;  boikanyo; 
dependency	naga e e laolwang ke e nngwe; 
dependent	batlhokomelwa;  baikaegi; batsholwa; 
depending	ikaegileng;  ikanyang; 
depends	 ikanya; ikaega; 
deploy	bolotsa; 
deployed	boloditse; 
deployment	thapa masole; 
deposit	peeletso;  sesiti;  letlotlo; 
deposited	beile madi; 
depository	polokelo; 
depreciation	phokotsegotlhotlhwa; 
depth	boteng; 
deputies	bathusi;  batlatsi; 
deputy	 motlatsi; mothusi; 
deregister	kwalolola; 
derive	tswa; 
derived	tswile; 
descent	fologela;  pagologa; 
describe	tlhalosa;  thala; 
described	tlhalositse;  thadile; 
description	tlhaloso; 
desert	 sekaka; ngwega; 
design	 akanyetsa;  rala; moakanyetso; 
designate	naya maemo; 
designated	neo ya maemo;  inakemo; 
designation	inakemo; 
designed	tlhametsweng; 
designer	moakanyetsi; 
designers	baakanyetsi; 
designs	 meakanyetso; akanyetsa;  dithalo; 
desirable	­rokotsang mathe;  ­eletsegang; 
desire	 meletsa mathe; eletsa; 
desired	meleditse mathe; eleditse; 
despite	 ila; nyatsa;  le fa; 
destiny	isago; 
destroy	senya; 
destroyed	sentse; 
destruction	tshenyo; 
detail	 ka botlalo;  - botlalo; botlalo; 
detailed	ka botlalo; 
details	dinwane; 
detained	tshwerwe;  golegilwe;  tlhatlhetswe; 
detainees	 mapantiti; bagolegwa;  batshwarwa; 
detection	temogo; 
detention	- tswalelwa; 
determination	boikaelelo; 
determine	tlhomamisa; 
determined	ikemisetsa; 
determines	tlhomamisa; 
determining	 tlhotlhomisa [tlhotlhomisang]; tlhomamisa; 
develop	godisa;  gola;  nonofa; 
developed	 godisitse;  nonofile; godile; 
developing	 nonofang; golang;  godisang; 
development	kgolo;  kgodiso;  nonofo; 
developmental	­tlhabologo;  ­tsweletso; 
developments	 dikgodiso; dikgolo;  nonofo; 
develops	godisa;  gola;  nonofa; 
device	sediriswa;  loga; 
devices	botlhamo; 
devolution	tholelo; 
diagnosis	 tupo ya bolwetse; temogo; 
dialogue	puisano;  mmuisano; 
dialogues	dipuisano; 
diamond	taemane; 
diamonds	diteemane; 
diaspora	 diasepora; phasalalo; 
dictionary	bukantswe; 
did	dirile; 
didn't	­sa dira; 
die	letaese;  -tlhokofala;  go swa; 
died	 tlhokofetse; sule; 
dies	 tlhokofala; swa; 
differ	farologana; 
difference	 phapaano; pharologano; 
differences	dipharologano;  diphapaano; 
different	farologaneng; 
differently	ka go farologana; 
difficult	thata; 
difficulties	mathata; 
difficulty	bothata; 
digital	tshedimosetsopalo; 
dignified	­tlotlegang; 
dignitaries	batlotlegi; 
dignity	seriti; 
dimension	selekanyo; 
dimensions	dilekanyo; ditekani; 
dinner	tinara;  dijo tsa maitsiboa; 
diploma	dipoloma; 
diplomatic	dipolomateki; 
direct	lebane; 
directed	lebane; 
directing	lebaneng; 
direction	ntlha;  ditaetso;  kaelo; 
directions	dikaelo; 
directive	tiredi; 
directives	ditiredi; 
directly	ka tlhamalalo; 
director	mokaedi; 
director-general	mokaedikakaretso; 
directorate	bokaedi; 
directors	bakaedi; 
directory	 bukakaedi; faelekaedi; 
directs	lebane; 
disabilities	bogole; 
disability	bogole; 
disabled	 golafetse; bogole; 
disadvantage	thapolo; 
disaster	matlhotlhapelo; 
disasters	matlhotlhapelo; 
discharge	 lebusa;  go nya; tiragatso;  fokotsega;  kgololo;  golola; 
discharged	fokotsegile;  nyele;  golotse; 
disciplinary	kgalemo; 
discipline	 boitiso; boitshwaro; 
disciplines	 boitiso; boitshwaro; 
disclaimer	 boitatolo; boikgololo; 
disclose	senola; 
disclosed	senotse; 
disclosure	tshenolo; 
discourse	puo;  sekwalwa; 
discover	ribolola; 
discovered	ribolotse; 
discovery	thibololo; 
discretion	ka fa o bonang ka teng; 
discretionary	­ka fa motho a bonang ka teng; 
discrimination	tlhaolele;  tlhophololo; 
discuss	buisana; 
discussed	buisane; 
discussing	buisanang; 
discussion	puisano; 
discussions	dipuisano; 
disease	bolwetse;  botlhoko; 
diseases	 matlhoko; malwetse; 
