Act of Parliament	Molao wa Palamente
local government sector	setheo sa pusoselegae
local municipality	mmasepala wa selegae
local sphere of government	lefapha la selegae la puso
mainstream economy	ikonomi e bontsi bo nnang le seabe mo go yone
majority of votes	ditlhopho ka bontsi
majority party	lekoko la bontsi
make a mark	dira tshwaelo
make a statement	dira puo
make an effort	go leka
management review	tlhatlhobo ya setlhopha sa botsamaisi
manner of speaking	mokgwa wa puo
marine living resources	metswedi ya ditshedi tsa lewatle
market economy	ikonomi ya mmaraka
mass mobilisation	go bolotsa bontsi
master of ceremonies	 motsamaisi wa moletlo
matter of public importance	kgang e e botlhokwa mo setšhabeng
matter of urgency	lebaka la potlako
means of communication	didiriswa tsa tlhaeletsano
means of transport	dirori
member of parliament	tokololo ya palamente
member of the council	tokololo ya khansele
member states of the UN	dipuso tse e leng maloko a UN
memorandum of understanding	memorantamo wa tumelano
metropolitan area	lefelo la toropokgolo
middle class	boemo mo bo mo magareng
minority domination	setlhopha-potlana se se tshegediwang ke bontsi
minority party	lekoko-potlana
minutes of proceedings	metsotso ya ditsamaiso
mode of operation	mokgwa wa tsamaiso
moment in time	sebakanyana sa nako
money laundering	boferefere jwa ditšhelete
months of the year	dikgwedi tsa ngwaga
mortality rate	selekanyo sa dintsho
mother tongue	puo ya kwa gae
motion of no confidence	tshitshinyo ya  botlhoka tshepo
multicultural society	setšhaba sa ditso tse di farologaneng
music rights organisation	mokgatlho wa ditshwanelo tsa mmino
mutual understanding	tumalano
mutually exclusive	bobedi jo bo sa akarediweng
national affairs	merero ya bosetšhaba
national anthem	pina ya bosetšhaba
national asset	matlotlo a bosetšhaba
national budget	tekanyetsokabo ya bosetšhaba
national coat of arms	moono wa bosetšhaba
national conference	khonferense ya bosetšhaba
national department	lefapha la bosetšhaba
national development	tlhabololo ya bosetšhaba
national economy	ikonomi ya bosetšhaba
national education	thuto ya bosetšhaba
national executive	mokhuduthamaga wa bosetšhaba
national executive authority	molaodi-khuduthamaga wa bosetšhaba
national executive committee	komiti ya bakhuduthamaga ya bosetšhaba
national flag	folaga ya bosetšhaba
national government	puso ya bosetšhaba
national identity	boitshupo jwa bosetšhaba
national interest	kgatlhego ya bosetšhaba
national leader	moeteledipele wa bosetšhaba
national level	seemo sa bosetšhaba
national level of government	seemo sa bosetšhaba sa puso
national policy	pholisi ya bosetšhaba
national pride	boipelafatso jwa bosetšhaba
national reconciliation	tetlanyo ya bosetšhaba
national security	tshireletsego ya bosetšhaba
national sphere of government	lefapha la puso la bosetšhaba
national strategy	leano la bosetšhaba
national symbols	matshwao a bosetšhaba
national unity	kutlwano ya bosetšhaba
natural justice	tshiamiso ya tlhago
natural resources	ditsompelo tsa tlhago
need to know	tlhoka go itse
new dispensation	tsamaiso e ntšha
not later than	e seng morago ga
notice of motion	kitsiso ya tshitshinyo
number of children	palo ya bana
number of deaths	palo ya dintsho
oath of office	maikano pele ga go amogela tiro
of paramount importance	botlhokwa bogolo
office bearer	yo o sikereng maikarabelo
official language	puo ya semmuso
official residence	legae la semmuso
on the defence	mo phemelong
on the market	mo mmarakeng
on the run	go leka go ngwega 
on the second	ka motsotswana
on the wing	mo sefofaneng
on top of	godimo ga
open society	setšhaba se se gololesegileng
opening address	puo e e simololang
order of merit	tatelano ya kgaisano
order of preference	thulaganyo ya tekanyetsopele
order of the day	thulaganyo ya letsatsi
ordinary session	lenaneo le le tlwaelegileng
organs of state	lefapha la puso
orphans and vulnerable children	dikhutsana le bana ba ba ka sotlegang
out of control	tswile taolong
out of date	tswile mo nakong
out of order	fapogile
out of print	ga e sa gatisiwa
out of service	ga e dire
out of stock	ga e teng mo dithotong
outbreak of war	go runya ga ntwa
ownership of land	go nna mong wa setsha
paradigm shift	go fetola dilo
parliament is in session	palamente e kokoane
parliamentary committee	komiti ya palamente
parliamentary correspondent	mmegadikgang wa palamente
parliamentary democracy	temokerasi ya palamente
parliamentary process	thulaganyo ya palamente
participate in the debate	tsaya karolo mo dingangisanong
participatory democracy	temokerasi ya go tsaya karolo
party discipline	mokgwa o o siameng wa lekoko
party system	tsamaiso ya lekoko
pass laws	melao ya dipasa
pave the way	baakanyetsa go
peaceful coexistence	kutlwano fa gare ga ditlhopha
peaceful demonstration	go dira ditshupetso ka kagiso
peaceful transition	phetogo e e nang le kagiso
per capita	motho ka bongwe
performing arts council	go diragatsa lekgotla la diatshe
pillar of strength	pilara ya nonofo
pilot project	porojeke ya tekeletso
place of safety	lefelo la pabalesego
platinum group metals	dimetale tsa setlhopha sa polatinamo
play the lead	tshameko ya kwa pele
playing field	lebala la botshamekelo
point of contact	ntlha ya ikgolaganyo
point of order	ntlhapaakanyo
point of view	mogopolo
police service	tirelo ya sepodisi
policy development	tlhabololo ya pholisi
policy environment	tikologo ya pholisi
policy formulation	go tlhama pholisi
policy framework	letlhomeso la sepolotiki
policy implementation	go dirisa pholisi
policy making	go dira pholisi
policy statement	polelo ya pholisi
political context	tsa sepolotiki
political control	taolo ya sepolotiki
political development	tlhabololo ya sepolotiki
political dispensation	tsamaiso ya sepolotiki
political environment	tikologo ya sepolotiki
political instability	dikhuduego tsa sepolotiki
political leadership	boeteledipele jwa sepolotiki
political order	thulaganyo ya sepolotiki
political party	lekoko la sepolotiki
political process	thulaganyo ya sepolotiki
political rights	ditshwanelo tsa sepolotiki
political system	tsamaiso ya sepolotiki
political tradition	setso sa sepolotiki
poor living conditions	maemo a khumanego a botshelo
poorest of the poor	ba ba humanegileng thata mo gare ga bahumanegi
popular culture	setso se se tumileng
popular participation	go tsaya karolo go go tumileng
popular sovereignty	puso e e tumileng
population register	rejisetara ya baagi
population size	bontsi jwa baagi
portfolio committee	komiti ya photefolio
powers and functions	dithata le ditiro
powers that be	balaodi
practical reality	mabaka a go dira sengwe
praise singer	mmoki
precincts of parliament	dikhutlwana tsa palamente
presiding officer	motlhankedi yo o okamelang
press freedom	kgololesego ya bobegadikgang
private sector	setheo sa poraefete
professional ethics	maitshwaro a seporofešenale
professional organisation	mokgatlho wa seporofešenale
prophets of doom	baporofeti ba tatlhego
proportional representation	tsamaiso ya ditlhopho e e emelang ditlhopha tsa sepolotiki
provincial administration	tsamaiso ya porofense
provincial budget	tekanyetsokabo ya porofense
provincial government	puso ya porofense
provincial legislature	kgotlatheomolao ya porofense
provincial level	seemo sa porofense
provincial sphere of government	lefapha la porofense la puso
provision of services	kabo ya ditirelo
public administration	tsamaiso ya setšhaba
public domain	setšhaba
public expenditure	ditshenyegelo tsa setšhaba
public funds	madi a setšhaba
public health	pholo ya setšhaba
public hearing	dikgato-kgalemo
public interest	kgatlhego ya setšhaba
public meeting	kopano ya setšhaba
public money	madi a setšhaba
public office	ofisi ya setšhaba
public opinion	kgopolo ya setšhaba
public participation	go tsaya karolo ga setšhaba
public policy	pholisi ya setšhaba
public relations officer	motlhankedi wa dikgolagano tsa setšhaba
public sector	setheo sa setšhaba
public service	tirelosetšhaba
public services	ditirelosetšhaba
public transport system	tsamaiso ya dipalangwa tsa botlhe
public works	ditiro tsa setšhaba
public works programme	lenaane la ditiro tsa setšhaba
pumped storage scheme	thulaganyo ya  polokelo ya pompo
put a motion	dira tshitshinyo
put in writing	e kwadilwe
question paper	pampiri ya dipotso
quota system	tsamaiso ya tekanyetsopalo
race relations	dikamano tsa ditso
racial equality	tekatekano ya ditso
racial segregation	go tlhaolana ka lotso
rainbow nation	morafe wa seka-mola wa godimo
range of vision	tekanyo ya pono
rapid transit system	tsamaiso ya ka bonako ya kgabaganyo
redistribution of land	go abiwa ga ditsha boša
reference book	buka ya tshupetso
regional integration	go kopanngwa ga dikgaolo
register of members	kwadisa ditokololo
removal from office	go tlosiwa ga ofisi
remuneration package	Moputso wa madi a ditshiamelo
required to carry	tshwanetse go rwala
reside in	nna kwa
residence permit	lekwalotetla la bonno
resistance movement	mokgatlho o o lwelang kgololesego
resistance to change	ganetsa phetogo
resolution of conflict	tharabololo ya kgotlhang
resource base	motswedi wa tshedimosetso
responsible for	ikarabela ka
restitution of land	go busediwa ditsha
restitution of land rights	go busediwa ditshwanelo tsa ditsha
return on investment	poelo ya peeletso
right of access	tshwanelo ya botseno
right to assemble	tshwanelo ya go kokoana mmogo
right to human dignity	tshwanelo ya seriti sa botho
right to life	tshwanelo ya botshelo
right to privacy	tshwanelo ya polokodiphiri
right to strike	tshwanelo ya go dira ditshupetso
right to vote	tshwanelo ya go tlhopha
rights and privileges	ditshwanelo le ditshiamelo
rise and fall	tsogo le go wa
rite of passage	tirelo ya kgorotsamaiso
road network	mafaratlhatlha a ditsela
road show	loeto-papatso
rule of law	taolo ya molao
rules and orders	melao le ditaelo
rules of debate	melao ya dingangisano
rules of natural justice	melao ya tlholego ya bosiamisi
rules of procedure	melao ya tsamaiso
ruling party	lekoko le le busang
rural development	tlhabololo ya metseselegae
school library service	ditirelo tsa laeborari tsa sekolo
school nutrition programme	lenaane la phepo la dikolo
science and technology	saense le thekenoloji
search and rescue	phuruphutso le phalodiso
seat of government	lefelo la dikantoro tsa puso
security clearance	tetla ya tsa tshireletsego
security forces	matsholo a tshireletsego
sending and receiving	romela le go amogela
sense of responsibility	maikutlo a go rwala boikarabelo
sense of touch	maikutlo a go ama
separate but equal	kgaogane mme lekana
separate development	tlhabololo e e kwa thoko
separation of powers	go kgaoganya maikarabelo
services industry	intaseteri ya ditirelo
services rendered	ditirelo tse di dirilweng
set in motion	tsenya tirisong
shortage of skills	tlhaelo ya dikgono tsa tiro
sitting of parliament	go tsena ga palamente
small town	toropo e nnye
social benefits	mesola mo laogong
social capital	boemo mo loagong
social change	phetogo mo loagong
social contract	konteraka mo loagong
social control	taolo mo loagong
social development	tlhabololo mo loagong
social interaction	tirisanommogo mo loagong
social justice	tshiamiso mo loagong
social movement	mokgatlho mo loagong
social security	tshireletsego mo loagong
social services	ditirelo mo loagong
social system	tsamaiso mo loagong
social upliftment	tlhabololo mo loagong
social welfare	katlaatleloloago mo loagong
socio-economic development	tlhabololo ya loago le ikonomi
source of income	motswedi wa lotseno
source of water	motswedi wa metsi
sovereign democratic state	puso e e ikemetseng ka nosi ya temokerasi
sovereign state	puso e e ikemetseng ka nosi
sphere of government	lefapha la puso
standard of living	maemo a botshelo
state assets	matlotlo a puso
state emblem	letshwao la puso
state institutions	ditheo tsa puso
state money	modi a puso
state of emergency	maemo a tshoganyetso
state of mind	maemo a mogopolo
state of the nation address	go ema setšhaba ka lefoko
state revenue	letseno lwa madi a puso
status of women	boemo jwa basadi
status quo	maemo
statute book	buka ya melao
strategic management	botsamaisi jo bo logetsweng maano
structural violence	go thubakaka dikago
struggle for liberation	go lwela kgololesego
subject for discussion	kgang e go tshwanetseng ga tlotlwa ka yone
subject to the provisions of	tshwanela go ikamanya le ditlhokego tsa
substantive motion	tlhopho e e botlhokwa
supply and demand	thoto le topo
supreme law	molao o o botlhokwa thata
sustainable development	tlhabololo e e nnang lobaka lo lo leele
sustainable economic growth	kgolo ya ikonomi e e nnang lobaka lo lo leele
sworn in	ikanisitswe
system of government	tsamaiso ya puso
systems approach	tsela ya go dira dilo
table of contents	lenaneo la diteng
take account of	tsaya maikarabelo a
take advantage of	go ja ntsoma
take an oath	tsaya maikano
take cognisance of	lemoga
take cognizance of	ela tlhoko
take into consideration	tsaya tsia
take off	ntsha
task team	setlhopha sa tiro
tax revenue	lotseno lwa madi a lekgetho
technical services department	lefapha la ditirelo tsa thekeniki
term budget	tekanyetsokabo ya kotara
term of office	nako e e beilweng ya tiro
terms and conditions	dipeelo le melawana
terms of reference	dipeelo tsa tshupetso
terms of trade	dipeelo tsa kgwebisano
the Cold War	Ntwa ya Molomo
the East	Botlhaba
the West	Bophirima
the common good	molemo wa botlhe
the disadvantaged	ba ba neng ba tlodisiwa matlho
the historically disadvantaged	ba go ya ka hisetori ba neng ba tlodisiwa matlho
the masses	bontsi jwa batho
the powers that be	balaodi
the right	tshwanelo
the services	ditirelo
the struggle	go lwa
the voiceless	ba dikgopolo tsa bone di sa tseweng tsia
thousand and one	kete le nngwe
time of arrival	nako ya go goroga 
time of departure	nako ya go tsamaya
title deed	thaetlele ya ntlo
to and fro	kwa pele le kwa morago
to bear fruit	go ungwa
to the effect that	go tsenya tirisong gore
to the left of	molemeng wa
to the right of	mojeng wa
top management	batsamaisi ba ba kwa godimo
top secret	sephiri se se kwa godimo
total onslaught	go ganyaolwa gotlhelele
track record	hisetori
trade relations	dikamano tsa kgwebisano
trade union	mokgatlho o o lwelang ditshwanelo tsa badiri
trading partner	mogwebisani
traditional leadership	boeteledipele jwa setso
traffic control	taolo ya pharakano
training facilities	dikago tsa go itshidila mmele
training institution	setheo sa go ikatiso
transition to democracy	phetogo ya puso ya temokerasi
translation of the Bible	phetolelopuo ya Beibele
tree of knowledge	setlhare sa kitso
tree of life	setlhare sa bophelo
umbrella body	setlamo se se okametseng
unanimous concurrence	tumalano fa gare ga botlhe
under the auspices of	Ka fa tlase ga boeteledipele jwa
under the authority of	ka fa tlase ga taolo ya
unemployment rate	kelo ya ba ba se nang ditiro
unfair discrimination	tlhaolele e e sa siamang
unique people	batho ba ba tlhomologileng
united nations organisation	setheo sa ditšhaba tse di kopaneng
university of technology	thekenoloji ya yunibesithi
unreserved postal service	ditirelo tsa poso tse di se nang dikganelo 
up to date	-feleletseng
up to standard	maemo a a amogelesegang
upper middle class	ba maemo a a fa gare
urban area	lefelotoropo
urban centre	senthara ya lefelotoropo
urban development	tlhabololo ya lefelotoropo
urban renewal	ntšhafatso ya lefelotoropo
value system	tsamaiso ya boleng
violation of human rights	go gatakelwa ga ditshwanelo tsa batho
voice of the people	lentswe la batho
vote in favour	tlhopho ya tshegetso
vote of thanks	ditebogo
waste management	go olelwa ga matlakala
ways and means	ditsela le metswedi
welfare state	boemo ja katlaatleloloago
winds of change	se se bakang diphetogo
winter rainfall region	kgaolo ya pula ya mariga
with effect from	go simolola ka
with the sun	le letsatsi
with the wind	le phefo
within a radius of	e latela bokgakala jwa
within the limits	ikamanya le dikganelo
word of welcome	puo ya kamogelo
working group	setlhopha se se dirang
world community	baagi ba lefatshe lotlhe
you are here	o fa
