Act of Parliament	Umtsetfo wePhalamende
manner of speaking	indlela yekukhuluma
marine living resources	tintfo letiphila/letihlala elwandle
market economy	umnotfo wetimakethe
mass mobilisation	umkhankhaso lomkhulu
master of ceremonies	mphatsi weluhlelo
matter of public importance	intfo lebalulekile emmangweni
matter of urgency	yintfo ledzinga kwentiwa masinyane
means of communication	tindlela tekuchumana
member of parliament	lilunga lephalamende
member of the council	lilunga lemkhandlu
member states of the UN	emave lamalunga e-UN
memorandum of understanding	sivumelwano sekuvisisana
metropolitan area	indzawo yelidolobhakati 
middle class	bantfu labasezingeni lelisemkhatsini: abakaphuyi kantsi futsi abakanjingi
minority domination	kuphatfwa bantfu labalinani lelincane
minority party	licembu lelincane
minutes of proceedings	emaminithi enchubo
mode of operation	indlela intfo yenteka ngayo
moment in time	sikhashana
money laundering	kwenta bugebengu bemali
months of the year	tinyanga temnyaka
mortality rate	lizinga lekushona uma kubelekwa
mother tongue	lulwimi lwasekhaya
multicultural society	ummango locube emasiko lahlukahlukene
mutual understanding	kuvisisana
mutually exclusive	kuvisisana kwenu nodvwa
national affairs	tindzaba tesive
national anthem	liculo lesive
national asset	imphahla yahulumende
national budget	ibhajethi yavelonkhe
national coat of arms	siphandla selive savelonkhe
national conference	inkhofa yavelonkhe
national department	litiko lavelonkhe
national development	intfutfuko yavelonkhe
national economy	umnotfo wavelonkhe
national education	imfundvo yavelonkhe
national executive	Sigungu lesikhulu savelonkhe
national executive authority	umtimba wesigungu lesikhulu wavelonkhe
national executive committee	ikomiti yesigungu lesikhulu savelonkhe
national flag	umbhelebhele wesive
national government	hulumende wavelonkhe
national identity	luphawu loluyinkhomba lwavelonkhe
national interest	sifiso sesive
national leader	umholi wavelonkhe
national level	ezingeni lavelonkhe
national level of government	lizinga lahulumende wavelonkhe
national policy	inchubomgomo yavelonkhe
national pride	ligcabho lesive
national reconciliation	kubuyisana kwesive
national security	kuvikeleka kwesive
national sphere of government	luphiko lwahulumende lwavelonkhe
national strategy	indlelamasu yavelonkhe
national symbols	timphawu tesive
national unity	lubumbano lwesive
natural justice	bulungiswa bemvelo
natural resources	imitfombo yemvelo
need to know	sidzingo sekwati
new dispensation	indlela lensha
not later than	kungakengci …
number of children	linani lebantfwana
number of deaths	linani lalabashonile
oath of office	sifungo semsebenti
of paramount importance	lokubaluleke kakhulu
office bearer	umnikati wesikhundla
official language	lulwimi lolusemtsetfweni
official residence	likhaya lelisemtsetfweni
on the defence	uyativikela
on the market	usemakethe
on the run	uyabaleka
on the second	ngekuphatima kweliso
on the wing	eluphikweni
on top of	ngetulu kwe
open society	ummango lovulekile
opening address	inkhulumo yekuvula
order of preference	luhlu lwekulandzelana kwetintfo ngendlela letifuneka ngayo
order of the day	luhlu lwelusuku
ordinary session	umhlangano lojwayelekile
organs of state	tigaba tahulumende
out of control	kungalawuleki
out of date	kuphelela sikhatsi
out of print	akusakhicitwa
out of service	Kungasasebenti;  akusebenti
out of stock	kuphelelwa sitoko
outbreak of war	kucubuka kwemphi
ownership of land	bunikati bemhlaba
paradigm shift	kuntjintja kwengcondvo
parliament is in session	iphalamende ihleli
parliamentary committee	ikomiti yasephalamende
parliamentary correspondent	kubhalela iphalamende
parliamentary democracy	intsandvo yelinyenti yephalamende
parliamentary process	inchubo yephalamende
participate in the debate	kaba yincenye yenkhulumomphikiswano
participatory democracy	intsandvo yelinyenti lefaka wonkhe umuntfu
party discipline	indlela yekutiphatsa yelicembu letepolitiki
party system	inchubo yemacembu epolitiki
pass laws	imitsetfo yabodompasi
pave the way	cala indlela;  vula indlela
pave the way	vula
peaceful coexistence	kuphilisana ngekuthula
peaceful demonstration	kushuca lokungenabudlova
peaceful transition	ingucuko lenekuthula
per capita	ngekwemuntfu ngamunye
performing arts centre	sikhungo sebuciko bekujabulisa
performing arts council	umkhandlu wetebuciko basesiteji
permanent residence permit	imvume yekuhlala siphelane
pillar of strength	kulapho utsatsa khona emandla
pilot project	umklamo wekulinga intfo letsite
place of safety	indzawo lephephile
platinum group metals	tinsimbi telicembu leplatinamu
play the lead	kuba ngumholi
playing field	inkhundla yekudlala
point of contact	lapho kunekutsintsana khona
point of view	umbono
police service	luphiko lwemaphoyisa
policy development	kutfutfukisa inchubomgomo
policy environment	inchubomgomo yesimondzawo
policy formulation	kwakhiwa kwenchubomgomo
policy framework	inchubomgomo yeluhlakamsebenti
policy implementation	kusetjentiswa kwenchubomgomo
policy making	kwenta inchubomgomo
policy statement	sitatimende senchubomgomo
political context	ummongo lomayelana netepolitiki
political control	kulawula tepolitiki
political development	kutfutfuka kwetepolitiki
political dispensation	indlela yetepolitiki
political environment	indzawo yetepolitiki
political instability	kungasimami kutepolitiki
political leadership	buholi betepolitiki
political order	kuhamba kahle kwetepolitiki
political party	licembu letepolitiki
political process	inchubo yetepolitiki
political rights	emalungelo etepolitiki
political system	luhlelo lwetepolitiki
political tradition	lisiko letepolitiki
poorest of the poor	umuntfu lophuye kakhulu
popular culture	buciko bekuticambela tekucitsa situngu
popular participation	sento lapho khona bantfu labanyenti bakhombisa inshisekelo etintfweni telive labo
popular sovereignty	inkholelo yekutsi wonkhe umuntfu ukhululekile kuhulumende
population register	irejista yebantfu bonkhe
population size	bungako belinani lebantfu sebabankhe
portfolio committee	ikomiti yesigungu savelonkhe
powers and functions	emandla nemisebenti
powers that be	noma ngabe ngubani lophetse
practical reality	liciniso leliphatsekako
praise singer	imbongi
presiding officer	umphatsi lowengamele
press freedom	inkhululeko yebetindzaba
primary health care	kunakekela kwetemphilo etigabeni tekucala
private sector	umkhakha wangasese
professional ethics	indlela yekutiphatsa kwetisebenti temkhakha lotsite
professional organisation	inhlangano yalabaceceshekile
prophets of doom	babholofidi bemanga
proportional representation	kumelela ngekwelinani lemavoti
provincial administration	umbuso wesifundza
provincial budget	ibhajethi yesifundza
provincial government	hulumende wesifundza
provincial legislature	sishayamtsetfo sesifundza
provincial level	ezingeni lesifundza
provincial sphere of government	umkhakha wahulumende wesifundza
provision of services	kuniketa tinsita
public administration	lihhovisi lahulumende
public domain	kuvuleleke wonkhe umuntfu
public expenditure	kusetjentiswa kwemali yahulumende
public funds	imali yahulumende
public health	temphilo yemmango
public hearing	kulalela ummango
public interest	sifiso semmango
public meeting	umhlangano wemmango
public money	imali yemmango
public office	lihhovisi lahulumende
public opinion	umbono wemmango
public participation	kutibandzakanya kwemango
public policy	inchubomgomo yahulumende
public relations officer	umuntfu losebenta ngekuchumana nemango
public sector	umkhakha wahulumende
public service	kusebenta kwahulumende
public services	imisebenti yahulumende
public transport system	luhlelo lwetigitjelwa lwahulumende
public works	imisebenti yahulumende
public works programme	luhlelo lwahulumende lwemsebenti
pumped storage scheme	indlela yekudvonsa emanti nakuphehlwa gezi
put a motion	kwenta siphakamiso
put in writing	bhala
quality of life	lizinga lemphilo
question paper	liphepha lemibuto
quota system	linani lekumele lilandzelwe lelibekwe nguhulumende
race relations	budlelwano betinhlanga
racial equality	kulingana kwetinhlanga
racial segregation	kubandlululwa ngekwebuhlanga
rainbow nation	sive lesifana nemusho wenkhosatana: lesinebantfu labamibalabala
range of vision	imibono lehlukahlukene
rapid transit system	luhlelo lwahulumende lwekutfutsa ummango
redistribution of land	kwabiwa kabusha kwemhlaba
reference book	libhuku lekutsatsisa lwatiso
regional integration	kuhlanganiswa kwetigodzi
register of members	libhuku lekubhala emalunga
removal from office	kukhishwa ehhovisi/esikhundleni
remuneration package	konkhe lokuyincenye yeliholo
required to carry	kufuneka itfwale…
reside in	hlala e-
residence permit	imvume yekuba ngumhlali
resistance movement	inhlangano yemzabalazo
resistance movement	lengahambisani nalokwentekako
resistance to change	kwala kwamukela ingucuko
resolution of conflict	kucedza kungcubutana
resource base	sisekelo; sisusa setinsita
responsible for	lonikwe umsebenti weku-
restitution of land	kubuyiselwa kwemhlaba
restitution of land rights	lilungelo lekubuyiselwa kwelilungelo lemhlaba
return on investment	imbuyiselo yekusisa
right of access	lilungelo lekufinyelela
right to assemble	lilungelo lekuhlanganyela
right to human dignity	lilungelo lekuphila imphilo lenesitfunti
right to life	lilungelo lekuphila
right to privacy	lilungelo lekuhlonishwa ngetintfo takho
right to strike	lilungelo lekushuca
right to vote	lilungelo lekuvota
rights and privileges	emalungelo nekuniketwa litfuba
rise and fall	kuvuka nekuwa
rite of passage	kungeniswa kwemntfwana ebudzaleni
road network	luchungechunge lwemigwaco
road show	kuhamba nenta umkhankhaso lotsite
rule of law	kubusa kwemtsetfo
rules and orders	imitsetfo nemiyalo
rules of debate	imitsetfo yenkhulumomphikiswano
rules of natural justice	imitsetfo yebulungiswa lobungavunihlangotsi
rules of procedure	imitsetfo nenchubo
ruling party	licembu lelibusako
rural development	kutfutfukisa tindzawo tasemakhaya
school library service	lusito lemtapolwati wesikolo
school nutrition programme	luhlelo lwekudla esikolweni
science and technology	isayensi nebuchwepheshe
search and rescue	kusesha nekuvikela
seat of government	sihlalo sahulumende/indzawo lapho kunemahhovisi ahulumende
security clearance	kuhlolisiswa mayelana netekuphepha
security forces	imibutfo yetekuvikela
sending and receiving	kutfumela nekutfola
sense of responsibility	umcondvo wekwenta umsebenti
sense of touch	imiva yekutsintsa
separate but equal	kuhlukana kodvwa kube kulingana
separate development	kutfutfukiswa ngekwehlukana
separation of powers	kuhlukaniswa kwemandla
services industry	imboni yetinsita
services rendered	imisebenti leyentiwe
set in motion	yenta kube nemnyakato
shortage of skills	kuswelakala kwemakhono
sitting of parliament	kuhlala kwephalamende
small town	lidolobha lelincane
social benefits	tinzuzo tetenhlalo
social capital	budlelwane emkhatsini kwebantfu lobubenta batsembane futsi baphilisane
social change	ingucuko kutenhlalo
social contract	inkhontileka yetenhlalo
social control	kulawula inhlalo
social development	intfutfuko kutenhlalo
social interaction	kucocisana enhlalweni
social justice	bulungiswa kutenhlalo
social movement	umtimba; inhlangano yetenhlalo
social security	kuvikeleka kutenhlalo
social services	tinsita tetenhlalo
social system	luhlelo lwetenhlalo
social upliftment	kutfutfukiswa kutenhlalo
social welfare	inhlalakahle kutenhlalo
socio-economic development	intfutfuko kutenhlalo netemnotfo
source of income	umtfombo wemali
source of information	umtfombo welwati
sovereign democratic state	Live lelitimele lelilandzela intsandvo yelinyenti
sovereign state	live lelitimele lelinenkhululeko
sphere of government	umkhakha wahulumende
standard of living	lizinga lemphilo
state assets	imphahla yahulumende
state emblem	luphawu lwahulumende
state emblem	luphawu lwembuso
state institutions	tikhungo tahulumende
state money	imali yahulumende
state of emergency	simo lesiphutfumako
state of mind	simo sengcondvo
state of the nation address	inkhulumo lemayelana nesimo selive
state revenue	imali yahulumende
status of women	simo kubomake
status quo	simo setintfo
statute book	incwadzi yemitsetfo
strategic management	kulawula ngendlelamasu
structural violence	budlova lobuhleliwe
struggle for liberation	umzabalazo wenkhululeko
subject for discussion	sihloko lekutawucociswana ngaso
subject to the provisions of	kutawuya ngetimiso te-
substantive motion	siphakamiso sekungetelela
supply and demand	kukhicita/kuniketa nekuswelakala
supreme law	Umtsetfo lomkhulu
sustainable development	intfutfuko lesimeme
sustainable economic growth	kukhula lokusimeme kutemnotfo
sworn in	kufungiswa
system of government	luhlelo lwahulumende
systems approach	indlela yetinhlelo
table of contents	lithebula lalokucuketfwe
take account of	khumbula loku lokulandzelako
take advantage of	kusebentisa litfuba le-
take an oath	kwenta sifungo
take cognisance of	kunaka loku/kufaka loku engcondvweni
take cognizance of	kunaka loku/kufaka loku engcondvweni
take into consideration	kunaka loku/kufaka loku engcondvweni
take off	kusuka kwendizamshini
take off	sisusa sentfo
task team	licembu lelikhetselwe kwenta umsebenti lotsite
tax revenue	imali yentsela
technical services department	litiko lemisebenti yethekhinikhi
term budget	ibhajethi yethemu
terms and conditions	imibandzela nemigomo
terms of reference	tivumelwano lekutawubukwa kuto
terms of trade	tivumelwano sekuhwebelana
the Cold War	imphi yemagama
the East	eMphumalanga
the West	Inshonalanga
the common good	buhle lobuvamile
the disadvantaged	labo labangenamatfuba kahle
the historically disadvantaged	labo bebancishwe ematfuba phambilini
the masses	linyenti
the powers that be	noma ngabe ngubani lophetse
the right	lilungelo
the services	imisebenti; tinsita
the struggle	umzabalazo
the voiceless	labo labangakhoni kutikhulumela
thousand and one	inkhulungwane nakunye
time of arrival	sikhatsi sekufika
time of departure	sikhatsi sekuhamba
title deed	ititiyela
to and fro	kuya nekubuya
to bear fruit	kutsela titselo
to the effect that	kwagcina kubanga kutsi ...
top management	baphatsi labakhulu
top secret	imfihlo lenkhulu
total onslaught	kushaya ubhuce
track record	emarekhodi langumlandvo wakho
trade relations	budlelwano bekuhwebelana
trade union	inyonyana yetisebenti
trading partner	umlingani wetekuhwebelana
traditional leadership	buholi bendzabuko
traffic control	tekulawula kuhamba kwetitfutsi
training facilities	indzawo yekucecesha
training institution	sikhungo sekucecesha
transition to democracy	kugucukela kuntsandvo yelinyenti
translation of the Bible	kuhunyushwa kweBhayibheli
tree of knowledge	sihlahla selwati
tree of life	sihlahla semphilo
umbrella body	Umtimba lomkhulu
unanimous concurrence	kuvumelana kwawonkhewonkhe
under the auspices of	ngaphansi kwebuholi
under the auspices of	sandla sa-;  umusa we
under the authority of	kuba ngaphasi kwebuholi ba-
unemployment rate	lizinga lekuswelakala kwemisebenti
unfair discrimination	kubandlululwa ngendlela lengasikahle
unique people	bantfu labangafani nalabanye
united nations organisation	tinhlangano temave labumbene
university of technology	inyuvesi yebuchwepheshe
unreserved postal service	tinsita tekuposa letingakagodlwa
up to date	kahle
up to standard	kuba sezingeni
upper middle class	bantfu labasezingeni lelisemkhatsini wangetulu
urban area	indzawo lesedolobheni
urban centre	sikhungo sasedolobheni
urban development	kutfutfukisa tindzawo tasemadolobheni
urban renewal	kuvuselela tindzawo tasemadolobheni
value system	luhlelo lolunenkhokhelo
violation of human rights	kuphula emalungelo eluntfu
violence against children	budlova ebantfwaneni
violence against women	budlova kulabasikati
voice of the people	live lebantfu
vote in favour	votela kwesekela
vote of thanks	emagama ekubonga
vote of thanks	emvi ekubonga;  kubonga
waste management	kulawula inkhukhuma
ways and means	tindlela tekwenta lokutsite
welfare state	hulumende lophisanako ngetinsita
winds of change	sikhatsi setingucuko
winter rainfall region	sifundza semvula yebusika
with effect from	kusukela nga-
with the sun	ngelilanga
with the wind	ngemoya
within a radius of	ngekhatsi kwemjikeleto we-
within the limits	kuba ngekhasi kwelizinga lelibekiwe
word of welcome	livi lekwemukela
working group	licembu lekwenta umsebenti
world community	ummango wemhlaba wonkhe
you are here	nyalo ulapha
