ABET	Imfundvo yalabadzala; I-ABET; 
bought	tsenga; 
bound	phetsa; hlanganisa; 
boundaries	iminyele; 
boundary	umncele; 
box	libhokisi; 
boy	umfana; 
boys	bafana; 
brackets	bakaki; 
branch	 ligala; ligatja;  phambuka; 
branches	emagala;  phambuka;  emagatja; 
brand	luphawu;  umkhicito; 
brave	nesibindzi; 
bravery	buchawe; 
breach	 lufa; lisango;  kwephula umtsetfo noma sivumelane;  ingcamu; 
breadth	bubanti; 
break	ephula;  kuphula umtsetfo;  kubhodlabhodla; 
breakdown	 kwephuka; kuhlatiya; 
breakfast	 kudla kwasekuseni; kusukusula; 
breaking	kuhlephula sinkhwa; 
breakthrough	imphumelelo; 
bridge	libhuloho; 
bridging	 hlanganisa; kuhlanganisa; 
brief	 imininingwano leniketwa ummeli wasemajajini; niketa ummeli wasemajajini imininingwano; 
briefed	 kuniketa ummeli wasemajajini imininingwane; tifinyeto;  imininingwane leniketwa ummeli wasemajajini; -finyetiwe;  tjeliwe; 
briefly	kafishane; 
briefs	 ticondziso;  imiyalelo; chatsatela; imininingwane; 
bring	 letsa; kuletsa; 
bringing	 letsa; kuletsa; 
brings	letsa; 
broad	-banti; 
broad-based	sisekelo lesibanti;  umkhakha lobanti; 
broadband	 sheshisako; kusebenta ngekushesha; Umkhakhubanti; 
broadcast	kusakatwa; 
broadcaster	umsakati; 
broadcasters	basakati; 
broadcasting	kusakata; 
broaden	nweba; khulisa;  yenta kube banti; 
broadening	kukhulisa;  kwenta kube banti; kunwena; 
broader	-banti; 
broadly	ngalokubanti; 
brochure	incwajana lechazako; 
brochures	 incwajana lechazako; emabhrosha; 
brother	umnaka;  umnaketfu; 
brothers	banaka;  bobhuti; 
brought	letsile; 
brutal	 -ngesihluku; -nesihluku; 
brutality	 lunya;  sihluku; budlova; 
budget	ibhajethi;  liphakelo;  bhajetha; 
budgetary	 mayelana nemcombelelotimali; mayelana nelwabiwomali; 
budgeted	kwenta liphakelomali;  kwenta ibhajethi; kubhajetha; 
budgeting	kubhajetha; 
budgets	 liphakelo; emabhajethi; imicombelelomali; 
buffalo	inyatsi; 
build	 akha; yakha; 
build-up	kugcwalelana ndzawonye; 
buildings	takhiwo; 
built	 -akhiwe; yakha; 
bulk	ngebunyenti;  -ngebukhulu; bunyenti; 
burden	inkinga;  niketa inkinga; umtfwalo; 
buried	-ngcwatjwe; 
burning	kusha; 
bursaries	imifundzate; 
bursary	umfundzate; 
bury	ngcwaba; 
bus	ibhasi; 
business	ibhizinisi; 
businesses	emabhizimisi; emabhizinisi; 
busy	matasatasa; 
but	kodvwa;  kepha; 
buy	tsenga; 
by	nge-; 
cabinet	libandla letindvuna tembuso;  ikhabhinethi; 
calculate	bala; 
calculated	bala; 
calculating	bala; 
calculation	kubala; 
calendar	ikhalenda; 
call	lucingo;  bita; 
called	 shayelwe lucingo; shayele lucingo; bitiwe; 
calling	lubito; 
calls	tincingo; 
came	fikile; 
camp	ngenisa;  inkambu;  kamba; 
campaign	umkhankhaso; 
campaigns	imikhankhaso; 
camps	 tinkambu; kukhempa; ngenisa; 
campus	ikhempasi; indzawo yekuhlala esikolweni; 
campuses	tindzawo tekuhlala esikolweni; emakhempasi; 
can	likani; 
can't	angeke; -ngakhoni; 
cancel	 cisha; misa; khansela; cima;  bulala;  sula; 
cancellation	 kucisha;  kucima;  kwesula; kumisa; 
cancelled	 cimisiwe; khansela; -cishiwe;  misiwe;  suliwe;  cishiwe; 
cancer	 umdlopha;  ikhensa; umhlata; 
candidate	lohlolwako; 
candidates	 bamelilukhetfo;  emakhandidethi; bamelikukhetfwa; 
cannot	angeke; -ngakhoni; 
cant	angeke; 
can’t	-ngakhoni; 
cap	nikwa litfuba lekudlala;  emahlandla ekudlalela sive; 
capabilities	kukhona;  emakhono; 
capability	kukhona; 
capable	-nemandla; 
capacities	imitsamo; 
capacity	umtsamo; 
capacity-building	kutfutfukisa emakhono; 
cape	ingoni;  siphika; 
capita	ngekulingana; 
capital	 imali yekucala umsebenti;  imali yekucala ibhizinisi; inhlokodolobha; 
caps	 kunikwa litfuba lekudlala; emakepisi; emahlandla ekudlalela sive; 
capture	tfumba; 
captured	-tfunjiwe; kubanjwa; 
captures	tfumba; tfwebula; 
car	 imoti; imoto; 
carbon	ikhabhoni; 
cards	emakhadi; 
care	kunakekela;  nakekela; 
career	umsebenti; 
careers	imisebenti; 
careful	ngekunakekela; 
carefully	 ngekunakekela; ngekucophelela; 
cargo	umtfwalo; 
caring	kunakekela;  nakekela; 
carpet	imati; 
carried	tfwele-; tfwelwe-; 
carries	tfwala; 
carry	tfwala; 
carrying	tfwala; kwendlulisa inombolo; 
case	 libhokisi; licala; 
cases	emacala;  emabhokisi; 
cash	imali; 
cast	jikijela; 
catch	bamba; 
categories	 imikhakha; sigaba; 
category	sigaba;  luhlelo; 
cater	kwentela bantfu kudla; niketa lokudzingekako; 
catering	 kuniketa lokudzingekako; kwentela bantfu kudla; 
cattle	tinkhomo; 
cause	imbangela;  sisusa; 
caused	-bangelwe;  -suselwe; 
causes	timbangela; 
causing	bangela; 
cave	umhume; 
caves	imihume; imihhome; 
cease	yekela; 
ceases	yekela;  yekela; 
celebrated	-gubhe umkhosi; 
celebrates	-gubha umkhosi; 
celebrating	-gubha umkhosi; 
celebration	kugubha umkhosi; 
celebrations	imikhosi; 
cell	 iseli; lilahle; 
cells	emeli;  emaseli; tinhlayiya; 
cellular	iselula; 
census	lubalo; 
censuses	lubalo; lubalobantfu; 
cent	lisenti; 
centenary	umnyakalikhulu; 
center	 tinkhaba; tikhungo;  imikhatsi; 
central	emkhatsini; 
centre	sikhungo;  inkhaba;  umkhatsi; 
centres	 tinkhaba; tikhungo;  imikhatsi; 
centuries	 umnyakakhulu; emakhulu; iminyakalikhulu; 
century	 iminyaka lelikhulu;  umnyakakhulu; likhulu; 
ceremonial	ngekwemcimbi;  ngekwemgubho; 
ceremonies	imicimbi;  imigidvo; 
ceremony	umcimbi;  umgidvo; 
certain	kuciniseka; -nesiciniseko; 
certainly	ngekuciniseka; 
certainty	kuciniseka; 
certificate	sitifiketi; 
certificates	titifiketi; 
certification	kuvunywa ngekwemtsetfo;  kwenta kube semtsetfweni; 
certified	kuvunywa ngekwemtsetfo;  kwenta kube semtsetfweni; -lokucinisekisiwe; 
cession	sikhatsi salokutsite; 
chain	luketane; 
chair	 situlo; sihlalo; 
chaired	sihlalo;  kuba ngusihlalo; 
chairman	sihlalo; 
chairperson	sihlalo; 
chairpersons	bosihlalo; 
challenge	incabhayi;  insayeya;  -banga;  cela inselele;  kubanga; 
challenged	 tinsayeya; tinkinga;  -banga;  tincabhayi;  kubanga; 
challenges	-sukelwe;  kucela insayeya; kubanga;  tincabhayi;  kunika tinsayeya; 
challenging	kulukhuni;  kuphoca;  kuhlokolota;  kuyabita;  kunikwa insayeya; 
chamber	ligumbi; 
chambers	emagumbi;  emagumbi ekubambela umhlangano; 
champion	ingcwele; 
champions	boshampeni; 
championship	 bushampeni; bumpetsa; 
championships	bumpetsa’ bushampeni; 
chance	litfuba; ishansi; 
change	 ntjintja; ingucuko;  intjintji; 
changed	 -njtintjile; -gucukile; tintjintja;  ; 
changes	 tingucuko;  tintjintji; tingucuko;  kuntjintja; 
changing	 ntjintji; -gucuka;  -ntjintja; ntjintja; 
channel	umsele;  lawula; 
channels	ticondziso; imigudvukusakata;  imisele; 
chapter	sehluko; 
chapters	tehluko; 
character	similo;  umdlali;  umlingiswa; 
characterised	khombisa;  lingisa;  bonakala; 
characteristic	luphawu;  phatselene nesimilo;  -neluphawu; 
characteristics	timphawu;  imikhuba; 
characterize	lingisa; 
characterized	khombisa;  lingisa; bonakala; 
characters	 balingiswa;  timilo; badlali; 
charge	 imbadalo;  kubekwa licala;  gcwalisa; licala; 
charges	emacala;  tinkhokhelo;  tinhlawulo;  faka emandla; 
charter	lishadi lesivumelwano;  lishadi lesivumelwane; 
chartered	 lishadi lesivumelwane; kuvumelana; 
check	 vimba; kuvimba; 
checked	hlola; 
chemical	ikhemikhali; 
cheque	lisheke; 
chief	sikhulu;  shifu; 
child	umntfwana; 
childhood	buntfwana; 
children's	kwebantfwana; 
china	Ishayina; titja tesilumbi telibumba; 
choice	kukhetsa; 
choices	kukhetsa; 
choir	likwaya; 
choose	khetsa; 
chose	khetsa; 
chosen	-khetsiwe; 
chronic	kugula lokutsatsa sikhatsi lesidze kwleapheka; 
church	 libandla lelisontfo;  indlu yelisontfo; lisontfo; 
churches	 tindlu telisontfo;  emasontfo; emabandla elisontfo; emasontfo; 
cinemas	bobhayisikobho;  emasinema; 
circumstances	timeko; 
cite	samanisa; 
cited	-cashunwe; 
cities	emadolobhakati; 
citizen	sakhamuti; 
citizenry	simo sekuba sakhamuti; 
citizens	takhamuti; 
citizenship	buve; 
city	umutikati;  lidolobhakati; 
civic	kuhlalisana kwebantfu;  phatselene nelidolobha; 
civil	kuhlalisana kwebantfu; phatselene nebuve; 
claim	 sibito; banga;  bita; 
claimed	kufaka sicelonkhokhelo; banga;  bita; 
claims	 ticiniseko; ticelonkhokhelo; kutentisa;  tibito; 
clarification	kucacisa; 
clarify	cacisa; 
clarity	kucacisa; 
class	 sibaya; sigaba;  liklasi;  lizinga; 
classes	 tigaba;  emaklasi; emazinga; 
classic	kwelikhetselo; 
classical	-kwakadzeni; 
classics	kwelikhetselo; 
classification	luhlelo; 
classroom	 liklasi; ligumbi lekufundzela; 
clause	sigatjana; 
clauses	tigatjana; 
cleaning	kwenta kuhlobe; 
clear	 -balele; balela; 
clearance	sikhala; kususa; 
clearing	kususa; 
clearly	ngalokucacile; 
click	chafata;  ngwacabatfwa; 
client	umtsengi;  ummelwa; 
clients	 emaklayenti;  batsengi; emakhasimende; 
climate	simo selitulu; 
clinic	umtfolamphilo; 
clinical	kwelashwa; kuhlolisisa; 
clinics	imitfolamphilo;  emakliniki; 
close	dvute;  mbonya; 
closed	-valiwe; 
closely	dvutane; 
closer	 dvute kakhudlwana; sondzele; 
closing	kusondzela kakhulu; kuvala; 
closure	kwemukela;  kuvala; kuvaleka; 
closures	 tindzawo tekuvalela; kuvala; 
clothing	tembatfo;  kwekwembatsa; 
club	licembu; 
clubs	emacembu; 
cluster	licembu; 
co-operation	kubambisana;  inhlanganyela; 
co-operative	-nekubambisana; 
co-ordinate	hlanganisa; 
co-ordination	kuhambisana;  kuhlanganisa; 
co-production	kukhicita ngekubambisana; 
coach	 cecesha; ibhasi;  umeluleki;  umceceshi; 
coal	emalahle;  lilahle; 
coast	lugu; 
coastal	ngaselugwini; kwaselugwini; 
coat	boya; 
code	ikhodi; 
codes	emakhodi; 
coherent	 kuvakala; kubumbana; 
cohesion	kunamatselana;  kubumbana; kuhlangana;  kuvana; 
cohesive	kuhlangana; 
cold	 lichwa; umkhuhlane;  -bandza;  kubandza; 
collaborate	kubambisana;  kusebentisana; 
collaboration	kubambisana;  kusebentisana; 
collaborative	kubambisana;  kusebentisana; 
colleagues	bantfu losebenta nabo; 
collect	 -butsa; butsa;  gcogca; 
collected	-butsile;  -gcogcile; 
collecting	kugcogca;  kubutsa; 
collection	lokubutsiwe; 
collections	emagcogco; 
collective	ngekuvana;  ngekubumbana; 
collectively	ngekuvana;  ngekubumbana; 
colleges	emkolishi; emakolishi; 
colloquium	ingcungcutsela yetemfundvo;  inkhomfa yetemfundvo; 
colonies	 imihlambi; emave latfunjiwe;  titfunjwa; 
colour	umbala; 
coloured	-mabhadvubhadvu; 
colours	imibala; 
column	luhlu;  sicheme;  insika; 
combat	kulwa; vimba; 
combating	kulwa;  kuvimba; 
combination	 inhlanganisela;  kuhlanganisa; kwakhiwa; 
come	wota; 
comedy	umdlalohlaya; 
comes	wota; 
coming	kuta; 
command	umyalo;  kulayela; 
commas	bokhoma; 
commemorate	 gubha umkhosi; khumbula; 
commemorating	kukhumbula;  kugubha umkhosi; 
commemoration	sikhumbuto; 
commemorative	kugujelwa umkhosi wekukhunjulwa; kukhunjulwa; 
commence	kucala kwenta lokutsite;  kucala kusebenta; 
commenced	calile; 
commencement	kucala kwenta lokutsite;  kucala kusebenta; 
commencing	kucala kwenta lokutsite;  kucala kusebenta; 
commend	kuncoma; 
commendable	kuncomeka; 
commensurate	kuhambisana; 
comment	umbono; 
comments	imibono; 
commercial	 phatselene nekuhweba; sikhangiso; 
commission	ikhomishini; 
commissioned	ikhomishini; 
commissioner	umfungisi; 
commissioners	bafungisi;  emancusa; 
commissions	ikhomishini; 
commit	kutinikela; 
commitment	kutinikela; 
commitments	tibopho; kutinikela; 
commits	kutinikela; 
committed	kutinikela; 
committee	 ikomidi; likomiti; 
committee's	kwelikomidi; 
committees	emakomidi;  emakomiti; 
committing	kwenta licala; 
commodities	timphahla tekutsengiselana;  timphahla tekuhweba; 
commodity	 imphahla yekutsengiselana; imphahla yekuhweba; 
commonly	ngalokuvamile; 
commonwealth	inhlangano yetive; 
communal	kwemmango; kwawonkhe; 
communicate	chumana; 
communicated	-chumane; 
communication	kuchumana;  tekuchumana; 
communication-related	phatselene neluchumano;  phatselene nekuchumana; 
communications	kuchumana; 
communities	imimango;  bantfu emmangweni; 
community	umphakatsi;  ummango; 
community-based	kwemmango; emmangweni; 
companies	tinkampani; 
company	inkampani; 
comparability	kucatsaniseka; 
comparable	catsaniseka; 
comparative	kucatsaniseka; 
compare	linganisa; 
compared	linganisa; catsanisa; 
comparison	kucatsanisa;  kuchatsanisa; 
compassion	luvelo; 
compatriot	umkhaya; 
compatriots	bomkhaya; bantfu bakitsi; 
compelled	bopheleka; cindzeteleka; 
compelling	bophelela;  cindzetela; 
compensate	ncemphetela; 
compensation	sincesitelo; 
compete	 phikisana; chudzelana; 
competence	 kwati; likhono; 
competencies	 kwati; likhono; 
competency	 kwati; likhono; 
competent	 kuba nelikhono; kwati; 
competition	umncintiswano; 
competitive	kuncintisana;  kucudzelana; 
competitiveness	kuncintisana;  kucudzelana; 
compilation	kuhlanganisa; 
compile	gcogca; 
compiled	-gcogcwe; 
complainant	ummangali; 
complaint	sikhalo; 
complaints	tikhalo; 
complementary	gcwalisako; 
complete	-phelele;  -cedza; 
completed	-cedziwe;  -phetsiwe; 
completely	ngalokuphelele; 
completing	kucedza;  kucedzela; 
completion	kuphetsa;  kucedzela; 
compliance	kuhambisana; 
complied	hambisane; 
complies	hambisana; 
comply	hambisana; 
complying	hambisana; 
component	incenye; 
components	incenye leyakhako; 
composed	yakhiwe; 
composition	 kucamba;  indzaba; umsebenti;  kwakheka;  kwakhiwa; 
comprehensive	fake konkhe ekhatsi; khulu;  banti; 
comprehensively	kakhulu;  kabanti; 
comprise	fake ekhatsi; 
comprises	faka ekhatsi; 
comprising	kufaka ekhatsi; 
compromise	kwemukela;  emukela; 
compromised	kwemukela;  emukela; 
computer	ikhompuyutha;  ngcondvomshini; 
computers	Emakhompuyutha; bongcondvomshini;  bongcondvomshini; 
comrade	umbutfo; 
comrades	emabutfo; 
conceived	 mitsa; kumitsa; 
concentration	kutintisa ingcondvo; 
concept	umcondvo; 
concepts	imicondvo; 
concern	kukhatsateka; 
concerned	kukhatsateka; 
concerning	mayelana;  phatselene; 
concerns	phatsele; mayelana; 
concert	ikhonsathi; 
conciliation	kucolelana;  kubuyisana; 
conclude	phetsa; 
concluded	 phetsa; -phetsiwe; 
concludes	phetsa; 
conclusion	siphetfo;  kuphetsa; 
concrete	bonakalako; 
concurrence	kuhambisana; 
concurrent	ngasikhatsi sinye; 
condemned	sola;  jezisa; lahla; 
condemns	sola;  jezisa; lahla; 
condition	simo;  kugula;  umbandzela; 
conditional	ngekwembandzela; 
conditions	simo; 
condolences	kulilisa; 
condom	ikhondomu;  lijazi lemkhwenyane; 
condoms	emakhondomu;  emajazi lemkhwenyane; 
conducive	kukahle;  simo lesihle; 
conduct	 phatsa; kutiphatsa; 
conducted	 -phatfwe; -bhidiswe-; hambisa; kutiphatsa; 
conducting	 hambisa;  phatsa; bhidisa; kutiphatsa; 
conducts	 hambisa;  phatsa; bhidisa; kutiphatsa; 
confer	niketa;  phani; tfwesa; nika; 
conference	 inkhomfa; ikhomfa; 
conferences	tinkhomfa; tikhomfa; 
conferred	niketa; tfwesile;  nikile;  phile; 
confidence	 kutsembela; kutetsemba; 
confident	 -nekutetsemba; kutetsemba; 
confidential	 -kwemfihlo; lokuyimfihlo;  -yimfihlo; 
confidentiality	kuba nesifuba; 
confirm	cinisekisa;  vuma; 
confirmation	 kuciniswa; kucinisekisa; 
confirmed	cinisekisiwe; 
confirms	cinisekisa;  vuma; 
confiscation	kwemukwa; 
conflict	kungcubutana;  ingcabano; 
conflicts	 tincabano; kungcubutana; 
confront	kunika insayela;  kulwa;  kunika incabhayi; kubukana; 
congratulate	bongela; halalisela; 
congratulates	bongela; halalisela; 
congratulating	kuhalalisela;  kubongela; 
congratulations	kuhalalisela;  halala;  kubongela; 
congress	inhlangano; 
conjunction	sihlanganiso; 
connect	hlanganisa; 
connected	hlangene; 
connection	kuhlanganisa; 
conscience	 satela; nembeza; 
consciousness	-sesimeni sekuva; 
consecutive	-landzelanako; 
consensus	kuvumelana; 
consent	 vumela; imvume; 
consequence	umphumela; 
consequences	imiphumela; 
consequential	umphumela;  balulekile; 
consequently	ngako-ke;  ngenca yekutsi; 
conservation	konga;  kulondvolota; 
conserve	 vikela; kulondvolota;  londvolota; 
consider	 -cabanga; cabanga;  cabangisisa; 
considerable	 -khulu; balulekile;  bonakalako; 
considerably	ngalokubonakalako;  ngalokubalulekile; 
consideration	 umklomelo;  umcabango; kucabanga;  inkhokhelo; 
considerations	 imiklomelo; imicabango;  tinkhokhelo; 
considered	catjangelwe; catjangiwe; 
considering	 -cabanga; cabanga;  cabangisisa; 
considers	 -cabanga; cabanga;  cabangisisa; 
consist	 yakheke-; faka ekhatsi; entiwe; 
consistency	kungagucuki; kwenta intfo ngalokungenamkhawulo;  kwenta intfo ngalokuchubekako;  kutiya; 
consistent	kwenta intfo ngalokungenamkhawulo;  kwenta intfo ngalokuchubekako; 
consistently	ngalokungenamkhawulo; 
consisting	 -entiwe;  yakheke-; faka ekhatsi; 
consists	 yakheke-; faka ekhatsi; 
consolidate	hlanganisa; 
consolidated	hlanganisiwe; 
consolidation	kunhlanganisa; kuhlanganisa; 
constantly	njalo nje; 
constitute	yakha; 
constituted	yakha; 
constitutes	yakha; 
constitution	umtsetfosisekelo; 
constitutional	ngekwemtsetfosisekelo; 
constitutions	imitsetfosisekelo; 
constraints	titsibelo; 
construct	akha; yakha; 
constructed	 -akhile; yakhiwe;  yakhile; 
construction	kwakha;  kwakhiwa; 
constructive	kuyakha; 
construed	 humusha; hlatiya;  visisa; 
consult	chumana;  bonana; 
consultant	umeluleki; 
consultants	tiningalwati; 
consultation	 kubonana; kubonisana; 
consultations	 kubonana; kubonisana; 
consultative	 phatselene nekubonisana; mayelana nekubonisa; 
consulted	chumana;  bonana; 
consulting	chumana;  bonana; 
consumables	-dliwako; 
consumer	umtsengi; 
consumers	batsengi; basebentisimphahla; 
consumption	kusebentisa; 
contact	tsintsa;  kweyamana; 
contacts	bantfu lotsintsana nabo; 
contained	-cukatfwe; 
container	 kwekuphatsa; sicukatsi; 
containers	timumatsi; ticukatsi; 
containing	kucukatsa; 
contains	cukatsa; 
contemplated	catjangwe; 
contemporary	-kwanyalo; 
contempt	 indzelelo;  kweyana; kungahloniphi; 
content	lokucuketfwe; 
contents	lokucuketfwe;  umtsamo; 
context	 ingcikitsi; 
continent	sifundza;  livekati; 
continental	kwelivekati; welivekati; -yelivekati; 
continents	tifundza; emavekati; 
contingency	sehlakalo;  lokungahle kuvele; 
contingent	sehlakalo;  lokungahle kuvele; 
continuation	lokuchubekako; 
continue	chubeka; 
continued	-chubeka; 
continues	-chubeka; 
continuing	-chubeka; 
continuity	kuchebeka; 
continuous	kuyachubeka; sikhatsi lesisachubeka; 
continuously	ngalokuchubekako;  chubekako; 
contract	inkontileka;  nciphisa;  kufinyela; 
contracted	 kufaka kunkontileka; kunciphisa;  kufinyela; 
contracting	 kufaka kunkontileka; kunciphisa;  kufinyela; 
contractor	losebenta ngekontileka; 
contractors	bosokontileka;  labasebenta ngekontileka; 
contracts	 emakontileka; inkontileka; 
contractual	kwekontileka; 
contrary	ngalokuphikisako; lokuphikisako; 
contrast	umehluko;  kucatsanisa; 
contravenes	-phula;  phikisa; 
contravention	 kwephula; kuphikisa; 
contribute	 nikela;  faka ligalelo; nikela; faka sandla; 
contributed	 -nikela; fake ligalelo; nikele;  fake sandla; 
contributes	 nikela;  faka ligalelo;  faka sandla; emagalelo; 
contributing	 kufaka sandla;  kufaka ligalelo; kunikela; 
contribution	 kufaka sandla;  umnikelo; ligalelo; 
contributions	 kufaka sandla; emagalelo; iminikel; 
contributor	 umfakisandla;  lophako; umfakigalelo; umnikeli; 
contributors	basiti;  labanikelako; bafakigalelo;  bafakisandla; 
control	 kulawula;  phatsa; kuphatsa;  lawula; 
controlled	 kulawula;  phatsa; kuphatsa;  lawula; 
controlling	 kulawula; kuphatsa; 
controls	tilawuli;  kulawula; kuphatsa; 
convene	bita umhlangano; 
convened	bite umhlangano; 
convention	inhlangano;  lisiko;  sivumelwano; 
conventional	ngekwelisiko; 
conventions	tinhlangano;  tivumelwano;  emasiko; 
convergence	kuhlangana;  kubutsana; 
conversation	ingcoco; 
conversations	tingcoco; 
conversion	 kuphendvuka; ingucuko;  kugucula; 
convert	gucula; 
converted	 guculiwe; Gucukile; 
convey	kundlulisa; 
convict	siboshwa; 
convicted	kuboshwa; 
conviction	kulahlwa licala;  sehlulelo; kubekwa licala; 
convinced	kukholwa;  kwenetiseka; 
cookie	emakukisi; 
cooperation	kusebentisana; lubanjiswaso; 
cooperative	-kubambisana; 
cooperatives	emakoporasi; 
coordinate	kuhlangana;  chumanisa; 
coordinated	-hlanganisa; 
coordinating	kuhlanganisa; 
coordination	kuhlelembisa; 
cope	i-cope; 
copies	emakhophi; 
copy	ikhophi;  kopa; 
core	inhlitiyo; 
corner	 likona; likhona;  lijika; 
cornerstone	sisekelo; 
corporate	-hlangene; ikoporasi; 
corporation	ikoporasi; inhlangano; 
corporations	tinhlangano;  emakoporasi; 
corps	umbutfo wetemphi; 
correct	kulungile;  lungisa; 
correction	kulungisa; 
correctional	bulungiswa; 
corrections	tilungiso; 
correctly	ngalokunguko; 
correspondence	 luchumano; kuhambisana; 
corrupt	 khohlakala; -onakele; 
corruption	inkhohlakalo; 
cost	intsengo; 
cost-effective	konga imali;  kubita tindleko letincane; 
costs	tindleko;  tintsengo; 
could	kukhona kwenta lokutsite; nga-; 
council	umkhandlu; 
councillor	 lilunga lelibandla; likhansela; 
councillors	emakhansela;  emalunga lelibandla; 
councils	imikhandlu; 
counsel	 sicondziso; yeluleka; seluleko; 
counselling	kweluleka;  kweluleka ngekwengcondvo; 
count	bala; 
countdown	kubalela emuva; 
counterclaim	inkhulumu lephikisa yaphambilini; 
counterpart	zakwetfu; lokufana nalokunye; 
counterparts	bozakwetfu; lokufana nalokunye; 
countries	emave; 
country	live; 
country's	kwelive; 
countrywide	kuvelonkhe;  eveni lonkhe; 
couple	 bhanca; lokubili; 
coupled	kuhlangene;  bhanca; 
coupon	 sigcebhezana; lithikithi; ikhuphoni; 
courage	sibindzi; 
course	kwewusa;  tigaba tekudla; 
courses	 tigaba tekudla; tifundvo; 
court	inkantolo;  likhotho; 
court's	kwenkantolo; 
courtesy	kuhlonipha; 
courts	tinkantolo; 
cover	vala;  faka ekhatsi;  ikhava; 
coverage	kufinyelela; 
covered	khulunyiwe ngako; valiwe; 
covering	sikhumba;  sivikelo;  simbonyo; 
covers	 emakhava;  khuluma ngako; faka ekhatsi; 
covet	fisa; 
coveted	fisa; 
cradle	umbhedze wemntfwana; 
craft	umsebenti wetandla; 
crafter	umbati; 
crafters	babati;  labenta imisebenti yetandla; 
crafts	imisebenti yetandla; 
crater	ibhobo lenkhulu; 
create	akha; 
created	-akha; 
creates	-akha; 
creating	akha; 
creation	indalo; 
creative	-nelikhono lekuticambela; 
creativity	kuticambela; 
creator	umdali; 
creators	umdali; 
credibility	kukholeka;  kukholweka; kwetsembeka; 
credible	kohlweka;  mukeleka; tsembeka; 
credit	sikweledi;  sikwelede; 
creditor	umuntfu lokweletwako; unikisikweleti;  lokweletisako; lokweletwako; 
creditors	 labakweletwako; banikisikweleti; labakweletisako; 
credits	tikwelede;  nika sikweledi; 
creed	 lukholo; inkholelo; inkholo; 
crime	bugebengu; 
crimes	bugebengu; 
criminal	sigebengu; 
criminals	tigebengu; 
criteria	tindlela; 
criterion	simisomgomo; 
critical	 simo lesibucayi; balulekile; 
critically	 lokubucayi; ngalokubalulekile; 
crop	sivuno; 
crops	tilimo;  tivuno; 
cross	phambanisa;  siphambano;  kugoba; 
cross-border	 ngesheya kwemnyele; kulamanye emave; 
crucial	 baluleke kakhulu; balulekile; 
culminate	holela e-; 
culmination	 siphetfo; umphumela; 
cultural	-kwelisiko; 
culture	lisiko;  umhambo; 
cultures	emasiko; 
cup	inkomishi; 
curate	umsiti wemphristi; 
curator	umphatsi; 
curators	 umphatsibuciko; bagcinibuciko; 
currency	 luhlobo lwemali; imali yelive; 
current	 umsinga wagezi; umsinga; 
currently	 kwamanje; nyalo;  manje; 
curriculum	ikharikhulamu; 
curve	likhona;  lijika; 
custodian	umlondvoloti; 
custodians	balondvoloti; 
custody	 lilungelo lekugcina bantfwana; kuboshwa;  lilungelo lekugcina umntfwana; 
custom	lisiko; 
customary	ngekwelisiko; 
customer	umtsengi; 
customers	emakhasimende; 
customs	imihambo; 
cut	linceba;  linceba lekusikeka;  licatsa; 
cutting	lihlumela;  sitokwana; 
cycle	umjikeleto;  situngeletane; 
daily	onkhe emalanga; 
dam	lidamu; 
damage	 emadameshe; yona;  umonakalo;  limata;  bhidlita; 
damages	imonakalo;  limata; iminakalo;  bhidlita; 
dance	umdanso; 
dancers	badansi; 
dances	imidanso; 
danger	ingoti; 
dangerous	-nebungoti;  -yingoti; 
dark	 -mnyama;  -ntima;  bumnyama; kumnyama; 
data	 idatha; imininingwane; 
database	silululwati; 
databases	tilululwati; 
date	 faka lusuku; lusuku; 
dated	bhalwe lusuku lwamhlaka- kutikhipha kwebantfu; 
dawn	kusa;  ekuseni kakhulu; 
day	 lusuku; lilanga; 
days	emalanga; 
dead	 shonile;  -ndlule emhlabeni; -file; 
deadline	lusuku loluncunyiwe; umncamulajucu ; 
deaf	-ngeva etindlebeni; 
deal	 sivumelwano semsebenti; ibhizinisi; kubukana nalokutsite; 
dealer	umtsengisi; 
dealers	batsengisi; 
dealing	 kubukana nalokutsite; kucatulula ludzaba; 
deals	 tivumelwano;  kubukana nalokutsite;  tivumelwano temsebenti; emabhizinisi;  kucatulula ludzaba; 
dealt	 catululiwe; bukenwe nalokutsite; kubukana nalokutsite; 
dear	lotsandzekako; -tsandziwe; 
death	kufa; 
deaths	kufa; 
debate	 phikisana; inkhulumomphikiswano; 
debated	kukhulumakuphikisana; -phikisane; 
debates	tinkhulumomphikiswano; 
debt	sikweledi;  sikwelede; 
debtor's	kwalokweletako; 
debts	 tikwelede; tikweledi; 
decade	sikhatsi seminyaka lelishumi; 
decades	iminyakalishumi; iminyakashumi; 
deceased	-shonile; umufi; 
decent	lokukahle;  ngesitfunti; -ngekuhlonipha; 
decide	ncuma; 
decided	ncumile; khetsile; 
decides	ncuma; 
deciding	kuncuma; 
decision	sincumo; 
decision-making	kutsatfwa kwesincumo; 
decisions	tincumo; 
declaration	 simemetelo lesisemtsetfweni; simemetelo; 
declare	 memetela; -memetela; 
declared	memetele; -tfule; 
declares	 memetela;  -memetela; kufunga; 
decline	 umehlelo; yala; kwala; 
declined	-alile;  umehlelo;  walile; yala; 
declines	 yala;  umehlelo;  uyala; kwala; 
