Act of Parliament	Umthetho wePalamente
pass laws	imithetho yamapasi
pave the way	ukugabula izigcawu
peaceful coexistence	ukuhlalisana ngoxolo
peaceful demonstration	umboniso ngoxolo
peaceful transition	utshintsho ngoxolo
per capita	ngokwentloko nganye
performing arts council	ibhunga lobuchule bokulinganisa
permanent residence permit	imvume yokuhlala ngokusisigxina
pillar of strength	intsika yamandla
pilot project	iprojekthi enguvulindlela
place of safety	indawo yokhuselo
platinum group metals	iqela lezinyithi zeplatinam
play the lead	ukuba yinkokheli
playing field	ibala lemidlalo
point of contact	indawo yokuhlangana
point of view	umbono
police service	inkonzo yamapolisa
policy development	uphuhliso lomgaqo-nkqubo
policy environment	imekobume yomgaqo-nkqubo
policy formulation	uqulunqo lomgaqo-nkqubo
policy framework	isakhelo somgaqo-nkqubo
policy implementation	uphumezo lomgaqo-nkqubo
policy making	ukwenza umgaqo-nkqubo
policy statement	ingxelo yomgaqo-nkqubo
political context	umxholo wezopolitiko
political control	ulawulo lwezopolitiko
political development	uphuhliso lwezopolitiko
political dispensation	uyekelelo lwezopolitiko
political environment	imekobume yezopolitiko
political instability	ukungazinzi kwezopolitiko
political leadership	ubunkokheli bezopolitiko
political order	umyalelo wezopolitiko
political party	iqela lezopolitiko
political process	inkqubo yezopolitiko
political rights	amalungelo ezopolitiko
political system	inkqubo yezopolitiko
political tradition	isiko lezopolitiko
poor living conditions	iimeko zokuphila phantsi kwentlupheko
poorest of the poor	oyena ulihlwempu ngokugqibeleleyo
popular culture	isiqhelo esithandwayo
popular participation	ukuthatha inxaxheba okuthandwayo
popular sovereignty	ubulawuli obuthandwayo
population register	irejista yabantu
population size	ubalo lwabantu
portfolio committee	ikomiti yesikhundla
powers and functions	amagunya nemisebenzi
powers that be	abasemagunyeni
practical reality	inyaniso ephathekayo
praise singer	imbongi
precincts of parliament	amasango ePalamente
presiding officer	igosa elongameleyo
press freedom	inkululeko yamaphephandaba
primary health care	ukukhathalelwa kwempilo kuselithuba
private sector	icandelo labucala
professional ethics	iinqobo ngokomsebenzi
professional organisation	umbutho ngokomsebenzi
prophets of doom	umprofeti wentshabalalo
proportional representation	umelo ngokwalamana
provincial administration	ulawulo lwephondo
provincial budget	uhlahlo-lwabiwo-mali lwephondo
provincial government	urhulumente wephondo
provincial legislature	indlu yowiso-mthetho yephondo
provincial level	umphakamo wephondo
provincial sphere of government	isigaba sorhulumente wamaphondo
provision of services	ubonelelo lweenkonzo
public administration	ulawulo loluntu
public domain	ummandla woluntu
public expenditure	inkcitho yoluntu
public funds	iingxowamali zoluntu
public health	impilo yoluntu
public hearing	indibano yovavanyo-zimvo
public interest	umdla wolungu
public meeting	indibano yoluntu
public money	imali yoluntu
public office	iofisi yoluntu
public opinion	uluvo loluntu
public participation	ukuthatha inxaxheba koluntu
public policy	umgaqo-nkqubo woluntu
public relations officer	igosa lonxibelelwano loluntu
public sector	icandelo loluntu
public service	inkonzo karhulumente
public services	iinkonzo zikarhulumente
public transport system	inkqubo yezithuthi zoluntu
public works	imisebenzi yoluntu
public works programme	inkqubo yemisebenzi yoluntu
pumped storage scheme	isikimu sogcino olumpontshwayo
put a motion	ukwenza isindululo
put in writing	ukubhala phantsi
quality of life	impilo esemgangathweni
question paper	iphepha lemibuzo
quota system	inkqubo yekota
quota system	yezabelo
race relations	ubudlelwane bezizwe
racial equality	ulingano lwezizwe
racial segregation	ucalulo lwezizwe
rainbow nation	isizwe esiyimibalabala
range of vision	umgama wembono
rapid transit system	inkqubo yothutho olukhawulezayo
redistribution of land	ulwabiwo-kutsha lomhlaba
reference book	incwadi yesazisi
regional integration	ukumanya ummandla
register of members	irejista yamalungu
removal from office	ukususa esikhundleni
remuneration package	umqulu womvuzo
required to carry	umthwalo ofunekayo
reside in	ukuhlala
residence permit	imvume yobuhlali
resistance movement	umbutho woxhathiso
resistance to change	inkcaso yenguqu
resolution of conflict	ukusombulula impixano
resource base	isiseko sesibonelelo
responsible for	uxanduva malunga
restitution of land	ubuyiselo lomhlaba
restitution of land rights	ubuyiselo lwamalungelo omhlaba
return on investment	imbuyekezo yotyalomali
right of access	ilungelo lokufikelela
right to assemble	ilungelo lokuhlangana
right to human dignity	ilungelo lesidima sobuntu
right to life	ilungelo lokuphila
right to privacy	ilungelo lokuba nemfihlo
right to strike	ilungelo lokuqhanqalaza
right to vote	ilungelo lokuvota
rights and privileges	amalungelo neemfaneleko
rise and fall	ukuphakama nokuwa
rite of passage	isiko lokungena kwisigaba esithile
road network	uthungelwano lweendlela
road show	umboniso ojikelezayo
rule of law	ulawulo lomthetho
rules and orders	imigaqo nemiyalelo
rules of debate	imithetho yengxoxo
rules of natural justice	imithetho yobulungisa ngokwendalo
rules of procedure	imithetho yenkqubo
ruling party	iqela elilawulayo
rural development	uphuhliso lwamaphandle
school library service	inkonzo yelayibrari yesikolo
school nutrition programme	inkqubo yesondlo yesikolo
science and technology	ezobunzululwazi nobuchwepheshe
search and rescue	ukuzingela nokuhlangula
seat of government	indlunkulu yorhulumente
security clearance	ukucoca ukhuselo
security forces	imikhosi yokhuselo
sending and receiving	ukuthumela nokwamkela
sense of responsibility	uluvo loxanduva
sense of touch	uluvo lokuthinta
separate but equal	ukwahluka kodwa kulinganwa
separate development	uphuhliso olwahluliweyo
separation of powers	ukwahlulwa kwamandla
services industry	ishishini leenkonzo
services rendered	iinkonzo ezinikelweyo
set in motion	ukundulula
shortage of skills	ukunqongophala kwezakhono
small town	idolophana
social benefits	amancedo entlalo
social capital	indlunkulu yentlalo
social change	utshintsho lwentlalo
social contract	ikontraki yentlalo
social control	ulawulo lwentlalo
social development	uphuhliso lwentlalo
social interaction	uthungelwano lwentlalo
social justice	ubulungisa bentlalo
social movement	umbutho wentlalo
social security	ukhuseleko lwentlalo
social services	iinkonzo zentlalo
social system	inkqubo yentlalo
social upliftment	uphakamiso lwentlalo
social welfare	intlalontle yoluntu
socio-economic development	uphuhliso loqoqosho lwezentlalo
source of income	umthombo wengeniso
source of information	umthombo wolwazi
source of water	imvelaphi yamanzi
sovereign democratic state	umbuso ozimeleyo wedemokhrasi
sovereign state	umbuso ozimeleyo
sphere of government	iphiko likarhulumente
standard of living	izinga lempilo
state assets	iimpahla zombuso
state emblem	imbasa yombuso
state institutions	amaziko ombuso
state money	imali yombuso
state of emergency	imo yonxunguphalo
state of mind	ubume bengqondo
state of the nation address	intetho yobume besizwe
state revenue	ingeniso yombuso
status of women	imo yabasetyhini
status quo	imeko yelo xesha
statute book	incwadi yemithetho
strategic management	ulawulo ngobuchule
structural violence	udushe oluhleliweyo
struggle for liberation	umzabalazo wenkululeko
subject for discussion	umxholo wengxoxo
subject to the provisions of	ngokulawulwa yimigaqo ye-
substantive motion	intshukumo ezimeleyo
supply and demand	unikelo nemfuno
supreme law	owona mthetho uphezulu
sustainable development	uphuhliso oluzinzileyo
sustainable economic growth	uhlumo loqoqosho oluzinzileyo
sworn in	ukufungiswa
system of government	inkqubo yorhulumente
systems approach	iinkqubo zofikelelo
table of contents	uluhlu lweziqulatho
take account of	ukuthathela ingqalelo
take advantage of	ukusebenzisa uncedo
take an oath	ukufunga
take cognisance of	ukunakana
take cognizance of	ukuthathela ingqalelo
take into consideration	ukuthathela ingqalelo
take off	ukusuka
task team	iqela lomsebenzi
tax revenue	irhafu yengeniso
technical services department	isebe leenkonzo zobuchule
term budget	 ibhajethi yexesha
term budget	uhlahlolwabiwo-mali lwexesha
term of office	ixesha lokuba sesikhundleni
terms and conditions	imimiselo nemiqathango
terms of reference	imimiselo yesalathiso
terms of trade	imimiselo yeshishini
the Cold War	imfazwe ngaphandle kokulwa
the East	iMpuma
the West	iNtshona
the common good	ukulunga kubantu bonke
the disadvantaged	abakwizithintelo  
the historically disadvantaged	abakwizithintelo ngokwembali
the masses	izihlwele
the powers that be	abaphathi; abasemagunyeni
the right	ilungelo
the services	iinkonzo
the struggle	umzabalazo
the voiceless	ukungabinalo izwi
thousand and one	iwaka elinanye
time of arrival	ixesha lokufika
time of departure	ixesha lokunduluka
title deed	incwadi yelungelo lomhlaba
to and fro	ukuya nokubuya
to bear fruit	ukuxakatha
to the effect that	kangangokuba
top management	ubulawuli obuphezulu
top secret	imfihlo ephezulu
total onslaught	utyakatyo olupheleleyo
track record	umzila wamava
trade relations	unxibelelwano lwezorhwebo
trade union	umanyano lwabasebenzi
trading partner	umlingane wezorhwebo
traditional leadership	ubunkokheli bemveli
traffic control	ulawulo lwesiphithiphithi
training facilities	iziseko zoqeqesho
training institution	iziko loqeqesho
transition to democracy	kwidemokhrasi; inguqulelo ukuya kwintando yesininzi
translation of the Bible	uguqulo lweBhayibhile
tree of knowledge	umthi wolwazi
tree of life	umthi wobomi
umbrella body	umbutho owongameleyo
unanimous concurrence	imvumelwano ngazwinye
under the auspices of	phantsi koncedo lwe--
under the authority of	phantsi kolawulo
unemployment rate	iqondo lentswelangqesho
unfair discrimination	ucalulo olungenabulungisa
unique people	abantu abakhethekileyo
united nations organisation	umbutho wezizwe ezimanyeneyo
university of technology	iyunivesithi yobuchule
unreserved postal service	inkonzo yeposi engagcinwanga
up to date	hamba nexesha
up to standard	ukufika emgangathweni
upper middle class	udidi oluphezulu
urban area	ummandla wedolophu
urban centre	umbindi wedolophu
urban development	uphuhliso lwasedolophini
urban renewal	uvuselelo lwedolophu
value system	inkqubo yokuxabisa
violation of human rights	ulwaphulo lwamalungelo oluntu
violence against children	ukuxhatshazwa kwabantwana
violence against women	ukuxhatshazwa komama
voice of the people	ilizwi labantu
vote in favour	ukuvota ngokuluncedo
vote of thanks	umbulelo
waste management	ulawulo lwenkunkuma
ways and means	iindlela namandla
welfare state	umbuso wentlalontle
winds of change	iinguqu
with effect from	ukusebenza ukusuka
with the sun	enelanga
with the wind	enomoya
within a radius of	ephakathi komjikelo
within the limits	ephakathi kwemida
word of welcome	ilizwi lolwamkelo
working group	iqela lokusebenza
world community	uluntu lwehlabathi
you are here	ulapha
