ABET	IABET; 
constitution	imigaqo;  umgaqo-siseko; 
constitutional	 ngokomgaqosiseko; ngokwemigaqo; 
constitutions	imigaqo; imigaqo-siseko; 
constraint	umqathango; 
constraints	umqathango; 
construct	 akha; yakha; 
constructed	 akha; yakha; 
construction	 ulwakhiwo; ukwakhiwa; 
constructive	ngokwakhayo; 
construed	cacisile; chazile;  guqule; 
consult	 funa icebo; ukucebisana; 
consultant	umcebisi; 
consultants	abacebisi; 
consultation	 ucebiswano; ukubonisana; 
consultations	iingcebiswano; iimbonisano; 
consultative	 bonisana; lumana iindlebe;  cebisana; 
consulted	 fune icebo; cebisene; 
consulting	ukucebisana;  ukufuna icebo; 
consumable	etyiwayo; 
consumables	ezityiwayo; 
consumer	 umthengi; umsebenzisi; 
consumers	abasebenzisi;  abathengi; 
consumption	ukusebenzisa; 
contact	intlangano; 
contacts	iintlangano; 
contain	iqulethe; 
contained	iqulethe; 
container	 isikhongozelo; isiqulatho;  isigcini; 
containers	 izikhongozelao; izigcini;  izikhongozelo; iziqulatho; 
containing	iqulethe; 
contains	iqulethe; 
contemplated	 camngcile;  cingile; bukele; 
contemporary	-exesha elinye; 
contempt	unyembenyo; 
content	umxholo;  umthamo; 
contents	umbilini; 
context	imeko;  umxholo; 
continent	ilizwekazi; 
continental	 ngokwelizwekazi; eyelizwekazi; 
continents	amazwekazi; 
contingency	ukuxhomekeka;  ukuthandabuzeka; 
contingent	enokwenzeka;  isiqendu sabantu/ somkhosi; thandabuzekayo; 
continuation	 ukuqhubeka; ukuqhuba; 
continue	qhubeka; 
continued	qhubeka; 
continues	qhubeka; 
continuing	qhubeka; 
continuity	ukuqhubeka; 
continuous	ngcembe; 
continuously	 ngokuqhubekayo; rhoqo;  qho; 
contract	 ukufinyela; isibophelelo;  izibophelelo;  rhwaqelisa; 
contracted	bophelele;  finyele; rhwaqele; 
contracting	bophelela;  ukufinyela;  rhwaqelisa; 
contractors	iikontrakta; 
contracts	izibophelelo;  iikontraki; 
contractual	ngokwesigqibo;  ngokwemvumelwano; 
contrary	ngokuchasene;  ngokuphikisana; 
contrast	umahluko;  ukuthelekisa; 
contravenes	ukwaphula;  ukuchasa; 
contravention	 inkcaso; ulwaphulo; 
contribute	 ncedisa; nikela; 
contributed	ncedisile; nikele; 
contributes	 ncedisa; nikela; 
contributing	oncedisayo;  onikelayo; 
contribution	 inqaku; umrhumo;  umnikelo; 
contributions	 amanqaku;  iminikelo; imirhumo; 
contributor	 umbhaleli;  umrhumi; umnikeli; 
contributors	 ababhaleli; abanikeli;  abarhumi; 
control	 ukugcina; ulawulo;  ulawulo lombane; 
controlled	gciniwe; lawuliwe; 
controlling	ukugcina;  ukulawula; 
controls	izilawuli; 
convene	 ukubiza intlanganiso; ukuhlanganisa; 
convened	 ubize intlanganiso; uhlanganisile; 
convention	 indibano;  ingqungquthela; isithethe; 
conventions	 izithethe; iindibano;  iingqungquthela; 
convergence	ukuhlangabezana; 
conversation	incoko; 
conversations	iincoko; 
conversion	inguquko;  uguqulelo;  ugqobhoko; 
convert	 guqula;  igqobhoka;  ukuguqula; ukutshintsha; 
converted	 tshintshiwe; gqobhokile;  guquliwe; 
convey	 thutha; ukunika; 
conviction	isigwebo; 
convinced	qinisekisile;  wanezile; 
cookie	 iqebengwana; umqhathane; 
cooperation	intsebenziswano; 
cooperative	-sebenzisanayo; 
cooperatives	iimanyano; 
coordinate	ulungelelwano;  lungelelanisa; 
coordinated	ukulungelelanisa; 
coordinating	ukulungelelanisa; 
coordination	ukulungelanisa; 
cope	 ukuphumelela;  isinxibo somfundisi; ukumelana; 
copies	iikopi; 
copy	 ukukopa; ikopi; 
copyright	lungelo lombhali;  ilungelo lombhali okanye lomqambi elilelakhe; 
core	umphakathi; 
corner	 imbombo; ikona;  isondo lengubo; 
cornerstone	undoqo; 
corporate	imbumba; 
corporation	iqumrhu loshishino; 
corporations	amaqumrhu; 
corps	iqela lamajoni omsebenzi othile; 
correct	ukulungisa;  -lungileyo;  lungisa; 
correction	isilungiso;  ulungiso; 
correctional	 eyolungiso; eyoluleko; 
corrections	izilungiso; 
corrective	isiluleko; 
correctly	kakuhle; 
correspondence	ukulingana;  ukungqinelana; 
corresponding	engqinelana; 
corrupt	-onakele; 
corruption	urhwaphilizo; 
cost	ixabiso;  ukuxabisa; 
cost-effective	ecutha iindleko; 
costs	amaxabiso; 
could	iinkonkxa; ndinga-, unga-, singa-, anga-; 
council	iqumrhu;  ibhunga; 
councillor	 uceba; ilungu; 
councillors	ooceba; 
councils	amabhunga; 
counsel	 cebisa; ingcebiso;  icebo; 
counselling	ukunika icebo;  ukululekwa kwengqondo; 
count	 ukubala; bala; 
countdown	ukubalwa kweentsuku ezishiyekileyo;  umqondiso womgama oya kwisiphambuka; 
counter	umbali; 
counterclaim	 ukuphikisa ibango; ibango eliphikisayo; 
counterpart	ilungu elihamba nelinye; 
counterparts	amalungu afanayo; 
countries	amazwe; 
country	ilizwe; 
country's	eyelizwe; 
countrywide	kwilizwe lonke; 
couple	 ukumatanisa; isibini; 
coupled	dityanisiwe;  matanisiwe; 
coupon	ikuponi,; itikiti; 
courage	ukuba nesibindi; 
course	isiphako; 
courses	iindlela; 
court	inkundla; 
court's	eyenkundla; 
courtesy	imbeko; 
courts	iinkundla; 
cover	 gquma; isiciko;  vala;  khusela; 
coverage	ingxelo yeziganeko; ingxelo yoonondaba; 
covered	 ivaliwe; igqunyiwe; ikhuselwe; 
covering	 isigqubuthelo; isikhumba;  ukugquma; 
covers	 ikhusela;  igquma;  ivala; iquka; 
covet	ukunqwenela; 
coveted	ukunqwenela; 
cradle	umandlalo wosana; 
craft	ubugcisa;  umsebenzi wezandla; 
crafter	igcisa; 
crafters	amagcisa; 
crafts	imisebenzi yobugcisa; 
crater	umlomo wentabamlilo; 
create	yila; 
created	yila; 
creates	Idala, iyila; 
creating	yila; 
creation	indalo; 
creativity	ubuchule bokuyila; 
creator	umdali; 
creators	abayili; 
credibility	ukwamkeleka;  ukukholisa; 
credible	 ethembekileyo; eyamkelekayo; enokukholwa; 
credit	ityala; 
creditor	umbolekisi; 
creditors	ababolekisi; 
credits	amatyala;  iikhredithi; 
creed	ukholo; 
cricket	umdlalo weqakamba;  inyenzane; 
crime	ulwaphulo-mthetho; 
crimes	izono; 
criminals	izaphuli-mthetho; 
crisis	amanqam; 
criteria	umgaqo; 
criterion	umgaqo; 
critical	gwebayo;  thwibishayo; mandundu;  balulekileyo; 
critically	nzima;  mandundu; 
crop	isivuno;  indlelo; 
crops	izivuno; 
cross	umnqamlezo;  uphawu lovoto; 
cross-border	ukuwela umda; 
crucial	uvuthondaba;  balulekileyo; 
culminate	phelela; fikelela kwisiphelo; 
culmination	 incopho; isiphelo; 
cultural	yenkcubeko; 
culture	 impucuko; inkcubeko; 
cultures	iimpucuko; iinkcubeko; 
cup	ikomityi; 
curate	umfundisi oncedisayo; 
curators	abagcini-mafa emveli; 
currency	imali yelizwe elithile; 
current	 umsinga wombane; umsinga; 
currently	 okuqhubekayo; ngoku; 
curriculum	ikharityhulam; 
curve	igophe; 
custodian	umgcini; 
custodians	abagcini; 
custody	ukubanjwa;  ugcino; 
custom	isiko; 
customary	 eyesiqhelo; eyesiko; 
customer	umthengi; 
customers	abathengi; 
customs	amasiko; 
cut	 ukuphamba; icandelo;  ilungu lenyama;  inxeba; 
cutting	 uswazi lokumilisela; uswazi; 
cycle	umjikelo; 
daily	yonke imihla;  imihla ngemihla; 
dam	idama;  ukwakha idama;  ukudama; 
damage	umonakalo;  ukonakalisa; 
damages	iimonakalo; 
dance	 ukududa;  ukudadisa;  danisa; umdaniso; 
dancer	umdanisi; 
dancers	abadanisi; 
dances	abadudi;  abadanisi; imidaniso; 
danger	ingozi; 
dangerous	nengozi; 
dark	 limnyama; mnyama;  ubumnyama;  kumnyama; 
data	okwaziwayo; 
databases	oovimba beenkcukacha abakwikhompyutha; 
date	 umhla wenyanga; umhla; 
dated	eyomhla; ebekwe umhla; 
dawn	ukusa; 
day	usuku; 
days	iintsuku; 
de	ide; 
dead	umfi; 
deadline	ixesha elimiselwe ukugqiba into; 
deaf	ukungeva; 
deal	 ukwaba;  ulwananiso;  ukurhweba; intengiso; 
dealer	umrhwebi; 
dealers	abarhwebi; 
dealing	 ukwaba; ukurhweba;  ukwananisa; 
deals	 izigqibo zorhwebo; izivumelwano; 
dealt	uphethe kakubi/kakuhle; wabele; 
dear	 thandekayo; ukuxabiseka; duru;  isithandwa; 
death	ukufa; 
deaths	ukufa; 
debate	 ukuxoxa;  xoxa; ingxoxo; 
debated	 ukuxoxa;  xoxa; ingxoxo; 
debates	iingxoxo; 
debt	ityala; 
debtor	otyala imali; 
debtor's	eyomntu onetyala; 
debts	amatyala; 
decade	ishumi leminyaka; 
decades	amashumi eminyaka; 
deceased	umfi;  umntu obhubhileyo; 
decent	fanelekileyo; 
decide	ukugqiba; 
decided	 thathe isigqibo; gqibile;  gwebile; 
decides	izigqibo; 
deciding	ukugqiba; 
decision	isigqibo; 
decision-making	ukwenza isigqibo; 
decisions	izigqibo; 
declaration	isibhengezo;  ubhengezo; 
declare	bhengeza; 
declared	 memezile; bhengezile; 
declares	izibhengezo; 
decline	ukwala;  uncipho;  ukulandula; 
declined	walile;  ulandule; nciphile; 
declines	uyalandula; uyala;  iyancipha; 
declining	 enciphayo;  olandulayo; owalayo; 
decrease	ukunciphisa;  nciphisa;  ukwehla; 
decreased	 yehlisiwe; ncitshisiwe; 
decryption	ukufunda umbhalo ongacacanga;  ukutyhila into eyinqaba; 
dedicate	ukunikezela;  -zinikela; 
dedicated	ukunikezela;  -zinikela; 
dedication	ukuzinikela; 
deduct	ukuthabatha;  thabatha; 
deducted	thatyathiwe; 
deduction	 ukuthabatha; ukunciphisa; 
deductions	izinciphiso; 
deed	incwadi yesigqibo; 
deeds	iincwadi zesigqibo; 
deem	cinga; 
deemed	ucingile; 
deems	ucinga; 
deep	nzulu; 
deepen	ukwenza nzulu; 
deeper	nzulu nangakumbi; 
deeply	ngokunzulu; 
default	ukusilela; 
defect	 idlala; ukulahla;  isikreqo;  ukukreqa;  isiphene; 
defence	 umkhosi;  ukunqanda;  ukhuselo; ukukhusela;  ukuvingca amazibuko; 
defend	khusela; 
defendant	ummangalelwa; 
defiance	uqhankqalazo;  indelo; 
deficiencies	iintswelo; 
deficiency	intswelo; 
deficit	intsilelo; 
deficits	iintsilelo; 
define	ukuchaza; 
defined	ukuchaza; 
defines	iinkcazelo; 
defining	ukuchaza; 
definition	inkcazelo;  ingcaciso; 
definitions	 iingcaciso; iinkcazelo; 
degree	 idigri;  iqondo; umgangatho;  inqanam; 
degrees	 amaqondo;  amanqanam; imigangatho;  iidigri; 
delay	ulibaziseko; 
delayed	ulibaziseko; 
delays	ulibaziseko; 
delegate	 ukuthuma; umthunywa; 
delegated	thunyiwe; 
delegates	abathunywa; 
delegation	iqela labathunywa; 
delegations	iqela labathunywa; 
delete	cima; 
deleted	cinyiwe; 
deletion	ukuhlatywa;  ukucinywa; 
deliberate	 camngca;  ukuxoxa; cinga; 
deliberately	ngabom; 
deliberations	ingxoxo; 
delighted	wonwebe;  vuyile; chwayitile; 
deliver	-hambisa;  belekisa; 
delivered	-hambisa;  belekisa; 
delivering	-hambisa;  belekisa; 
delivers	-hambisa;  belekisa; 
delivery	ukubeleka; 
demand	imfuneko;  ukufuna;  ukubanga; 
demands	 amabango; iimfuneko; 
demarcation	ukucandwa kwemida; 
democracy	 ulawulo lwentando yesininzi; idemokhrasi; 
democratic	eyedemokhrasi;  eyolawulo-melo; 
democratically	ngokwedemokrasi; ngolawulo lwesininzi; 
demographic	ngokwamanani abazelweyo nabafileyo; 
demonstrate	ukubonisa;  bonisa;  bonisa ekuhleni isikhalazo; 
demonstrated	ukubonisa;  bonisa;  bonisa ekuhleni isikhalazo; 
demonstrates	ukubonisa;  bonisa;  bonisa ekuhleni isikhalazo; 
demonstration	umboniso;  umboniso ekuhleni wesikhalazo;  uqhankqalazo; 
denied	khanyela;  phika; 
dental	eyamazinyo; 
deny	phika;  khanyela; 
department	isebe;  isetyana; 
department's	eyesebe; 
departmental	eyesebe; 
departments	amasebe; 
departure	ukunduluka; 
depend	ukuxhomekeka; 
dependants	abaxhomekeki; 
dependence	ukuxhomekeka; 
dependency	ilizwe elilawulwa lelinye; 
dependent	umxhomekeki; 
depending	ukuxhomekeka; 
depends	uxhomekeke; 
deploy	ukuthumela kwenye indawo; 
deployed	thunyelwe ngomsebenzi; 
deployment	 ukumiselwa ukulwa; ukwabiwa kwamabutho/ kwabasebenzi; 
deposit	 intlenge;  intlenga; faka;  ukubeka imali ebhankini;  ebekwe phantsi; 
deposited	 intlenge;  beke imali ebhankini; diphozithe; ebekwe phantsi; shiye intlenga;  facile; 
depository	indawo yokugcina ngokhuseleko; 
deposits	iimali ezibekwe ebhankini; iidiphozithi;  iintlenga;  ezifakiwe;  ezibekwe phantsi; 
depreciation	ukuhla kwexabiso; 
depth	ubunzulu; 
deputies	 amasekela; ababambeli; 
deputy	umbambeli; isekela; 
derive	ukuzuza; 
derived	ufumene;  uzuze;  ivela; 
descent	 ukuthambeka; ukwehla;  umnombo; 
describe	 ukukrwela;  cacisa; ukucacisa; 
described	 ukukrwela;  cacisa; ukucacisa; 
description	ingcaciso;  inkcazo; 
desert	 inkqantosi; ukuqhwesha;  intlango; 
design	 uyilo;  yila; ukuyila; 
designate	ukwalatha;  ukutyumba;  ukunyula; 
designated	 otyunjiweyo;  owalathiweyo; onyuliweyo; 
designation	 ukubeka esikhundleni; iwonga; 
designed	 uyilo;  yila; ukuyila; 
designer	umyili; 
designers	umyili; 
designs	iziyilo; 
desirable	nqwenelekayo; nandiphekayo; 
desire	ukunqwenela; 
desired	enqwenelwayo; 
despite	nangona; 
destination	 indawo ekusingwa kuyo; indawo oya kuyo; 
destiny	 isihlelo; ikamva;  ulwazelelo;  isiphelo; 
destroy	tshabalalisa; 
destroyed	tshabalalisa; 
destruction	intshabalalo; 
detail	 ngokuzeleyo; inkcukacha; 
detailed	 ngokuzeleyo; inkcukacha; 
details	iinkcukacha; 
detained	bambezelwe; banjiwe libazisiwe; 
detainees	amabanjwa; 
detection	 ukubhaqa;  ubuntamnani;  ukuphawula; ubucuphi; ukufumana; 
detention	ukubamba; 
determination	ukuzimisela; 
determine	 ukuxela; qinisekisa; 
determined	ukuzimisela; 
determines	ukumisela;  ukuxela; 
determining	 ukuxela; qinisekisa; 
develop	ukukhula;  velisa;  ukuqhubela phambili; 
developed	ukukhula;  velisa;  ukuqhubela phambili; 
developing	ukukhula;  velisa;  ukuqhubela phambili; 
development	 inkqubela; uphuhliso; 
developmental	uphuhliso lwengqondo; 
developments	iinkqubela; 
develops	ukukhula;  velisa;  ukuqhubela phambili; 
device	 ukuyila; isixhobo; 
devices	izixhobo; 
devolution	 ukugunyazisa abanye;  ukunikelwa kwegunya; ukugqithiswa kwegunya; 
diagnosis	 ukufunyaniswa kwesifo; isiphumo sokuxilonga;  ukuqonda isifo ngokuxilonga; 
dialogue	incoko yababini; 
dialogues	iincoko zababini; 
diamond	ilitye elinqabileyo;  idayimani; 
diamonds	iidayimani; 
diaspora	 ubhaco; inkcithakalo; 
dictionary	isichazi-mazwi; 
did	wenzile; 
didn't	akenzanga; 
die	ukufa;  idayisi; 
died	ukufa;  idayisi; 
dies	iyafa; uyafa; 
differ	ahluka; 
difference	umahluko; 
differences	iimahluko; 
differently	ngokwahlukileyo; 
difficult	-nzima; 
difficulties	iingxaki; 
difficulty	ingxaki; 
digital	ulwazi olungamanani; 
dignified	ondilekileyo;  onesidima; obekekileyo; 
dignitaries	 iindedeba;  izikhakhamela; oosomaqhuzu; iziphathamandla; 
dignity	isidima; 
dimension	 umlinganiso; umlinganiselo; 
dimensions	 imilinganiso; imilinganiselo; 
dinner	idina;  isidlo sangokuhlwa; 
diploma	 idiploma; isiqinisekiso; 
diplomatic	ovela ngobuchule; 
direct	ngqo; 
directed	ngqo; 
directing	ukulawula; 
direction	icala; 
directions	iizalathiso; 
directives	imigaqo; 
directly	ngqo; 
director	 umlawuli womdlalo weqonga; umongameli;  ubongameli; 
director-general	umlawuli-jikelele; 
directorate	icandelo lolawulo; 
directors	 abongameli; abalawuli; 
directory	incwadi yoluhlu lweenkcukacha; 
directs	ulawula; 
disabilities	ubudalwa; 
disability	ubudalwa; 
disabled	 okhubazekileyo; sidalwa; 
disadvantage	ingxaki;  ukungalungi; 
disadvantaged	ingxaki;  ukungalungi; 
disaster	intlekele; 
disasters	iintlekele; 
discharge	 ukwetha; incindi yomzimba;  ukugwebela;  ukugwetyelwa;  ubuthuku; 
discharged	 ukhululwe;  ukhutshiwe;  lihlawulwe;  ugwetyelwe; wenziwe; 
disciplinary	 eyokohlwaya; eyenqqeqesho;  eyoluleko;  eyoqeqesho; 
discipline	ucwangco;  ingqeqesho; 
disciplines	iingqeqesho; 
disclaimer	 ukulandula; ukukhanyela; 
disclose	ukuxela;  ukutyhila;  ukubhengeza; 
disclosed	xeliwe;  tyhiliwe; bhengeziwe; 
disclosure	ubhengezo; utyhilo; 
discourse	 incoko;  intshumayelo; intetho;  isifundo; 
discover	ukufumanisa; 
discovered	ukufumanisa; 
discovery	ukubhaqa; 
discretion	ukuzibonela; 
discretionary	 ngengqiqo; ngobulumko; 
discuss	xoxa; 
discussed	xoxa; 
discussing	xoxa; 
discussion	ingxoxo; 
discussions	iingxoxo; 
disease	isifo; 
diseases	izifo; 
dismissal	 ukugxotha; ukundulula; 
disparities	 ukwahluka; ukungalingani;  ukungafani; 
dispensation	ixesha lombuso; 
display	 isiboniso; ukubonisa;  bonisa;  umboniso; 
displayed	 isiboniso; ukubonisa;  bonisa;  umboniso; 
displaying	 isiboniso; ukubonisa;  bonisa;  umboniso; 
disposal	ukulahla; 
dispose	lahla; 
disposed	lahliwe; 
dispossession	ukuhlutha; 
dispute	impikiswano;  ukuphikisana; 
disputes	 iimpikiswano; iingxabano; 
disqualified	alele; thintele; 
dissatisfied	 nganelisanga;  ngakholisanga; krokrisayo; 
dissemination	 uhlwayelo; uhlakazo; usasazo; 
dissolution	 ukuqhawula; ukuphelisa;  ukuchitha; 
dissolve	 ukuchitha iPalamente; nyibilikisa;  ukunyibilikisa; 
dissolved	ichithiwe iPalamente;  phelisiwe; nyibilikisiwe; 
distance	umgama; 
distant	-kude; 
distinct	cacileyo;  ahlukileyo; 
distinction	umahluko;  ukwahluka;  ubuntshatsheli; 
distinctions	iimahluko; 
distinctive	ahlukileyo; 
distinguished	balulekileyo; khethekileyo; 
distribute	 ukwabela; yaba; 
distributed	 ukwabela; yaba; 
distribution	 ukwaba;  ukumiwa kwelizwe; usasazo; 
district	isithili; 
districts	izithili; 
distrust	ukungathembi; 
diverse	ezahluka-hlukeneyo; 
diversion	ukuba ziintlobo ngeentlobo;  ahlukileyo; ngafaniyo; 
diverted	 phazamisiwe; phambukisiwe; 
divide	 ukwahlula-hlula;  ahlula; yahlula; 
divided	 yahlula; ukwahlula-hlula;  ahlula; 
dividend	inzala;  isahlulwa;  isahlulo; 
dividends	izahlulo;  izahlulwa;  iinzala; 
division	 ukwahlula; icandelo;  ukwahlulwa;  ulwahlulo; 
divisions	 izahlulo; amacandelo; 
divorce	 uqhawulo-mtshato; ukuqhawula umtshato; 
do	yenza; 
doctor	ugqirha; 
doctorate	isidanga sobugqirha-lwazi; 
doctors	oogqirha; 
document	uxwebhu; 
documentation	amaxwebhu okungqina; 
documented	uxwebhu; 
documenting	uxwebhu; Ukungqinela ngoxwebhu; 
documents	amaxhwebhu; 
does	uyenza; 
doesn't	akenzi; 
doing	ukwenza; 
dollar	idola; 
domains	imimandla; 
domestic	eyasekhaya; 
domination	uvelelo; ulawulo; 
don	 umfundisi omdala weyunivesithi; umhlekazi; 
don't	musa; 
donation	ilizo; 
donations	amalizo; 
done	yenziwe; 
donor	umnikeli;  umphi; 
donors	abanikeli;  abaphi; 
door	ucango; 
doors	iingcango; 
double	ukuphinda;  ephindaphindwe kabini; 
doubt	thandabuza; 
down	phantsi; 
download	khuphela; 
downtown	embindini wedolophu; 
downturn	ukwehla;  ukujika;  ukuwa; 
draft	utsalo;  uyilo; uvandlakanyo; 
drafted	 vandlakenye; tsalile;  yilile; 
drafting	ukubeka;  ukuyila;  ukuvandlakanya;  ukutsala; 
drama	idrama; 
dramatic	ukuvusa umxhelo;  ukubaxa; 
draw	 ukukrwela;  ukuzoba;  ukukhupha;  ukulingana;  zoba; ukwenza; 
drawing	umzobo;  ukuzoba;  isazobe; 
drawn	 zobile; tsalile; 
dream	iphupha; 
dreams	amaphupha; 
drew	 ukukrwela;  ukuzoba;  ukukhupha; ukuba ntanganye;  ukulingana;  zoba; ukwenza; 
drink	 isiselo; ukusela; 
drinking	ukusela; 
drive	indlela; 
driven	indlela; 
driver	umqhubi; 
driver's	eyomqhubi; 
drivers	abaqhubi; 
driving	indlela; 
drop	 ithontsi;  ichaphaza; ukuhlela; 
drug	ichiza;  iyeza eliphilisayo;  isiyobisi; 
drugs	 amayeza eliphilisayo;  iziyobisi; amachiza; 
drum	umgqomo;  amagubu;  igubu; 
dry	 yomisa;  -omile; ukoma;  ukomisa;  lomile; 
dual	entlantlu-mbini; 
due	-lityala; 
duly	 ngokufaneleyo;  ngokwelungelo; ngokulindelekileyo; 
duplicate	 uphindo kabini; ukuphinda kabini; 
duplication	 ukuphinda kabini;  ukwenza iikopi; uphindaphindo; 
duration	 ubungakanani bexesha; ubude;  ubude bexesha;  ixesha eliqingqelwe umdlalo; 
during	ngexesha;  ngelixa; 
duties	 imisebenzi;  iirhafu; iimfanelo; 
duty	 irhafu;  rhafu;  uxanduva; umsebenzi; 
dynamic	intshukumo; 
dynamics	amandla;  iintshukumo; 
e-mail	ukuthumela imbalelwano ngeimeyili; unxibelelwano ngamaz'omoya; 
each	nganye; 
earlier	ngaphambili; 
earliest	eyona iphambili;  eyona isekuqaleni; 
early	 kusasa; ngexesha;  ekuseni; 
earmarked	phawulwe; 
earn	fumana; 
earned	fumana; 
earning	isamkelo; 
earnings	 iinzuzo; imivuzo; 
earth	umhlaba;  isikhuseli mbane;  ihlabathi; 
ease	ubukhaphu-khaphu; 
easier	lula; 
easily	lula; 
east	impumalanga;  ngasempumalanga;  impuma; 
eastern	esempumalanga; 
easy	lula; 
economic	ezinxulumene nobutyebi belizwe; 
economically	 ngokobutyebi belizwe; ngokoqoqosho; 
economics	ufundo ngezoqoqosho; 
economies	amaqoqosho; ubutyebi belizwe; 
economists	usoqoqosho; 
economy	 ubutyebi belizwe; uqoqosho; 
ecosystems	ubudlelane bezinto eziphilayo nokuzingqongileyo; 
edge	 umphetho wegqabi; isiphelo; 
edit	hlela; 
editing	hlela; 
edition	uhlelo; 
editor	umhleli; 
editors	abahleli; 
educate	ukufundisa; 
educated	ukufundisa; 
educating	ukufundisa; 
education	 ukufundisa; imfundo; 
educator	ititshala; 
educators	iititshala; 
effect	 isiphumo; ukwenza; 
effected	 wenzile; uphumezile; 
effective	 enesiqhamo; esebenzayo; 
effectively	 ngokunesiqhamo; ngokunesiphumo; 
effectiveness	 ukuthabathekisa; ukusebenza; 
effects	iziphumo; 
efficacy	 amandla; ukusebenza; 
efficiency	ugqibeko; 
efficient	ukusebenza ngokwaneleyo; 
efficiently	ngobuchule;  ngenkuthalo;  ngokusebenzayo; 
effort	umzamo;  umgudu; 
efforts	imizamo; 
eight	isibhozo; 
either	nayiphi kwezimbini; nawuphi kwababini; 
elderly	khulileyo; 
elders	 abadala; amagosa; 
elect	ukunyula;  nyula; 
elected	ukunyula;  nyula; 
election	unyulo; 
elections	unyulo; 
electoral	 eyonyulo; eyokhetho;  ; 
electrical	eyombane; 
electricity	umbane; 
electrification	ufakelo lombane; 
electronic	ene-elektroni; 
electronically	ngokwe-elektroniki; 
elects	ukunyula;  nyula; 
element	ilungu;  isiqalelo;  inxenye; 
elements	iziqalelo; 
elevate	nyusa izinga; 
eleven	ishumi elinanye; 
eligible	fanelekileyo;  nokunyulwa; 
eliminate	ukushenxisa;  ukuguba; 
eliminated	ukushenxisa;  ukuguba; 
elimination	ukususa; 
eloquently	ngobuciko; 
else	omnye;  enye; 
elsewhere	kwenye indawo; 
email	unxibelelwano ngamaz'omoya; 
emanating	evela;  ephuma; 
emancipation	inkululo; 
embark	 khwela enqanaweni; qalisa; 
embarked	uqalise;  ukhwele enqanaweni; 
embarking	 ukukhwela enqanaweni; ukuqalisa; 
embassies	amaziko oonozakuzaku; amaziko ezozakuzo; 
embedded	Zinzisiwe; 
emblem	imbasa;  indwe; 
embodiment	 ukuqulathwa; ukuqukwa; 
embrace	ukwamkela;  ukwanga; 
embraced	ukwamkela;  ukwanga; 
embraces	ukwamkela;  ukwanga; 
emerge	ukuvela; 
emerged	uvelile; 
emergence	ukuvela; 
emergency	ithuba lokuxakeka;  ithuba likaxakeka; 
emergent	evelayo; 
emerging	evelayo; 
eminent	dumileyo; balaseleyo; 
emission	ukuvelisa; 
emissions	iimveliso; 
emoluments	 iinzuzo; imivuzo; 
emotion	uvakalelo; 
emotional	echukumisayo;  enovakalelo; 
emotions	iimvakalelo; 
emphasise	cinezela; 
emphasised	cinezelwe;  gxininisiwe; 
emphasises	cinezela;  gxininisa; 
employ	ukuqesha; 
employed	ukuqesha; qeshiwe; 
employee	umsebenzi; 
employees	abasebenzisi; 
employer	umqeshi; 
employers	abaqeshi; 
employing	ukuqesha; -qesha; 
employment	 ingqesho; umsebenzi; 
employs	ukuqesha; -qesha; 
empower	gunyazisa; 
empowered	gunyazisiwe; 
empowering	gunyazisayo; ukugunyazisa; 
empty	 engenanto; khupha; 
emulate	ukulinganisa;  ukwenzisa; 
enable	 yenza akwazi; ukwenza ubenakho; 
enabled	 yenze akwazi; wenze ubenakho; 
enables	 yenza akwazi; ukwenza ubenakho; 
enabling	 yenza akwazi; ukwenza ubenakho; 
enacted	 ulinganise; udlale;  uwise umthetho; 
enacting	ukudlala;  ukuwisa umthetho;  ukulinganisa; 
enactment	 ulinganiso;  uwiso-mthetho; umdlalo; 
enactments	 ukuwiswa kwemithetho;  imilinganiso; imidlalo; 
encourage	 khuthaza; ukukhuthaza; 
encouraged	 khuthaza; ukukhuthaza; 
encourages	 iinkuthazo; ukukhuthaza; 
encouraging	 khuthaza; ukukhuthaza; 
end	isiphelo;  isiphetho; 
endangered	ezisengozini; 
endeavor	ukuzama; 
endeavour	ukuzama; 
endeavours	iinzame; 
ended	iphelile; 
ending	isiphelo; 
endorse	ukungqina;  ukuqinisela; ukusayina itsheki; 
endorsed	 usayinile; ungqinile;  uqinisele; 
endorsement	 uqiniselo;  usayino; ungqino; 
ends	iziphelo; 
enduring	 ukuxononoza; ukunyamezela; 
energy	amandla; 
enforce	nyanzela; 
enforced	unyanzelisile; 
enforcement	 unyanzelo; isinyanzelo;  unyanzeliso; 
engage	ukuqesha;  ukubophelela;  xakeka;  thembisa; 
engaged	xakekile;  thembisile;  qeshile; bophelele;  ; 
engagements	amadinga; 
engaging	 qeshayo;  xakekisayo; bophelelayo;  thembisayo; 
engender	 dala; banga; 
engendering	edalayo;  ebangayo; 
engine	 intloko kololiwe; injini; 
engineer	 injineli; ukuphembelela; 
engineering	ubunjineli; 
engineers	uphembelela;  iinjineli; 
enhance	ukukhulisa; 
enhanced	ukukhulisa; 
enhancement	 ukukhulisa; ukongeza;  ukwandisa;  ukunyusa; 
enhancing	ukukhulisa; 
enjoy	 yonwabela; vuyela; xhamla;  nambitha; 
enjoyed	 yonwabele;  xhamlile; nambithile; vuyele; 
enormous	khulukazi; nkulu kakhulu; 
enough	kwanele; 
enquiries	amaphando; 
enquiry	ukubuza; 
enrich	tyebisa; 
enrol	bhalisa; 
